cp_id,old_reserve,new_reserve,payment_key,old_payment_date,new_payment_date,reason
13691,012144,012356,0012901,2025-07-24,2016-05-18,AGGRESSIVE_KEY_SINGLE_OTHER
13718,012140,012451,0012897,2025-07-24,2016-05-18,AGGRESSIVE_KEY_SINGLE_OTHER
13891,012228,012461,0013028,2025-07-24,2016-06-27,AGGRESSIVE_KEY_SINGLE_OTHER
13898,012267,012566,0013027,2025-07-24,2016-06-26,AGGRESSIVE_KEY_SINGLE_OTHER
14660,012304,013078,0013818,2025-07-24,2017-05-12,AGGRESSIVE_KEY_SINGLE_OTHER
15117,013171,013419,0014275,2025-07-24,2017-10-16,AGGRESSIVE_KEY_SINGLE_OTHER
15250,013204,013466,0014331,2025-07-24,2017-11-06,AGGRESSIVE_KEY_SINGLE_OTHER
15283,013222,013479,0014351,2025-07-24,2017-11-10,AGGRESSIVE_KEY_SINGLE_OTHER
15298,013204,013470,0014345,2025-07-24,2017-11-08,AGGRESSIVE_KEY_SINGLE_OTHER
15318,013171,013379,0014255,2025-07-24,2017-10-07,AGGRESSIVE_KEY_SINGLE_OTHER
15486,013354,013631,0014582,2025-07-24,2018-02-07,AGGRESSIVE_KEY_SINGLE_OTHER
15494,013357,013545,0014568,2025-07-24,2018-01-30,AGGRESSIVE_KEY_SINGLE_OTHER
15507,013354,013672,0014581,2025-07-24,2018-02-07,AGGRESSIVE_KEY_SINGLE_OTHER
15527,013354,013676,0014583,2025-07-24,2018-02-07,AGGRESSIVE_KEY_SINGLE_OTHER
15553,013357,013629,0014562,2025-07-24,2018-01-26,AGGRESSIVE_KEY_SINGLE_OTHER
15659,013545,013792,0014738,2025-07-24,2018-04-12,AGGRESSIVE_KEY_SINGLE_OTHER
15697,013446,013667,0014784,2025-07-24,2018-05-01,AGGRESSIVE_KEY_SINGLE_OTHER
15700,013446,013771,0014762,2025-07-24,2018-04-25,AGGRESSIVE_KEY_SINGLE_OTHER
15752,013536,013783,0014732,2025-07-24,2018-04-11,AGGRESSIVE_KEY_SINGLE_OTHER
15816,013536,013786,0014734,2025-07-24,2018-04-12,AGGRESSIVE_KEY_SINGLE_OTHER
15839,013545,013916,0014890,2025-07-24,2018-06-05,AGGRESSIVE_KEY_SINGLE_OTHER
15921,013729,013953,0015005,2025-07-24,2018-07-06,AGGRESSIVE_KEY_SINGLE_OTHER
15961,013690,013910,0015023,2025-07-24,2018-07-12,AGGRESSIVE_KEY_SINGLE_OTHER
15970,013729,013982,0015018,2025-07-24,2018-07-11,AGGRESSIVE_KEY_SINGLE_OTHER
16023,013222,013891,0014860,2025-07-24,2018-05-29,AGGRESSIVE_KEY_SINGLE_OTHER
16485,014467,014309,0016155,2025-07-24,2019-09-03,AGGRESSIVE_KEY_SINGLE_OTHER
16490,014468,014305,0016156,2025-07-24,2019-09-03,AGGRESSIVE_KEY_SINGLE_OTHER
16533,013369,014329,0015530,2025-07-24,2019-01-04,AGGRESSIVE_KEY_SINGLE_OTHER
16591,014469,014373,0016157,2025-07-24,2019-09-03,AGGRESSIVE_KEY_SINGLE_OTHER
16643,014163,014433,0015648,2025-07-24,2019-02-26,AGGRESSIVE_KEY_SINGLE_OTHER
16645,014163,013979,0015656,2025-07-24,2019-03-04,AGGRESSIVE_KEY_SINGLE_OTHER
16746,014211,014516,0015749,2025-07-24,2019-04-10,AGGRESSIVE_KEY_SINGLE_OTHER
16754,014212,014515,0015748,2025-07-24,2019-04-10,AGGRESSIVE_KEY_SINGLE_OTHER
16768,014228,014496,0015772,2025-07-24,2019-04-23,AGGRESSIVE_KEY_SINGLE_OTHER
16791,014212,014614,0015869,2025-07-24,2019-06-01,AGGRESSIVE_KEY_SINGLE_OTHER
16817,014228,014590,0015834,2025-07-24,2019-05-23,AGGRESSIVE_KEY_SINGLE_OTHER
16861,014211,014615,0015870,2025-07-24,2019-06-01,AGGRESSIVE_KEY_SINGLE_OTHER
16930,014289,014663,0015946,2025-07-24,2019-06-25,AGGRESSIVE_KEY_SINGLE_OTHER
16937,014289,014661,0015922,2025-07-24,2019-06-20,AGGRESSIVE_KEY_SINGLE_OTHER
16945,014335,014684,0015956,2025-07-24,2019-06-27,AGGRESSIVE_KEY_SINGLE_OTHER
17098,014335,014757,0016090,2025-07-24,2019-08-14,AGGRESSIVE_KEY_SINGLE_OTHER
17198,014467,014809,0016150,2025-07-24,2019-09-03,AGGRESSIVE_KEY_SINGLE_OTHER
17428,014415,014767,0016086,2025-07-24,2019-08-14,AGGRESSIVE_KEY_SINGLE_OTHER
17488,014676,015019,0016402,2025-07-24,2019-11-18,AGGRESSIVE_KEY_SINGLE_OTHER
17500,014676,015013,0016394,2025-07-24,2019-11-15,AGGRESSIVE_KEY_SINGLE_OTHER
17553,014466,015083,0016504,2025-07-24,2019-12-15,AGGRESSIVE_KEY_SINGLE_OTHER
17613,014827,015097,0016596,2025-07-24,2020-01-23,AGGRESSIVE_KEY_SINGLE_OTHER
17634,014827,015164,0016615,2025-07-24,2020-01-28,AGGRESSIVE_KEY_SINGLE_OTHER
17707,014876,015202,0016639,2025-07-24,2020-02-10,AGGRESSIVE_KEY_SINGLE_OTHER
17956,015005,015388,0016876,2025-07-24,2020-07-24,AGGRESSIVE_KEY_SINGLE_OTHER
17965,015005,015403,0016868,2025-07-24,2020-07-21,AGGRESSIVE_KEY_SINGLE_OTHER
18017,015201,015274,0016705,2025-07-24,2020-03-02,AGGRESSIVE_KEY_SINGLE_OTHER
18176,015146,015503,0017081,2025-07-24,2020-11-03,AGGRESSIVE_KEY_SINGLE_OTHER
18177,015146,015503,0017082,2025-07-24,2020-11-03,AGGRESSIVE_KEY_SINGLE_OTHER
18523,015712,016115,0017799,2025-07-24,2021-10-10,AGGRESSIVE_KEY_SINGLE_OTHER
18675,015557,015988,0017581,2025-07-24,2021-08-18,AGGRESSIVE_KEY_SINGLE_OTHER
18693,015557,015915,0017598,2025-07-24,2021-08-21,AGGRESSIVE_KEY_SINGLE_OTHER
18884,015712,016103,0017781,2025-07-24,2021-10-01,AGGRESSIVE_KEY_SINGLE_OTHER
19038,015847,016211,0017917,2025-07-24,2021-11-18,AGGRESSIVE_KEY_SINGLE_OTHER
19039,015847,016221,0017918,2025-07-24,2021-11-20,AGGRESSIVE_KEY_SINGLE_OTHER
19174,015860,016239,0017936,2025-07-24,2021-11-26,AGGRESSIVE_KEY_SINGLE_OTHER
19259,015922,016333,0018098,2025-07-24,2022-01-06,AGGRESSIVE_KEY_SINGLE_OTHER
19266,015922,016351,0018094,2025-07-24,2022-01-04,AGGRESSIVE_KEY_SINGLE_OTHER
19284,015860,016358,0018101,2025-07-24,2022-01-07,AGGRESSIVE_KEY_SINGLE_OTHER
19308,016042,016409,0018161,2025-07-24,2022-02-08,AGGRESSIVE_KEY_SINGLE_OTHER
19540,016107,016498,0018275,2025-07-24,2022-03-15,AGGRESSIVE_KEY_SINGLE_OTHER
19898,016468,016869,0018787,2025-07-24,2022-07-11,AGGRESSIVE_KEY_SINGLE_OTHER
19921,016468,016391,0018784,2025-07-24,2022-07-08,AGGRESSIVE_KEY_SINGLE_OTHER
19950,016502,016829,0018818,2025-07-24,2022-07-18,AGGRESSIVE_KEY_SINGLE_OTHER
20266,016546,016917,0018855,2025-07-24,2022-07-25,AGGRESSIVE_KEY_SINGLE_OTHER
20657,016980,017284,0019372,2025-07-24,2022-12-12,AGGRESSIVE_KEY_SINGLE_OTHER
20670,016980,017267,0019344,2025-07-24,2022-12-05,AGGRESSIVE_KEY_SINGLE_OTHER
20753,017056,017343,0019505,2025-07-24,2023-01-27,AGGRESSIVE_KEY_SINGLE_OTHER
20816,017056,017422,0019543,2025-07-24,2023-02-10,AGGRESSIVE_KEY_SINGLE_OTHER
21067,017140,017502,0019632,2025-07-24,2023-03-15,AGGRESSIVE_KEY_SINGLE_OTHER
21169,016546,017406,0019891,2025-07-24,2023-06-02,AGGRESSIVE_KEY_SINGLE_OTHER
21217,017400,017730,0019962,2025-07-24,2023-06-21,AGGRESSIVE_KEY_SINGLE_OTHER
21362,016843,017187,0019230,2025-07-24,2022-11-03,AGGRESSIVE_KEY_SINGLE_OTHER
21937,017764,018127,0020520,2025-07-24,2023-10-30,AGGRESSIVE_KEY_SINGLE_OTHER
21965,017764,018074,0020522,2025-07-24,2023-10-30,AGGRESSIVE_KEY_SINGLE_OTHER
22045,017764,017504,0020521,2025-07-24,2023-10-30,AGGRESSIVE_KEY_SINGLE_OTHER
22050,017764,018124,0020519,2025-07-24,2023-10-27,AGGRESSIVE_KEY_SINGLE_OTHER
22328,017932,018310,0020829,2025-07-24,2024-02-01,AGGRESSIVE_KEY_SINGLE_OTHER
22615,018137,018407,0021123,2025-07-24,2024-05-21,AGGRESSIVE_KEY_SINGLE_OTHER
22686,018175,018663,0021164,2025-07-24,2024-06-06,AGGRESSIVE_KEY_SINGLE_OTHER
22736,018137,018667,0021198,2025-07-24,2024-06-18,AGGRESSIVE_KEY_SINGLE_OTHER
22825,018175,018712,0021220,2025-07-24,2024-06-25,AGGRESSIVE_KEY_SINGLE_OTHER
22856,018199,018045,0021289,2025-07-24,2024-07-17,AGGRESSIVE_KEY_SINGLE_OTHER
22883,018199,018764,0021300,2025-07-24,2024-07-19,AGGRESSIVE_KEY_SINGLE_OTHER
23068,018349,018756,0021436,2025-07-24,2024-09-02,AGGRESSIVE_KEY_SINGLE_OTHER
23490,018680,019060,0021765,2025-07-24,2024-12-19,AGGRESSIVE_KEY_SINGLE_OTHER
