action,id,old_charter_id,new_charter_id,payment_id,amount,payment_date,payment_method,source
relink_via_payments,24320,,019579,24399,250.00,2025-01-23,unknown,fix_script
relink_via_payments,24321,,019722,24696,100.00,2025-04-17,unknown,fix_script
relink_via_payments,24331,,019609,24414,244.24,2025-01-29,unknown,fix_script
relink_via_payments,24334,,019666,24689,57.75,2025-04-15,unknown,fix_script
relink_via_payments,24338,,019716,24563,205.00,2025-03-07,unknown,fix_script
relink_via_payments,24340,,019613,24413,34.49,2025-01-29,unknown,fix_script
relink_via_payments,24341,,019716,24747,400.88,2025-05-05,unknown,fix_script
relink_via_payments,24345,,019586,24388,601.50,2025-01-19,unknown,fix_script
relink_via_payments,24349,,019589,24406,244.24,2025-01-24,unknown,fix_script
relink_via_payments,24350,,019348,24703,121.96,2025-04-23,unknown,fix_script
relink_via_payments,24352,,019676,24564,-105.00,2025-03-07,unknown,fix_script
relink_via_payments,24353,,019695,24800,250.00,2025-05-21,unknown,fix_script
relink_via_payments,24358,,019755,24685,500.00,2025-04-14,unknown,fix_script
relink_via_payments,24359,,019636,24566,378.79,2025-03-07,unknown,fix_script
relink_via_payments,24362,,019648,24492,75.00,2025-02-26,unknown,fix_script
relink_via_payments,24363,,019754,24679,250.50,2025-04-11,unknown,fix_script
relink_via_payments,24364,,019610,24410,410.35,2025-01-28,unknown,fix_script
relink_via_payments,24365,,015929,24605,175.00,2025-03-18,unknown,fix_script
relink_via_payments,24366,,019562,24470,201.25,2025-02-14,unknown,fix_script
relink_via_payments,24370,,014377,24655,338.44,2025-04-04,unknown,fix_script
relink_via_payments,24371,,019573,24350,374.89,2025-01-07,unknown,fix_script
relink_via_payments,24372,,019585,24362,159.49,2025-01-07,unknown,fix_script
relink_via_payments,24378,,019740,24682,110.65,2025-04-14,unknown,fix_script
relink_via_payments,24384,,019590,24496,131.37,2025-02-27,unknown,fix_script
relink_via_payments,24385,,019727,24583,413.44,2025-06-30,unknown,fix_script
relink_via_payments,24391,,018885,24307,409.50,2024-12-20,unknown,fix_script
relink_via_payments,24393,,019768,24716,78.49,2025-04-29,unknown,fix_script
relink_via_payments,24404,,019719,24585,234.49,2025-03-12,unknown,fix_script
relink_via_payments,24405,,019610,24576,351.73,2025-03-10,unknown,fix_script
relink_via_payments,24407,,019713,24790,175.00,2025-05-16,unknown,fix_script
relink_via_payments,24413,,016993,24593,75.00,2025-03-14,unknown,fix_script
relink_via_payments,24417,,017194,24617,292.77,2025-03-24,unknown,fix_script
relink_via_payments,24418,,019574,24351,205.00,2025-01-07,unknown,fix_script
relink_via_payments,24419,,019551,24319,205.00,2024-12-23,unknown,fix_script
relink_via_payments,24421,,019493,24348,75.00,2025-01-03,unknown,fix_script
relink_via_payments,24422,,019512,24393,205.00,2025-01-21,unknown,fix_script
relink_via_payments,24424,,016122,24601,151.00,2025-03-17,unknown,fix_script
relink_via_payments,24432,,019716,24728,75.00,2025-04-30,unknown,fix_script
relink_via_payments,24435,,019618,24426,200.00,2025-02-03,unknown,fix_script
relink_via_payments,24437,,019770,24740,681.07,2025-05-02,unknown,fix_script
relink_via_payments,24444,,019215,24665,175.00,2025-04-08,unknown,fix_script
relink_via_payments,24445,,019753,24765,175.00,2025-05-08,unknown,fix_script
relink_via_payments,24451,,019575,24364,300.75,2025-01-08,unknown,fix_script
relink_via_payments,24455,,019597,24384,288.75,2025-01-16,unknown,fix_script
relink_via_payments,24456,,019620,24434,717.85,2025-02-03,unknown,fix_script
relink_via_payments,24458,,019650,24493,174.05,2025-02-26,unknown,fix_script
relink_via_payments,24464,,019119,24448,360.00,2025-02-10,unknown,fix_script
relink_via_payments,24466,,019564,24394,205.00,2025-01-22,unknown,fix_script
relink_via_payments,24467,,015520,24621,458.44,2025-03-25,unknown,fix_script
relink_via_payments,24468,,019726,24584,192.12,2025-03-12,unknown,fix_script
relink_via_payments,24471,,019589,24405,156.56,2025-01-24,unknown,fix_script
relink_via_payments,24473,,019738,24635,775.16,2025-03-31,unknown,fix_script
relink_via_payments,24479,,019724,24697,205.00,2025-04-17,unknown,fix_script
relink_via_payments,24483,,019582,24357,58.63,2025-01-07,unknown,fix_script
relink_via_payments,24487,,019627,24453,700.88,2025-02-12,unknown,fix_script
relink_via_payments,24495,,019762,24710,205.00,2025-04-24,unknown,fix_script
relink_via_payments,24502,,019702,24560,175.00,2025-03-07,unknown,fix_script
relink_via_payments,24505,,019371,24451,247.28,2025-02-11,unknown,fix_script
relink_via_payments,24507,,019586,24419,231.53,2025-01-31,unknown,fix_script
relink_via_payments,24510,,019048,24587,105.00,2025-03-12,unknown,fix_script
relink_via_payments,24511,,019753,24760,205.00,2025-05-07,unknown,fix_script
relink_via_payments,24521,,019609,24409,601.50,2025-01-27,unknown,fix_script
relink_via_payments,24522,,019632,24466,916.12,2025-02-13,unknown,fix_script
relink_via_payments,24526,,019556,24668,250.00,2025-04-09,unknown,fix_script
relink_via_payments,24527,,019640,24721,188.03,2025-04-29,unknown,fix_script
relink_via_payments,24528,,019769,24769,300.00,2025-05-09,unknown,fix_script
relink_via_payments,24533,,017298,24732,90.38,2025-05-01,unknown,fix_script
relink_via_payments,24536,,019696,25057,228.00,2025-07-11,unknown,fix_script
relink_via_payments,24537,,019551,24722,500.00,2025-04-29,unknown,fix_script
relink_via_payments,24545,,019710,24553,231.53,2025-03-06,unknown,fix_script
relink_via_payments,24546,,016389,24600,84.00,2025-03-17,unknown,fix_script
relink_via_payments,24547,,019509,24586,293.10,2025-03-12,unknown,fix_script
relink_via_payments,24549,,019566,24330,597.76,2024-12-30,unknown,fix_script
relink_via_payments,24553,,019517,24474,699.65,2025-02-17,unknown,fix_script
relink_via_payments,24554,,019567,24331,883.63,2024-12-30,unknown,fix_script
relink_via_payments,24555,,019751,24792,500.00,2025-05-20,unknown,fix_script
relink_via_payments,24557,,019739,24637,119.62,2025-04-01,unknown,fix_script
relink_via_payments,24564,,019707,24556,-205.00,2025-03-07,unknown,fix_script
relink_via_payments,24566,,018172,24723,805.71,2025-04-29,unknown,fix_script
relink_via_payments,24567,,013886,24701,326.38,2025-04-21,unknown,fix_script
relink_via_payments,24568,,019700,24727,416.85,2025-04-30,unknown,fix_script
relink_via_payments,24570,,019545,24303,1.00,2024-12-18,unknown,fix_script
relink_via_payments,24573,,016956,24620,5.00,2025-03-24,unknown,fix_script
relink_via_payments,24577,,019540,24392,1.00,2025-01-21,unknown,fix_script
relink_via_payments,24582,,017720,24656,541.50,2025-04-04,unknown,fix_script
relink_via_payments,24587,,019307,24371,379.50,2025-01-13,unknown,fix_script
relink_via_payments,24588,,019703,24559,75.00,2025-03-07,unknown,fix_script
relink_via_payments,24589,,019693,24692,90.19,2025-04-16,unknown,fix_script
relink_via_payments,24590,,019592,24376,75.00,2025-01-15,unknown,fix_script
relink_via_payments,24591,,019732,24579,263.15,2025-03-10,unknown,fix_script
relink_via_payments,24594,,016849,24709,244.24,2025-04-24,unknown,fix_script
relink_via_payments,24595,,017278,24589,75.00,2025-03-12,unknown,fix_script
relink_via_payments,24600,,019567,24379,210.00,2025-01-15,unknown,fix_script
relink_via_payments,24601,,019586,24418,263.03,2025-01-31,unknown,fix_script
relink_via_payments,24603,,015969,24603,175.00,2025-03-17,unknown,fix_script
relink_via_payments,24604,,019619,24435,726.88,2025-02-04,unknown,fix_script
relink_via_payments,24606,,019678,24641,538.73,2025-04-01,unknown,fix_script
relink_via_payments,24607,,016677,24599,351.00,2025-03-17,unknown,fix_script
relink_via_payments,24608,,019494,24347,367.50,2025-01-03,unknown,fix_script
relink_via_payments,24610,,019580,24398,231.53,2025-01-23,unknown,fix_script
relink_via_payments,24612,,019626,24458,500.00,2025-02-13,unknown,fix_script
relink_via_payments,24613,,019755,24770,75.00,2025-05-09,unknown,fix_script
relink_via_payments,24614,,019674,24828,288.07,2025-05-29,unknown,fix_script
relink_via_payments,24616,,019613,24636,119.62,2025-03-31,unknown,fix_script
relink_via_payments,24617,,019605,24403,75.00,2025-01-23,unknown,fix_script
relink_via_payments,24619,,019728,24808,446.25,2025-05-26,unknown,fix_script
relink_via_payments,24623,,019358,24385,132.50,2025-01-17,unknown,fix_script
relink_via_payments,24625,,019641,24483,961.73,2025-02-21,unknown,fix_script
relink_via_payments,24627,,015022,24676,897.45,2025-04-10,unknown,fix_script
relink_via_payments,24630,,019632,24465,250.00,2025-02-13,unknown,fix_script
relink_via_payments,24637,,019608,24417,84.00,2025-01-31,unknown,fix_script
relink_via_payments,24639,,016678,24598,215.00,2025-03-17,unknown,fix_script
relink_via_payments,24640,,019764,24705,120.00,2025-04-23,unknown,fix_script
relink_via_payments,24643,,018084,24619,500.00,2025-03-24,unknown,fix_script
relink_via_payments,24655,,019657,24504,265.65,2025-03-03,unknown,fix_script
relink_via_payments,24656,,019411,24407,350.00,2025-01-27,unknown,fix_script
relink_via_payments,24657,,019523,24302,210.00,2024-12-18,unknown,fix_script
relink_via_payments,24658,,019269,24432,376.25,2025-02-03,unknown,fix_script
relink_via_payments,24666,,017106,24616,260.25,2025-03-24,unknown,fix_script
relink_via_payments,24669,,019543,24300,484.00,2024-12-17,unknown,fix_script
relink_via_payments,24671,,019621,24442,275.62,2025-02-07,unknown,fix_script
relink_via_payments,24675,,018057,24702,206.81,2025-04-22,unknown,fix_script
relink_via_payments,24679,,019633,24467,58.80,2025-02-13,unknown,fix_script
relink_via_payments,24681,,019702,24557,248.59,2025-03-07,unknown,fix_script
relink_via_payments,24683,,019600,24389,601.50,2025-01-21,unknown,fix_script
relink_via_payments,24686,,019772,24796,244.24,2025-05-21,unknown,fix_script
relink_via_payments,24687,,019623,24439,75.00,2025-02-06,unknown,fix_script
relink_via_payments,24689,,019711,24555,500.00,2025-03-07,unknown,fix_script
relink_via_payments,24691,,019660,24497,488.48,2025-02-27,unknown,fix_script
relink_via_payments,24692,,019729,24812,205.00,2025-05-26,unknown,fix_script
relink_via_payments,24695,,019745,24695,78.75,2025-04-17,unknown,fix_script
relink_via_payments,24697,,019643,24487,188.03,2025-02-21,unknown,fix_script
relink_via_payments,24700,,019625,24441,189.06,2025-07-15,unknown,fix_script
relink_via_payments,24703,,019603,24446,188.03,2025-02-10,unknown,fix_script
relink_via_payments,24704,,015814,24607,351.73,2025-03-20,unknown,fix_script
relink_via_payments,24705,,019649,24754,440.00,2025-05-06,unknown,fix_script
relink_via_payments,24707,,019557,24344,376.95,2025-01-02,unknown,fix_script
relink_via_payments,24712,,019736,24634,456.31,2025-03-31,unknown,fix_script
relink_via_payments,24713,,019018,24255,361.00,2024-12-05,unknown,fix_script
relink_via_payments,24714,,019603,24396,250.00,2025-01-22,unknown,fix_script
relink_via_payments,24716,,015626,24672,205.00,2025-04-10,unknown,fix_script
relink_via_payments,24719,,018372,24643,90.47,2025-04-01,unknown,fix_script
relink_via_payments,24724,,019695,24787,190.00,2025-05-15,unknown,fix_script
relink_via_payments,24727,,019563,24328,333.75,2024-12-29,unknown,fix_script
relink_via_payments,24736,,019649,24749,305.30,2025-05-06,unknown,fix_script
relink_via_payments,24738,,019723,24698,214.99,2025-04-17,unknown,fix_script
relink_via_payments,24744,,019715,24562,231.50,2025-03-07,unknown,fix_script
relink_via_payments,24746,,019556,24323,152.35,2024-12-23,unknown,fix_script
relink_via_payments,24748,,017823,24707,-244.24,2025-04-23,unknown,fix_script
relink_via_payments,24751,,019757,24694,205.00,2025-04-16,unknown,fix_script
relink_via_payments,24752,,019572,24516,263.03,2025-03-04,unknown,fix_script
relink_via_payments,24753,,019749,24663,175.00,2025-04-08,unknown,fix_script
relink_via_payments,24761,,019518,24482,75.00,2025-02-21,unknown,fix_script
relink_via_payments,24763,,019769,24736,112.50,2025-05-02,unknown,fix_script
relink_via_payments,24764,,017010,24626,870.56,2025-03-26,unknown,fix_script
relink_via_payments,24765,,019531,24278,145.75,2024-12-11,unknown,fix_script
relink_via_payments,24766,,019722,24573,140.00,2025-03-07,unknown,fix_script
relink_via_payments,24769,,019737,24681,315.65,2025-04-14,unknown,fix_script
relink_via_payments,24773,,019618,24449,400.00,2025-02-10,unknown,fix_script
relink_via_payments,24779,,019588,24366,161.36,2025-01-08,unknown,fix_script
relink_via_payments,24780,,019536,24316,250.00,2024-12-19,unknown,fix_script
relink_via_payments,24784,,015049,24806,790.31,2025-05-23,unknown,fix_script
relink_via_payments,24785,,019596,24436,195.57,2025-02-05,unknown,fix_script
relink_via_payments,24791,,019489,24335,102.50,2024-12-30,unknown,fix_script
relink_via_payments,24798,,019772,24748,75.00,2025-05-05,unknown,fix_script
relink_via_payments,24800,,019766,24714,375.75,2025-04-28,unknown,fix_script
relink_via_payments,24810,,015327,24609,409.39,2025-03-21,unknown,fix_script
relink_via_payments,24813,,016502,24699,607.65,2025-04-18,unknown,fix_script
relink_via_payments,24815,,019595,24382,244.24,2025-01-16,unknown,fix_script
relink_via_payments,24817,,019531,24477,75.00,2025-02-18,unknown,fix_script
relink_via_payments,24819,,019611,24411,488.48,2025-01-28,unknown,fix_script
relink_via_payments,24826,,019762,24739,548.28,2025-05-02,unknown,fix_script
relink_via_payments,24828,,019559,24325,110.25,2024-12-26,unknown,fix_script
relink_via_payments,24829,,015643,24670,468.00,2025-04-09,unknown,fix_script
relink_via_payments,24831,,019621,24428,236.24,2025-02-03,unknown,fix_script
relink_via_payments,24837,,019306,24372,379.50,2025-01-13,unknown,fix_script
relink_via_payments,24840,,017484,24648,195.00,2025-04-02,unknown,fix_script
relink_via_payments,24844,,019709,24552,387.58,2025-03-05,unknown,fix_script
relink_via_payments,24846,,019709,24718,42.00,2025-04-29,unknown,fix_script
relink_via_payments,24847,,017022,24592,75.00,2025-03-14,unknown,fix_script
relink_via_payments,24848,,019380,24318,287.00,2024-12-20,unknown,fix_script
relink_via_payments,24852,,019565,24329,468.00,2024-12-30,unknown,fix_script
relink_via_payments,24857,,019645,24489,34.64,2025-02-21,unknown,fix_script
relink_via_payments,24859,,019549,24313,205.00,2024-12-19,unknown,fix_script
relink_via_payments,24860,,019718,24569,50.75,2025-03-07,unknown,fix_script
relink_via_payments,24861,,019718,24751,175.00,2025-05-06,unknown,fix_script
relink_via_payments,24865,,019638,24624,210.00,2025-03-26,unknown,fix_script
relink_via_payments,24868,,019587,24367,85.00,2025-01-10,unknown,fix_script
relink_via_payments,24869,,019648,24755,75.00,2025-05-07,unknown,fix_script
relink_via_payments,24871,,019508,24306,512.90,2024-12-18,unknown,fix_script
relink_via_payments,24872,,019767,24768,772.08,2025-05-09,unknown,fix_script
relink_via_payments,24882,,019514,24433,103.52,2025-02-03,unknown,fix_script
relink_via_payments,24890,,019119,24420,1.00,2025-01-31,unknown,fix_script
relink_via_payments,24891,,019727,24809,175.00,2025-05-26,unknown,fix_script
relink_via_payments,24892,,018486,24630,269.88,2025-03-28,unknown,fix_script
relink_via_payments,24894,,019741,24638,119.62,2025-04-01,unknown,fix_script
relink_via_payments,24895,,019513,24338,84.00,2024-12-31,unknown,fix_script
relink_via_payments,24897,,019555,24473,250.00,2025-05-30,unknown,fix_script
relink_via_payments,24905,,019699,24548,300.00,2025-03-05,unknown,fix_script
relink_via_payments,24908,,017942,24588,75.00,2025-03-12,unknown,fix_script
relink_via_payments,24912,,016715,24704,263.03,2025-04-23,unknown,fix_script
relink_via_payments,24913,,019756,24693,666.22,2025-04-16,unknown,fix_script
relink_via_payments,24918,,016740,24596,117.00,2025-03-15,unknown,fix_script
relink_via_payments,24920,,019551,24662,375.38,2025-04-08,unknown,fix_script
relink_via_payments,24921,,019517,24494,300.00,2025-02-26,unknown,fix_script
relink_via_payments,24923,,019655,24505,231.53,2025-03-03,unknown,fix_script
relink_via_payments,24925,,019546,24304,468.00,2024-12-18,unknown,fix_script
relink_via_payments,24930,,019577,24359,1.00,2025-01-07,unknown,fix_script
relink_via_payments,24931,,019544,24301,400.00,2024-12-18,unknown,fix_script
relink_via_payments,24937,,019720,24571,100.00,2025-03-07,unknown,fix_script
relink_via_payments,24947,,019735,24688,75.00,2025-04-15,unknown,fix_script
relink_via_payments,24951,,019548,24314,75.00,2024-12-19,unknown,fix_script
relink_via_payments,24952,,019725,24577,466.18,2025-03-10,unknown,fix_script
relink_via_payments,24957,,019662,24501,181.53,2025-03-03,unknown,fix_script
relink_via_payments,24958,,019630,24514,194.25,2025-03-03,unknown,fix_script
relink_via_payments,24962,,019624,24447,210.00,2025-02-10,unknown,fix_script
relink_via_payments,24967,,019746,24680,332.71,2025-04-12,unknown,fix_script
relink_via_payments,24971,,017278,24590,75.00,2025-03-13,unknown,fix_script
relink_via_payments,24976,,019206,24380,210.00,2025-01-16,unknown,fix_script
relink_via_payments,24978,,019711,24551,322.48,2025-03-05,unknown,fix_script
relink_via_payments,24979,,019742,24687,500.00,2025-04-14,unknown,fix_script
relink_via_payments,24980,,019121,24425,200.00,2025-02-03,unknown,fix_script
relink_via_payments,24984,,019647,24491,75.00,2025-02-24,unknown,fix_script
relink_via_payments,24990,,019566,24378,285.75,2025-01-15,unknown,fix_script
relink_via_payments,24991,,019269,24445,739.38,2025-02-10,unknown,fix_script
relink_via_payments,24998,,019721,24572,500.00,2025-03-07,unknown,fix_script
relink_via_payments,25007,,019726,24810,536.70,2025-05-26,unknown,fix_script
relink_via_payments,25010,,019632,24471,95.00,2025-02-14,unknown,fix_script
relink_via_payments,25011,,019590,24375,75.00,2025-01-13,unknown,fix_script
relink_via_payments,25014,,019748,24664,250.00,2025-04-08,unknown,fix_script
relink_via_payments,25021,,019765,24756,75.00,2025-05-07,unknown,fix_script
relink_via_payments,25025,,019612,24412,322.48,2025-01-28,unknown,fix_script
relink_via_payments,25028,,018659,24650,22.05,2025-04-03,unknown,fix_script
relink_via_payments,25030,,019735,24633,195.00,2025-03-31,unknown,fix_script
relink_via_payments,25041,,019767,24715,258.75,2025-04-28,unknown,fix_script
relink_via_payments,25044,,019694,24691,205.00,2025-04-16,unknown,fix_script
relink_via_payments,25047,,019763,24712,100.00,2025-04-28,unknown,fix_script
relink_via_payments,25054,,019604,24404,263.03,2025-01-23,unknown,fix_script
relink_via_payments,25055,,019192,24336,535.59,2024-12-30,unknown,fix_script
relink_via_payments,25060,,019598,25106,156.00,2025-07-24,unknown,fix_script
relink_via_payments,25064,,018411,24654,300.00,2025-04-04,unknown,fix_script
relink_via_payments,25068,,019750,24746,198.53,2025-05-05,unknown,fix_script
relink_via_payments,25069,,019665,24517,75.00,2025-03-04,unknown,fix_script
relink_via_payments,25070,,019528,24340,205.00,2024-12-31,unknown,fix_script
relink_via_payments,25081,,019541,24391,328.30,2025-01-21,unknown,fix_script
relink_via_payments,25082,,019593,24377,205.00,2025-01-15,unknown,fix_script
relink_via_payments,25085,,019729,24826,75.00,2025-05-29,unknown,fix_script
relink_via_payments,25089,,019273,24488,874.62,2025-02-21,unknown,fix_script
relink_via_payments,25090,,019658,24499,105.00,2025-03-03,unknown,fix_script
relink_via_payments,25093,,019698,24580,273.79,2025-03-10,unknown,fix_script
relink_via_payments,25094,,019715,24735,231.00,2025-05-02,unknown,fix_script
relink_via_payments,25096,,016730,24597,250.00,2025-03-17,unknown,fix_script
relink_via_payments,25098,,018978,24464,183.75,2025-02-13,unknown,fix_script
relink_via_payments,25099,,019622,24438,85.00,2025-02-05,unknown,fix_script
relink_via_payments,25100,,019634,24485,188.03,2025-02-21,unknown,fix_script
relink_via_payments,25103,,019390,24298,300.00,2024-12-17,unknown,fix_script
relink_via_payments,25104,,019768,24831,831.86,2025-05-29,unknown,fix_script
relink_via_payments,25107,,019663,24503,175.00,2025-03-03,unknown,fix_script
relink_via_payments,25109,,019557,24324,751.49,2024-12-23,unknown,fix_script
relink_via_payments,25111,,019492,24444,262.49,2025-02-10,unknown,fix_script
relink_via_payments,25112,,019680,24570,38.50,2025-03-07,unknown,fix_script
relink_via_payments,25117,,016739,24595,250.00,2025-03-14,unknown,fix_script
relink_via_payments,25119,,013878,24651,264.60,2025-04-03,unknown,fix_script
relink_via_payments,25121,,019581,24358,-1.00,2025-01-07,unknown,fix_script
relink_via_payments,25130,,019527,24341,100.00,2025-01-01,unknown,fix_script
relink_via_payments,25139,,019765,24711,21.00,2025-04-28,unknown,fix_script
relink_via_payments,25140,,017301,24653,41.34,2025-04-04,unknown,fix_script
relink_via_payments,25144,,019529,24317,175.00,2024-12-19,unknown,fix_script
relink_via_payments,25146,,019749,24745,250.00,2025-05-05,unknown,fix_script
relink_via_payments,25150,,019644,24486,156.53,2025-02-21,unknown,fix_script
relink_via_payments,25151,,019553,24321,500.00,2024-12-23,unknown,fix_script
relink_via_payments,25152,,019561,24326,100.00,2024-12-27,unknown,fix_script
relink_via_payments,25156,,019733,24631,113.51,2025-03-31,unknown,fix_script
relink_via_payments,25158,,019090,24360,45.00,2025-01-07,unknown,fix_script
relink_via_payments,25167,,019423,24669,35.00,2025-04-09,unknown,fix_script
relink_via_payments,25169,,019717,24568,654.10,2025-03-07,unknown,fix_script
relink_via_payments,25171,,019542,24390,188.03,2025-01-21,unknown,fix_script
relink_via_payments,25172,,018352,24646,721.40,2025-04-02,unknown,fix_script
relink_via_payments,25174,,019372,24450,944.25,2025-02-10,unknown,fix_script
relink_via_payments,25176,,017662,24647,350.00,2025-04-02,unknown,fix_script
relink_via_payments,25179,,018841,24661,195.00,2025-04-07,unknown,fix_script
relink_via_payments,25181,,019548,24322,117.43,2024-12-23,unknown,fix_script
relink_via_payments,25182,,015147,24666,231.53,2025-04-08,unknown,fix_script
relink_via_payments,25185,,019634,24484,939.38,2025-02-21,unknown,fix_script
relink_via_payments,25186,,019618,24472,100.00,2025-02-14,unknown,fix_script
relink_via_payments,25187,,019731,24720,681.25,2025-04-29,unknown,fix_script
relink_via_payments,25188,,019723,24581,-293.12,2025-03-11,unknown,fix_script
relink_via_payments,25190,,019593,24454,75.00,2025-02-12,unknown,fix_script
relink_via_payments,25191,,019671,24575,140.00,2025-03-10,unknown,fix_script
relink_via_payments,25192,,019561,24469,300.75,2025-02-14,unknown,fix_script
relink_via_payments,25197,,019571,24346,75.00,2025-01-03,unknown,fix_script
relink_via_payments,25199,,019764,24742,273.98,2025-05-02,unknown,fix_script
relink_via_payments,25202,,017895,24649,6.30,2025-04-03,unknown,fix_script
relink_via_payments,25203,,019616,24422,764.37,2025-01-31,unknown,fix_script
relink_via_payments,25204,,019648,24750,366.36,2025-05-06,unknown,fix_script
relink_via_payments,25211,,019754,24678,91.35,2025-04-11,unknown,fix_script
relink_via_payments,25214,,019576,24373,735.00,2025-01-13,unknown,fix_script
relink_via_payments,25216,,019517,24481,175.00,2025-02-20,unknown,fix_script
relink_via_payments,25218,,019650,24802,931.35,2025-05-21,unknown,fix_script
relink_via_payments,25219,,019550,24315,75.00,2024-12-19,unknown,fix_script
relink_via_payments,25224,,019574,24628,234.84,2025-03-28,unknown,fix_script
relink_via_payments,25225,,019756,24753,500.00,2025-05-06,unknown,fix_script
relink_via_payments,25228,,017022,24591,75.00,2025-03-13,unknown,fix_script
relink_via_payments,25230,,016755,24594,156.53,2025-03-14,unknown,fix_script
relink_via_payments,25232,,019770,24741,253.84,2025-05-02,unknown,fix_script
relink_via_payments,25234,,019598,24437,75.00,2025-02-05,unknown,fix_script
relink_via_payments,25239,,019340,23975,400.00,2024-09-16,unknown,fix_script
relink_via_payments,25243,,019609,24427,500.00,2025-02-03,unknown,fix_script
relink_via_payments,25246,,019663,24549,175.00,2025-03-05,unknown,fix_script
relink_via_payments,25248,,019566,24374,231.53,2025-01-13,unknown,fix_script
relink_via_payments,25253,,019608,24416,314.29,2025-01-30,unknown,fix_script
relink_via_payments,25254,,019131,24369,163.44,2025-01-11,unknown,fix_script
relink_via_payments,25255,,018295,24675,205.00,2025-04-10,unknown,fix_script
relink_via_payments,25256,,019669,24565,-273.79,2025-03-07,unknown,fix_script
relink_via_payments,25258,,019346,24452,554.55,2025-02-11,unknown,fix_script
relink_via_payments,25271,,016533,24622,325.16,2025-03-26,unknown,fix_script
relink_via_payments,25272,,019583,24365,366.36,2025-01-08,unknown,fix_script
relink_via_payments,25277,,019655,24495,855.73,2025-02-27,unknown,fix_script
relink_via_payments,25281,,019592,24395,205.00,2025-01-22,unknown,fix_script
relink_via_payments,25282,,019731,24578,418.01,2025-03-10,unknown,fix_script
relink_via_payments,25283,,019523,24368,413.44,2025-01-10,unknown,fix_script
relink_via_payments,25284,,018165,24708,244.24,2025-04-24,unknown,fix_script
relink_via_payments,25289,,019530,24478,250.00,2025-02-19,unknown,fix_script
relink_via_payments,25297,,019598,24386,300.00,2025-01-17,unknown,fix_script
relink_via_payments,25300,,019750,24757,70.45,2025-05-07,unknown,fix_script
relink_via_payments,25312,,016312,24658,328.75,2025-04-04,unknown,fix_script
relink_via_payments,25321,,017200,24623,175.00,2025-03-26,unknown,fix_script
relink_via_payments,25322,,019490,24334,165.00,2024-12-30,unknown,fix_script
relink_via_payments,25325,,019617,24443,263.03,2025-02-10,unknown,fix_script
relink_via_payments,25327,,019584,24361,237.65,2025-01-07,unknown,fix_script
relink_via_payments,25331,,019539,24311,226.55,2024-12-18,unknown,fix_script
relink_via_payments,25333,,019672,24515,471.98,2025-03-04,unknown,fix_script
