cp_id,action,old_reserve,new_reserve,amount,payment_key,old_payment_date,new_payment_date,new_source
23281,same_reserve_cleanup,018962,018962,561.3,0021613,2025-07-24,2024-11-04,lms_relink_batch5_same_key_reserve_20260410
23283,same_reserve_cleanup,018962,018962,1000.0,0021812,2025-07-24,2025-01-07,lms_relink_batch5_same_key_reserve_20260410
23284,same_reserve_cleanup,018981,018981,300.0,0021630,2025-07-24,2024-11-09,lms_relink_batch5_same_key_reserve_20260410
23285,same_reserve_cleanup,018920,018920,1114.5,0021561,2025-07-24,2024-10-11,lms_relink_batch5_same_key_reserve_20260410
23286,same_reserve_cleanup,018927,018927,500.0,0021569,2025-07-24,2024-10-16,lms_relink_batch5_same_key_reserve_20260410
23290,same_reserve_cleanup,018980,018980,253.5,0021629,2025-07-24,2024-11-08,lms_relink_batch5_same_key_reserve_20260410
23293,same_reserve_cleanup,018957,018957,1513.0,0021607,2025-07-24,2024-10-31,lms_relink_batch5_same_key_reserve_20260410
23309,same_reserve_cleanup,018864,018864,300.0,0021483,2025-07-24,2024-09-12,lms_relink_batch5_same_key_reserve_20260410
23311,same_reserve_cleanup,018988,018988,57.75,0021643,2025-07-24,2024-11-14,lms_relink_batch5_same_key_reserve_20260410
23323,same_reserve_cleanup,018982,018982,117.94,0021647,2025-07-24,2024-11-15,lms_relink_batch5_same_key_reserve_20260410
23344,same_reserve_cleanup,018983,018983,883.75,0021636,2025-07-24,2024-11-12,lms_relink_batch5_same_key_reserve_20260410
23381,same_reserve_cleanup,018947,018947,75.0,0021589,2025-07-24,2024-10-24,lms_relink_batch5_same_key_reserve_20260410
23398,same_reserve_cleanup,018937,018937,300.0,0021583,2025-07-24,2024-10-23,lms_relink_batch5_same_key_reserve_20260410
23406,same_reserve_cleanup,019034,019034,703.0,0021745,2025-07-24,2024-12-13,lms_relink_batch5_same_key_reserve_20260410
23417,same_reserve_cleanup,019003,019003,402.0,0021670,2025-07-24,2024-11-22,lms_relink_batch5_same_key_reserve_20260410
23420,same_reserve_cleanup,018973,018973,1338.0,0021743,2025-07-24,2024-12-13,lms_relink_batch5_same_key_reserve_20260410
23421,same_reserve_cleanup,018973,018973,703.0,0021744,2025-07-24,2024-12-13,lms_relink_batch5_same_key_reserve_20260410
23436,same_reserve_cleanup,019045,019045,1810.0,0021746,2025-07-24,2024-12-16,lms_relink_batch5_same_key_reserve_20260410
23474,same_reserve_cleanup,019069,019069,538.13,0021790,2025-07-24,2024-12-31,lms_relink_batch5_same_key_reserve_20260410
23496,same_reserve_cleanup,019077,019077,500.0,0021797,2025-07-24,2025-01-03,lms_relink_batch5_same_key_reserve_20260410
23499,same_reserve_cleanup,018959,018959,199.5,0021611,2025-07-24,2024-11-01,lms_relink_batch5_same_key_reserve_20260410
23508,same_reserve_cleanup,019075,019075,553.2,0021799,2025-07-24,2025-01-03,lms_relink_batch5_same_key_reserve_20260410
23514,same_reserve_cleanup,019095,019095,50.0,0021836,2025-07-24,2025-01-17,lms_relink_batch5_same_key_reserve_20260410
23515,same_reserve_cleanup,019095,019095,168.0,0021838,2025-07-24,2025-01-19,lms_relink_batch5_same_key_reserve_20260410
23517,same_reserve_cleanup,019078,019078,1000.0,0021816,2025-07-24,2025-01-08,lms_relink_batch5_same_key_reserve_20260410
23519,same_reserve_cleanup,019092,019092,2158.65,0021835,2025-07-24,2025-01-17,lms_relink_batch5_same_key_reserve_20260410
23534,same_reserve_cleanup,019047,019047,516.6,0021856,2025-07-24,2025-01-28,lms_relink_batch5_same_key_reserve_20260410
23538,same_reserve_cleanup,019032,019032,166.05,0021858,2025-07-24,2025-01-29,lms_relink_batch5_same_key_reserve_20260410
23542,same_reserve_cleanup,019101,019101,682.0,0021839,2025-07-24,2025-01-21,lms_relink_batch5_same_key_reserve_20260410
23565,same_reserve_cleanup,019134,019134,861.0,0021889,2025-07-24,2025-02-10,lms_relink_batch5_same_key_reserve_20260410
23568,same_reserve_cleanup,019137,019137,500.0,0021887,2025-07-24,2025-02-10,lms_relink_batch5_same_key_reserve_20260410
23569,same_reserve_cleanup,019139,019139,400.0,0021892,2025-07-24,2025-02-10,lms_relink_batch5_same_key_reserve_20260410
23571,same_reserve_cleanup,018283,018283,430.5,0021882,2025-07-24,2025-02-06,lms_relink_batch5_same_key_reserve_20260410
23574,same_reserve_cleanup,019157,019157,479.7,0021912,2025-07-24,2025-02-18,lms_relink_batch5_same_key_reserve_20260410
23575,same_reserve_cleanup,019157,019157,831.83,0021913,2025-07-24,2025-02-18,lms_relink_batch5_same_key_reserve_20260410
23576,same_reserve_cleanup,019132,019132,116.25,0021902,2025-07-24,2025-02-13,lms_relink_batch5_same_key_reserve_20260410
23579,same_reserve_cleanup,019138,019138,400.0,0021891,2025-07-24,2025-02-10,lms_relink_batch5_same_key_reserve_20260410
23580,same_reserve_cleanup,019138,019138,696.6,0021897,2025-07-24,2025-02-12,lms_relink_batch5_same_key_reserve_20260410
23582,same_reserve_cleanup,019150,019150,300.0,0021916,2025-07-24,2025-02-20,lms_relink_batch5_same_key_reserve_20260410
23583,same_reserve_cleanup,019126,019126,1620.0,0021896,2025-07-24,2025-02-12,lms_relink_batch5_same_key_reserve_20260410
23584,same_reserve_cleanup,019140,019140,420.0,0022324,2025-07-24,2025-07-16,lms_relink_batch5_same_key_reserve_20260410
23586,same_reserve_cleanup,019136,019136,300.0,0021921,2025-07-24,2025-02-21,lms_relink_batch5_same_key_reserve_20260410
23588,same_reserve_cleanup,019168,019168,157.5,0021925,2025-07-24,2025-02-22,lms_relink_batch5_same_key_reserve_20260410
23591,same_reserve_cleanup,019149,019149,322.87,0021903,2025-07-24,2025-02-13,lms_relink_batch5_same_key_reserve_20260410
23593,same_reserve_cleanup,019149,019149,500.0,0021918,2025-07-24,2025-02-20,lms_relink_batch5_same_key_reserve_20260410
23594,same_reserve_cleanup,019149,019149,500.0,0021924,2025-07-24,2025-02-21,lms_relink_batch5_same_key_reserve_20260410
23598,same_reserve_cleanup,019162,019162,300.0,0021919,2025-07-24,2025-02-21,lms_relink_batch5_same_key_reserve_20260410
23600,same_reserve_cleanup,019143,019143,384.0,0021900,2025-07-24,2025-02-13,lms_relink_batch5_same_key_reserve_20260410
23603,same_reserve_cleanup,019145,019145,300.0,0021929,2025-07-24,2025-02-26,lms_relink_batch5_same_key_reserve_20260410
23605,same_reserve_cleanup,019089,019089,672.25,0021931,2025-07-24,2025-02-27,lms_relink_batch5_same_key_reserve_20260410
23606,same_reserve_cleanup,019163,019163,540.0,0021920,2025-07-24,2025-02-21,lms_relink_batch5_same_key_reserve_20260410
23616,same_reserve_cleanup,019159,019159,69.5,0021915,2025-07-24,2025-02-19,lms_relink_batch5_same_key_reserve_20260410
23621,same_reserve_cleanup,019142,019142,553.5,0021893,2025-07-24,2025-02-11,lms_relink_batch5_same_key_reserve_20260410
23622,same_reserve_cleanup,019142,019142,682.5,0021933,2025-07-24,2025-02-27,lms_relink_batch5_same_key_reserve_20260410
23624,same_reserve_cleanup,019097,019097,160.0,0021942,2025-07-24,2025-03-04,lms_relink_batch5_same_key_reserve_20260410
23633,same_reserve_cleanup,019152,019152,300.0,0021907,2025-07-24,2025-02-14,lms_relink_batch5_same_key_reserve_20260410
23634,same_reserve_cleanup,019152,019152,500.0,0021941,2025-07-24,2025-03-04,lms_relink_batch5_same_key_reserve_20260410
23635,same_reserve_cleanup,019152,019152,553.5,0021945,2025-07-24,2025-03-05,lms_relink_batch5_same_key_reserve_20260410
23645,same_reserve_cleanup,019174,019174,853.0,0021951,2025-07-24,2025-03-07,lms_relink_batch5_same_key_reserve_20260410
23648,same_reserve_cleanup,019190,019190,1660.5,0021946,2025-07-24,2025-03-05,lms_relink_batch5_same_key_reserve_20260410
23649,same_reserve_cleanup,019195,019195,479.7,0021947,2025-07-24,2025-03-06,lms_relink_batch5_same_key_reserve_20260410
23650,same_reserve_cleanup,019196,019196,500.0,0021953,2025-07-24,2025-03-10,lms_relink_batch5_same_key_reserve_20260410
23651,same_reserve_cleanup,019203,019203,500.0,0021957,2025-07-24,2025-03-10,lms_relink_batch5_same_key_reserve_20260410
23652,same_reserve_cleanup,019205,019205,161.43,0021960,2025-07-24,2025-03-11,lms_relink_batch5_same_key_reserve_20260410
23653,same_reserve_cleanup,019204,019204,500.0,0021958,2025-07-24,2025-03-10,lms_relink_batch5_same_key_reserve_20260410
23655,same_reserve_cleanup,019064,019064,939.1,0021967,2025-07-24,2025-03-12,lms_relink_batch5_same_key_reserve_20260410
23656,same_reserve_cleanup,019064,019064,661.75,0021979,2025-07-24,2025-03-17,lms_relink_batch5_same_key_reserve_20260410
23658,same_reserve_cleanup,019189,019189,430.5,0021964,2025-07-24,2025-03-12,lms_relink_batch5_same_key_reserve_20260410
23659,same_reserve_cleanup,019216,019216,472.05,0021973,2025-07-24,2025-03-14,lms_relink_batch5_same_key_reserve_20260410
23660,same_reserve_cleanup,019216,019216,430.5,0021975,2025-07-24,2025-03-17,lms_relink_batch5_same_key_reserve_20260410
23662,same_reserve_cleanup,019201,019201,75.0,0021955,2025-07-24,2025-03-10,lms_relink_batch5_same_key_reserve_20260410
23663,same_reserve_cleanup,019201,019201,179.7,0021966,2025-07-24,2025-03-12,lms_relink_batch5_same_key_reserve_20260410
23664,same_reserve_cleanup,019217,019217,2177.1,0021974,2025-07-24,2025-03-15,lms_relink_batch5_same_key_reserve_20260410
23666,same_reserve_cleanup,019200,019200,1136.75,0021954,2025-07-24,2025-03-10,lms_relink_batch5_same_key_reserve_20260410
23669,same_reserve_cleanup,019200,019200,1118.0,0021987,2025-07-24,2025-03-21,lms_relink_batch5_same_key_reserve_20260410
23670,same_reserve_cleanup,019211,019211,1406.5,0021969,2025-07-24,2025-03-13,lms_relink_batch5_same_key_reserve_20260410
23671,same_reserve_cleanup,019211,019211,939.1,0021970,2025-07-24,2025-03-14,lms_relink_batch5_same_key_reserve_20260410
23672,same_reserve_cleanup,019211,019211,312.85,0021978,2025-07-24,2025-03-17,lms_relink_batch5_same_key_reserve_20260410
23673,same_reserve_cleanup,019199,019199,199.5,0021952,2025-07-24,2025-03-10,lms_relink_batch5_same_key_reserve_20260410
23675,same_reserve_cleanup,019218,019218,300.0,0021976,2025-07-24,2025-03-17,lms_relink_batch5_same_key_reserve_20260410
23676,same_reserve_cleanup,019197,019197,599.63,0021991,2025-07-24,2025-03-21,lms_relink_batch5_same_key_reserve_20260410
23679,same_reserve_cleanup,019229,019229,500.0,0021997,2025-07-24,2025-03-24,lms_relink_batch5_same_key_reserve_20260410
23680,same_reserve_cleanup,019230,019230,472.5,0021988,2025-07-24,2025-03-21,lms_relink_batch5_same_key_reserve_20260410
23682,same_reserve_cleanup,019241,019241,720.0,0022014,2025-07-24,2025-04-01,lms_relink_batch5_same_key_reserve_20260410
23683,same_reserve_cleanup,019242,019242,500.0,0022000,2025-07-24,2025-03-26,lms_relink_batch5_same_key_reserve_20260410
23684,same_reserve_cleanup,019239,019239,808.25,0022001,2025-07-24,2025-03-26,lms_relink_batch5_same_key_reserve_20260410
23688,same_reserve_cleanup,019094,019094,9.25,0021998,2025-07-24,2025-03-25,lms_relink_batch5_same_key_reserve_20260410
23689,same_reserve_cleanup,019094,019094,400.0,0021999,2025-07-24,2025-03-26,lms_relink_batch5_same_key_reserve_20260410
23690,same_reserve_cleanup,019094,019094,157.5,0022007,2025-07-24,2025-03-28,lms_relink_batch5_same_key_reserve_20260410
23691,same_reserve_cleanup,019243,019243,200.0,0022003,2025-07-24,2025-03-26,lms_relink_batch5_same_key_reserve_20260410
23692,same_reserve_cleanup,019240,019240,682.65,0022005,2025-07-24,2025-03-28,lms_relink_batch5_same_key_reserve_20260410
23693,same_reserve_cleanup,019212,019212,334.75,0021968,2025-07-24,2025-03-13,lms_relink_batch5_same_key_reserve_20260410
23696,same_reserve_cleanup,019129,019129,84.0,0022009,2025-07-24,2025-03-31,lms_relink_batch5_same_key_reserve_20260410
23697,same_reserve_cleanup,019194,019194,271.0,0021959,2025-07-24,2025-03-11,lms_relink_batch5_same_key_reserve_20260410
23698,same_reserve_cleanup,019194,019194,547.5,0022006,2025-07-24,2025-03-28,lms_relink_batch5_same_key_reserve_20260410
23699,same_reserve_cleanup,019194,019194,720.0,0022013,2025-07-24,2025-03-31,lms_relink_batch5_same_key_reserve_20260410
23702,same_reserve_cleanup,019258,019258,500.0,0022023,2025-07-24,2025-04-03,lms_relink_batch5_same_key_reserve_20260410
23704,same_reserve_cleanup,019265,019265,376.5,0022024,2025-07-24,2025-04-03,lms_relink_batch5_same_key_reserve_20260410
23706,same_reserve_cleanup,019221,019221,260.5,0021981,2025-07-24,2025-03-17,lms_relink_batch5_same_key_reserve_20260410
23707,same_reserve_cleanup,019233,019233,330.25,0021992,2025-07-24,2025-03-24,lms_relink_batch5_same_key_reserve_20260410
23708,same_reserve_cleanup,019233,019233,422.5,0022033,2025-07-24,2025-04-07,lms_relink_batch5_same_key_reserve_20260410
23709,same_reserve_cleanup,019263,019263,651.5,0022025,2025-07-24,2025-04-03,lms_relink_batch5_same_key_reserve_20260410
23711,same_reserve_cleanup,019257,019257,183.75,0022032,2025-07-24,2025-04-07,lms_relink_batch5_same_key_reserve_20260410
23714,same_reserve_cleanup,019272,019272,430.5,0022034,2025-07-24,2025-04-08,lms_relink_batch5_same_key_reserve_20260410
23717,same_reserve_cleanup,019219,019219,145.75,0022048,2025-07-24,2025-04-11,lms_relink_batch5_same_key_reserve_20260410
23719,same_reserve_cleanup,019277,019277,500.0,0022037,2025-07-24,2025-04-09,lms_relink_batch5_same_key_reserve_20260410
23720,same_reserve_cleanup,019266,019266,500.0,0022026,2025-07-24,2025-04-04,lms_relink_batch5_same_key_reserve_20260410
23728,same_reserve_cleanup,019170,019170,339.1,0022047,2025-07-24,2025-04-11,lms_relink_batch5_same_key_reserve_20260410
23729,same_reserve_cleanup,019223,019223,219.55,0021982,2025-07-24,2025-03-18,lms_relink_batch5_same_key_reserve_20260410
23731,same_reserve_cleanup,019267,019267,369.0,0022028,2025-07-24,2025-04-04,lms_relink_batch5_same_key_reserve_20260410
23736,same_reserve_cleanup,019283,019283,208.75,0022054,2025-07-24,2025-04-15,lms_relink_batch5_same_key_reserve_20260410
23740,same_reserve_cleanup,019290,019290,900.0,0022064,2025-07-24,2025-04-17,lms_relink_batch5_same_key_reserve_20260410
23744,same_reserve_cleanup,019156,019156,553.5,0022065,2025-07-24,2025-04-18,lms_relink_batch5_same_key_reserve_20260410
23748,same_reserve_cleanup,019288,019288,730.0,0022055,2025-07-24,2025-04-15,lms_relink_batch5_same_key_reserve_20260410
23749,same_reserve_cleanup,019288,019288,90.0,0022067,2025-07-24,2025-04-21,lms_relink_batch5_same_key_reserve_20260410
23751,same_reserve_cleanup,019296,019296,500.0,0022062,2025-07-24,2025-04-17,lms_relink_batch5_same_key_reserve_20260410
23752,same_reserve_cleanup,019285,019285,436.31,0022073,2025-07-24,2025-04-24,lms_relink_batch5_same_key_reserve_20260410
23753,same_reserve_cleanup,019309,019309,487.25,0022079,2025-07-24,2025-04-28,lms_relink_batch5_same_key_reserve_20260410
23754,same_reserve_cleanup,019312,019312,1738.75,0022078,2025-07-24,2025-04-28,lms_relink_batch5_same_key_reserve_20260410
23758,same_reserve_cleanup,019310,019310,500.0,0022077,2025-07-24,2025-04-28,lms_relink_batch5_same_key_reserve_20260410
23759,same_reserve_cleanup,019231,019231,830.25,0021990,2025-07-24,2025-03-21,lms_relink_batch5_same_key_reserve_20260410
23760,same_reserve_cleanup,019231,019231,300.0,0022086,2025-07-24,2025-04-29,lms_relink_batch5_same_key_reserve_20260410
23763,same_reserve_cleanup,019311,019311,500.0,0022085,2025-07-24,2025-04-29,lms_relink_batch5_same_key_reserve_20260410
23764,same_reserve_cleanup,019268,019268,600.34,0022029,2025-07-24,2025-04-04,lms_relink_batch5_same_key_reserve_20260410
23766,same_reserve_cleanup,019268,019268,600.0,0022094,2025-07-24,2025-05-01,lms_relink_batch5_same_key_reserve_20260410
23767,same_reserve_cleanup,019227,019227,650.0,0022087,2025-07-24,2025-04-29,lms_relink_batch5_same_key_reserve_20260410
23769,same_reserve_cleanup,019227,019227,52.5,0022090,2025-07-24,2025-04-30,lms_relink_batch5_same_key_reserve_20260410
23770,same_reserve_cleanup,019319,019319,253.5,0022089,2025-07-24,2025-04-30,lms_relink_batch5_same_key_reserve_20260410
23771,same_reserve_cleanup,019299,019299,31.5,0022068,2025-07-24,2025-04-22,lms_relink_batch5_same_key_reserve_20260410
23773,same_reserve_cleanup,019322,019322,340.0,0022098,2025-07-24,2025-05-02,lms_relink_batch5_same_key_reserve_20260410
23774,same_reserve_cleanup,019322,019322,500.0,0022110,2025-07-24,2025-05-06,lms_relink_batch5_same_key_reserve_20260410
23778,same_reserve_cleanup,019313,019313,500.0,0022080,2025-07-24,2025-04-29,lms_relink_batch5_same_key_reserve_20260410
23779,same_reserve_cleanup,019313,019313,791.5,0022109,2025-07-24,2025-05-05,lms_relink_batch5_same_key_reserve_20260410
23780,same_reserve_cleanup,019323,019323,1036.75,0022097,2025-07-24,2025-05-01,lms_relink_batch5_same_key_reserve_20260410
23782,same_reserve_cleanup,019237,019237,307.31,0022095,2025-07-24,2025-05-01,lms_relink_batch5_same_key_reserve_20260410
23783,same_reserve_cleanup,019237,019237,850.0,0022105,2025-07-24,2025-05-05,lms_relink_batch5_same_key_reserve_20260410
23788,same_reserve_cleanup,019171,019171,598.5,0022116,2025-07-24,2025-05-07,lms_relink_batch5_same_key_reserve_20260410
23795,same_reserve_cleanup,019271,019271,451.05,0022133,2025-07-24,2025-05-12,lms_relink_batch5_same_key_reserve_20260410
23797,same_reserve_cleanup,019303,019303,700.25,0022071,2025-07-24,2025-04-23,lms_relink_batch5_same_key_reserve_20260410
23803,same_reserve_cleanup,019331,019331,1075.0,0022103,2025-07-24,2025-05-02,lms_relink_batch5_same_key_reserve_20260410
23804,same_reserve_cleanup,019331,019331,504.37,0022121,2025-07-24,2025-05-07,lms_relink_batch5_same_key_reserve_20260410
23806,same_reserve_cleanup,019225,019225,1030.8,0021983,2025-07-24,2025-03-18,lms_relink_batch5_same_key_reserve_20260410
23807,same_reserve_cleanup,019225,019225,63.37,0022122,2025-07-24,2025-05-07,lms_relink_batch5_same_key_reserve_20260410
23810,same_reserve_cleanup,019295,019295,204.75,0022061,2025-07-24,2025-04-17,lms_relink_batch5_same_key_reserve_20260410
23811,same_reserve_cleanup,019295,019295,583.13,0022120,2025-07-24,2025-05-07,lms_relink_batch5_same_key_reserve_20260410
23814,same_reserve_cleanup,019339,019339,315.0,0022130,2025-07-24,2025-05-09,lms_relink_batch5_same_key_reserve_20260410
23815,same_reserve_cleanup,019339,019339,1116.07,0022132,2025-07-24,2025-05-10,lms_relink_batch5_same_key_reserve_20260410
23818,same_reserve_cleanup,019340,019340,500.0,0022117,2025-07-24,2025-05-07,lms_relink_batch5_same_key_reserve_20260410
23821,same_reserve_cleanup,019349,019349,423.15,0022139,2025-07-24,2025-05-14,lms_relink_batch5_same_key_reserve_20260410
23823,same_reserve_cleanup,019316,019316,300.0,0022082,2025-07-24,2025-04-29,lms_relink_batch5_same_key_reserve_20260410
23824,same_reserve_cleanup,019316,019316,252.0,0022136,2025-07-24,2025-05-13,lms_relink_batch5_same_key_reserve_20260410
23825,same_reserve_cleanup,019210,019210,345.75,0021962,2025-07-24,2025-03-12,lms_relink_batch5_same_key_reserve_20260410
23826,same_reserve_cleanup,019210,019210,300.0,0022138,2025-07-24,2025-05-14,lms_relink_batch5_same_key_reserve_20260410
23827,same_reserve_cleanup,019210,019210,774.0,0022152,2025-07-24,2025-05-21,lms_relink_batch5_same_key_reserve_20260410
23828,same_reserve_cleanup,019354,019354,898.05,0022141,2025-07-24,2025-05-15,lms_relink_batch5_same_key_reserve_20260410
23829,same_reserve_cleanup,019361,019361,774.0,0022156,2025-07-24,2025-05-21,lms_relink_batch5_same_key_reserve_20260410
23831,same_reserve_cleanup,019278,019278,450.0,0022151,2025-07-24,2025-05-21,lms_relink_batch5_same_key_reserve_20260410
23833,same_reserve_cleanup,019343,019343,161.25,0022150,2025-07-24,2025-05-20,lms_relink_batch5_same_key_reserve_20260410
23834,same_reserve_cleanup,019366,019366,315.0,0022158,2025-07-24,2025-05-22,lms_relink_batch5_same_key_reserve_20260410
23838,same_reserve_cleanup,019141,019141,448.73,0021895,2025-07-24,2025-02-12,lms_relink_batch5_same_key_reserve_20260410
23839,same_reserve_cleanup,019141,019141,500.0,0022154,2025-07-24,2025-05-21,lms_relink_batch5_same_key_reserve_20260410
23842,same_reserve_cleanup,019236,019236,895.0,0022161,2025-07-24,2025-05-23,lms_relink_batch5_same_key_reserve_20260410
23843,same_reserve_cleanup,019320,019320,500.0,0022093,2025-07-24,2025-04-30,lms_relink_batch5_same_key_reserve_20260410
23844,same_reserve_cleanup,019364,019364,108.0,0022167,2025-07-24,2025-05-26,lms_relink_batch5_same_key_reserve_20260410
23845,same_reserve_cleanup,019228,019228,89.25,0021985,2025-07-24,2025-03-20,lms_relink_batch5_same_key_reserve_20260410
23846,same_reserve_cleanup,019228,019228,513.75,0022149,2025-07-24,2025-05-20,lms_relink_batch5_same_key_reserve_20260410
23847,same_reserve_cleanup,019368,019368,359.77,0022181,2025-07-24,2025-05-29,lms_relink_batch5_same_key_reserve_20260410
23848,same_reserve_cleanup,019365,019365,232.0,0022166,2025-07-24,2025-05-26,lms_relink_batch5_same_key_reserve_20260410
23849,same_reserve_cleanup,019363,019363,150.0,0022159,2025-07-24,2025-05-23,lms_relink_batch5_same_key_reserve_20260410
23850,same_reserve_cleanup,019363,019363,300.0,0022162,2025-07-24,2025-05-24,lms_relink_batch5_same_key_reserve_20260410
23851,same_reserve_cleanup,019363,019363,180.0,0022165,2025-07-24,2025-05-26,lms_relink_batch5_same_key_reserve_20260410
23852,same_reserve_cleanup,019353,019353,500.0,0022163,2025-07-24,2025-05-26,lms_relink_batch5_same_key_reserve_20260410
23854,same_reserve_cleanup,019377,019377,380.25,0022175,2025-07-24,2025-05-28,lms_relink_batch5_same_key_reserve_20260410
23855,same_reserve_cleanup,019347,019347,315.0,0022131,2025-07-24,2025-05-09,lms_relink_batch5_same_key_reserve_20260410
23856,same_reserve_cleanup,019347,019347,455.1,0022168,2025-07-24,2025-05-26,lms_relink_batch5_same_key_reserve_20260410
23857,same_reserve_cleanup,019378,019378,575.63,0022183,2025-07-24,2025-05-29,lms_relink_batch5_same_key_reserve_20260410
23861,same_reserve_cleanup,019155,019155,539.47,0022182,2025-07-24,2025-05-29,lms_relink_batch5_same_key_reserve_20260410
23862,same_reserve_cleanup,018821,018821,300.0,0021800,2025-07-24,2025-01-06,lms_relink_batch5_same_key_reserve_20260410
23863,same_reserve_cleanup,018821,018821,697.75,0022147,2025-07-24,2025-05-16,lms_relink_batch5_same_key_reserve_20260410
23864,same_reserve_cleanup,019386,019386,660.0,0022221,2025-07-24,2025-06-12,lms_relink_batch5_same_key_reserve_20260410
23866,same_reserve_cleanup,019264,019264,1000.0,0022179,2025-07-24,2025-05-29,lms_relink_batch5_same_key_reserve_20260410
