Reserve Number,Charter ID,Charter Date,Status,Total Billed,Charges (itemized),Total Paid,Payments (itemized),Balance Owing
005473,4424,2012-09-29,closed,2163.55,2026-03-03 17:28:56.010309: $1650.00; 2026-03-03 17:28:56.010309: $165.00; 2026-03-03 17:28:56.010309: $82.50; 2026-03-03 17:28:56.010309: $266.05; 2026-03-03 17:28:56.010309: $82.50; 2026-03-03 17:28:56.010309: $-82.50,2163.55,2025-07-24: $205.00 (bank_transfer); 2025-07-24: $1392.50 (bank_transfer); 2025-07-24: $300.00 (bank_transfer); 2025-07-24: $266.05 (bank_transfer),0.00
005516,4467,2012-06-09,closed,1287.00,2026-03-03 17:28:56.010309: $1170.00; 2026-03-03 17:28:56.010309: $58.50; 2026-03-03 17:28:56.010309: $58.50,1287.00,2025-07-24: $1287.00 (bank_transfer),0.00
005565,4515,2012-06-01,closed,1980.00,2026-03-03 17:28:56.010309: $1650.00; 2026-03-03 17:28:56.010309: $165.00; 2026-03-03 17:28:56.010309: $82.50; 2026-03-03 17:28:56.010309: $82.50,1980.00,2025-07-24: $500.00 (bank_transfer); 2025-07-24: $1000.00 (bank_transfer); 2025-07-24: $480.00 (bank_transfer),0.00
005640,4590,2012-07-16,closed,855.00,2026-03-03 17:28:56.010309: $750.00; 2026-03-03 17:28:56.010309: $37.50; 2026-03-03 17:28:56.010309: $30.00; 2026-03-03 17:28:56.010309: $37.50,855.00,2025-07-24: $855.00 (bank_transfer),0.00
005643,4593,2012-01-19,closed,0.00,2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $0.00,0.00,,0.00
005655,4605,2012-01-10,closed,0.00,2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $0.00,0.00,,0.00
005656,4606,2012-01-01,closed,472.50,2026-03-03 17:28:56.010309: $450.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $22.50,472.50,2025-07-24: $205.00 (bank_transfer); 2025-07-24: $267.50 (bank_transfer),0.00
005657,4607,2012-01-08,closed,472.50,2026-03-03 17:28:56.010309: $450.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $22.50,472.50,2025-07-24: $472.50 (bank_transfer),0.00
005675,4641,2012-08-18,closed,1506.50,2026-03-03 17:28:56.010309: $1170.00; 2026-03-03 17:28:56.010309: $175.50; 2026-03-03 17:28:56.010309: $58.50; 2026-03-03 17:28:56.010309: $44.00; 2026-03-03 17:28:56.010309: $58.50,1506.50,2025-07-24: $1301.50 (bank_transfer); 2025-07-24: $205.00 (bank_transfer),0.00
005677,4643,2012-02-18,closed,370.00,2026-03-03 17:28:56.010309: $350.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $2.50; 2026-03-03 17:28:56.010309: $17.50,370.00,2025-07-24: $220.00 (bank_transfer); 2025-07-24: $150.00 (bank_transfer),0.00
005684,4650,2012-01-13,closed,1372.00,2026-03-03 17:28:56.010309: $1350.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $67.50; 2026-03-03 17:28:56.010309: $-45.50,1372.00,2012-01-13: $350.00 (credit_card); 2012-02-22: $1022.00 (credit_card),0.00
005687,4653,2012-01-01,closed,288.74,2026-03-03 17:28:56.010309: $262.50; 2026-03-03 17:28:56.010309: $13.12; 2026-03-03 17:28:56.010309: $13.12,288.74,2025-07-24: $288.74 (bank_transfer),0.00
005694,4659,2012-01-01,closed,370.00,2026-03-03 17:28:56.010309: $350.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $2.50; 2026-03-03 17:28:56.010309: $17.50,370.00,2025-07-24: $370.00 (bank_transfer),0.00
005696,4661,2012-01-01,closed,220.00,2026-03-03 17:28:56.010309: $200.00; 2026-03-03 17:28:56.010309: $10.00; 2026-03-03 17:28:56.010309: $10.00,220.00,2025-07-24: $220.00 (bank_transfer),0.00
005698,4663,2012-01-01,closed,99.00,2026-03-03 17:28:56.010309: $90.00; 2026-03-03 17:28:56.010309: $4.50; 2026-03-03 17:28:56.010309: $4.50,99.00,2025-07-24: $99.00 (bank_transfer),0.00
005701,4666,2012-01-01,closed,22.00,2026-03-03 17:28:56.010309: $20.00; 2026-03-03 17:28:56.010309: $1.00; 2026-03-03 17:28:56.010309: $1.00,22.00,2025-07-24: $22.00 (bank_transfer),0.00
005704,4669,2012-01-13,closed,875.00,2026-03-03 17:28:56.010309: $750.00; 2026-03-03 17:28:56.010309: $37.50; 2026-03-03 17:28:56.010309: $37.50; 2026-03-03 17:28:56.010309: $50.00,875.00,2025-07-24: $875.00 (bank_transfer),0.00
005705,4670,2012-01-20,closed,875.00,2026-03-03 17:28:56.010309: $750.00; 2026-03-03 17:28:56.010309: $37.50; 2026-03-03 17:28:56.010309: $37.50; 2026-03-03 17:28:56.010309: $50.00,875.00,2025-07-24: $875.00 (bank_transfer),0.00
005710,4675,2012-01-03,closed,250.00,2026-03-03 17:28:56.010309: $238.10; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $11.90,250.00,2025-07-24: $250.00 (bank_transfer),0.00
005712,4677,2012-01-04,closed,250.00,2026-03-03 17:28:56.010309: $227.28; 2026-03-03 17:28:56.010309: $11.36; 2026-03-03 17:28:56.010309: $11.36,250.00,2025-07-24: $250.00 (bank_transfer),0.00
005713,4678,2012-01-18,closed,231.00,2026-03-03 17:28:56.010309: $210.00; 2026-03-03 17:28:56.010309: $10.50; 2026-03-03 17:28:56.010309: $10.50,231.00,2025-07-24: $78.75 (bank_transfer); 2025-07-24: $152.25 (bank_transfer),0.00
005714,4679,2012-02-09,closed,231.00,2026-03-03 17:28:56.010309: $210.00; 2026-03-03 17:28:56.010309: $10.50; 2026-03-03 17:28:56.010309: $10.50,231.00,2025-07-24: $78.75 (bank_transfer); 2025-07-24: $152.25 (bank_transfer),0.00
005715,4680,2012-06-22,closed,1835.67,2026-03-03 17:28:56.010309: $1267.50; 2026-03-03 17:28:56.010309: $97.50; 2026-03-03 17:28:56.010309: $63.38; 2026-03-03 17:28:56.010309: $258.00; 2026-03-03 17:28:56.010309: $144.42; 2026-03-03 17:28:56.010309: $68.25; 2026-03-03 17:28:56.010309: $-63.38,1835.67,2025-07-24: $175.00 (bank_transfer); 2025-07-24: $1485.67 (bank_transfer); 2025-07-24: $175.00 (bank_transfer),0.00
005716,4681,2012-06-22,closed,286.00,2026-03-03 17:28:56.010309: $260.00; 2026-03-03 17:28:56.010309: $13.00; 2026-03-03 17:28:56.010309: $13.00; 2026-03-03 17:28:56.010309: $0.00,286.00,2025-07-24: $286.00 (bank_transfer),0.00
005717,4682,2012-01-04,closed,783.24,2026-03-03 17:28:56.010309: $700.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $54.12; 2026-03-03 17:28:56.010309: $35.00; 2026-03-03 17:28:56.010309: $-5.88,783.24,2025-07-24: $173.25 (bank_transfer); 2025-07-24: $609.99 (bank_transfer),0.00
005718,4683,2012-01-07,closed,1205.00,2026-03-03 17:28:56.010309: $1170.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $58.50; 2026-03-03 17:28:56.010309: $58.50; 2026-03-03 17:28:56.010309: $-82.00,1205.00,2012-01-09: $1000.00 (cash); 2012-01-09: $205.00 (credit_card),0.00
005719,4684,2012-01-03,closed,0.00,,0.00,,0.00
005720,4685,2012-01-06,closed,345.00,2026-03-03 17:28:56.010309: $300.00; 2026-03-03 17:28:56.010309: $15.00; 2026-03-03 17:28:56.010309: $15.00; 2026-03-03 17:28:56.010309: $15.00,345.00,2025-07-24: $345.00 (bank_transfer),0.00
005721,4686,2012-01-07,closed,205.00,2026-03-03 17:28:56.010309: $195.00; 2026-03-03 17:28:56.010309: $0.25; 2026-03-03 17:28:56.010309: $9.75,205.00,2012-01-09: $205.00 (cash),0.00
005722,4687,2012-01-08,closed,330.00,2026-03-03 17:28:56.010309: $300.00; 2026-03-03 17:28:56.010309: $15.00; 2026-03-03 17:28:56.010309: $15.00,330.00,2025-07-24: $330.00 (bank_transfer),0.00
005723,4688,2012-01-08,closed,250.00,2026-03-03 17:28:56.010309: $227.28; 2026-03-03 17:28:56.010309: $11.36; 2026-03-03 17:28:56.010309: $11.36,250.00,2025-07-24: $250.00 (bank_transfer),0.00
005724,4689,2012-01-11,closed,261.00,2026-03-03 17:28:56.010309: $210.00; 2026-03-03 17:28:56.010309: $10.50; 2026-03-03 17:28:56.010309: $30.00; 2026-03-03 17:28:56.010309: $10.50,261.00,2025-07-24: $261.00 (bank_transfer),0.00
005725,4690,2012-01-08,closed,119.99,2026-03-03 17:28:56.010309: $109.09; 2026-03-03 17:28:56.010309: $5.45; 2026-03-03 17:28:56.010309: $5.45,119.99,2025-07-24: $119.99 (bank_transfer),0.00
005726,4691,2012-01-09,closed,0.00,,0.00,,0.00
005727,4692,2012-01-14,closed,1067.00,2026-03-03 17:28:56.010309: $900.00; 2026-03-03 17:28:56.010309: $45.00; 2026-03-03 17:28:56.010309: $77.00; 2026-03-03 17:28:56.010309: $45.00,1067.00,2025-07-24: $400.00 (bank_transfer); 2025-07-24: $667.00 (bank_transfer),0.00
005728,4693,2012-01-06,closed,200.00,2026-03-03 17:28:56.010309: $150.00; 2026-03-03 17:28:56.010309: $7.50; 2026-03-03 17:28:56.010309: $5.00; 2026-03-03 17:28:56.010309: $30.00; 2026-03-03 17:28:56.010309: $7.50,200.00,2025-07-24: $200.00 (bank_transfer),0.00
005729,4694,2012-01-07,closed,75.00,2026-03-03 17:28:56.010309: $68.18; 2026-03-03 17:28:56.010309: $3.41; 2026-03-03 17:28:56.010309: $3.41,75.00,2025-07-24: $75.00 (bank_transfer),0.00
005730,4695,2012-01-28,closed,429.00,2026-03-03 17:28:56.010309: $390.00; 2026-03-03 17:28:56.010309: $19.50; 2026-03-03 17:28:56.010309: $19.50,429.00,2025-07-24: $205.00 (bank_transfer); 2025-07-24: $224.00 (bank_transfer),0.00
005731,4696,2012-02-10,closed,723.00,2026-03-03 17:28:56.010309: $525.00; 2026-03-03 17:28:56.010309: $37.39; 2026-03-03 17:28:56.010309: $56.24; 2026-03-03 17:28:56.010309: $26.25; 2026-03-03 17:28:56.010309: $50.00; 2026-03-03 17:28:56.010309: $28.12,723.00,2025-07-24: $518.00 (bank_transfer); 2025-07-24: $205.00 (bank_transfer),0.00
005732,4697,2012-01-12,closed,388.13,2026-03-03 17:28:56.010309: $337.50; 2026-03-03 17:28:56.010309: $33.75; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $16.88,388.13,2025-07-24: $388.13 (bank_transfer),0.00
005733,4698,2012-01-13,closed,86.25,2026-03-03 17:28:56.010309: $75.00; 2026-03-03 17:28:56.010309: $7.50; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $3.75,86.25,2025-07-24: $86.25 (bank_transfer),0.00
005734,4699,2012-01-12,closed,764.75,2026-03-03 17:28:56.010309: $665.00; 2026-03-03 17:28:56.010309: $66.50; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $33.25,764.75,2025-07-24: $764.75 (bank_transfer),0.00
005735,4700,2012-06-02,closed,1005.38,2026-03-03 17:28:56.010309: $877.50; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $84.00; 2026-03-03 17:28:56.010309: $43.88,1005.38,2025-07-24: $205.00 (bank_transfer); 2025-07-24: $800.38 (bank_transfer),0.00
005736,4701,2012-01-13,closed,109.25,2026-03-03 17:28:56.010309: $95.00; 2026-03-03 17:28:56.010309: $9.50; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $4.75,109.25,2025-07-24: $109.25 (bank_transfer),0.00
005737,4702,2012-01-14,closed,1073.00,2026-03-03 17:28:56.010309: $900.00; 2026-03-03 17:28:56.010309: $45.00; 2026-03-03 17:28:56.010309: $83.00; 2026-03-03 17:28:56.010309: $45.00,1073.00,2025-07-24: $500.00 (bank_transfer); 2025-07-24: $573.00 (bank_transfer),0.00
005738,4703,2012-01-14,closed,528.12,2026-03-03 17:28:56.010309: $306.25; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $15.31; 2026-03-03 17:28:56.010309: $61.25; 2026-03-03 17:28:56.010309: $130.00; 2026-03-03 17:28:56.010309: $15.31,528.12,2012-01-19: $82.87 (credit_card); 2012-01-19: $291.87 (credit_card); 2012-01-19: $153.38 (credit_card),0.00
005739,4704,2012-01-14,closed,1071.24,2026-03-03 17:28:56.010309: $612.50; 2026-03-03 17:28:56.010309: $250.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $43.12; 2026-03-03 17:28:56.010309: $122.50; 2026-03-03 17:28:56.010309: $43.12; 2026-03-03 17:28:56.010309: $0.00,1071.24,2025-07-24: $1071.24 (bank_transfer),0.00
005740,4705,2012-01-14,closed,583.00,2026-03-03 17:28:56.010309: $390.00; 2026-03-03 17:28:56.010309: $39.00; 2026-03-03 17:28:56.010309: $19.50; 2026-03-03 17:28:56.010309: $115.00; 2026-03-03 17:28:56.010309: $19.50,583.00,2025-07-24: $205.00 (bank_transfer); 2025-07-24: $378.00 (bank_transfer),0.00
005741,4706,2012-01-13,closed,78.75,2026-03-03 17:28:56.010309: $75.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $3.75,78.75,2025-07-24: $78.75 (bank_transfer),0.00
005742,4707,2012-01-13,closed,0.00,,0.00,,0.00
005743,4708,2012-01-14,closed,0.00,,0.00,,0.00
005744,4709,2012-01-14,closed,0.00,,0.00,,0.00
005745,4710,2012-01-16,closed,231.00,2026-03-03 17:28:56.010309: $210.00; 2026-03-03 17:28:56.010309: $10.50; 2026-03-03 17:28:56.010309: $10.50,231.00,2025-07-24: $156.00 (bank_transfer); 2025-07-24: $75.00 (bank_transfer),0.00
005746,4711,2012-01-19,closed,231.00,2026-03-03 17:28:56.010309: $210.00; 2026-03-03 17:28:56.010309: $10.50; 2026-03-03 17:28:56.010309: $10.50,231.00,2025-07-24: $231.00 (bank_transfer),0.00
005747,4712,2012-01-17,closed,250.00,2026-03-03 17:28:56.010309: $238.10; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $11.90,250.00,2025-07-24: $250.00 (bank_transfer),0.00
005748,4713,2012-01-08,closed,997.50,2026-03-03 17:28:56.010309: $950.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $47.50,997.50,2025-07-24: $997.50 (bank_transfer),0.00
005749,4714,2012-01-09,closed,997.50,2026-03-03 17:28:56.010309: $950.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $47.50,997.50,2025-07-24: $997.50 (bank_transfer),0.00
005750,4715,2012-01-10,closed,997.50,2026-03-03 17:28:56.010309: $950.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $47.50,997.50,2025-07-24: $997.50 (bank_transfer),0.00
005751,4716,2012-01-11,closed,997.50,2026-03-03 17:28:56.010309: $950.00; 2026-03-03 17:28:56.010309: $47.50,997.50,2025-07-24: $997.50 (bank_transfer),0.00
005752,4717,2012-01-12,closed,997.50,2026-03-03 17:28:56.010309: $950.00; 2026-03-03 17:28:56.010309: $47.50,997.50,2025-07-24: $997.50 (bank_transfer),0.00
005753,4718,2012-01-13,closed,997.50,2026-03-03 17:28:56.010309: $950.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $47.50,997.50,2025-07-24: $997.50 (bank_transfer),0.00
005754,4719,2012-01-14,closed,997.50,2026-03-03 17:28:56.010309: $950.00; 2026-03-03 17:28:56.010309: $47.50,997.50,2025-07-24: $997.50 (bank_transfer),0.00
005755,4720,2012-01-15,closed,997.50,2026-03-03 17:28:56.010309: $950.00; 2026-03-03 17:28:56.010309: $47.50,997.50,2025-07-24: $997.50 (bank_transfer),0.00
005756,4721,2012-01-17,closed,997.50,2026-03-03 17:28:56.010309: $950.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $47.50,997.50,2025-07-24: $997.50 (bank_transfer),0.00
005757,4722,2012-01-15,closed,0.01,2026-03-03 17:28:56.010309: $0.01,0.01,2025-07-24: $0.01 (bank_transfer),0.00
005758,4723,2012-01-16,closed,997.50,2026-03-03 17:28:56.010309: $950.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $47.50,997.50,2025-07-24: $997.50 (bank_transfer),0.00
005759,4724,2012-01-18,closed,997.50,2026-03-03 17:28:56.010309: $950.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $47.50,997.50,2025-07-24: $997.50 (bank_transfer),0.00
005760,4725,2012-01-20,closed,205.00,2026-03-03 17:28:56.010309: $195.00; 2026-03-03 17:28:56.010309: $0.25; 2026-03-03 17:28:56.010309: $9.75,205.00,2025-07-24: $205.00 (bank_transfer),0.00
005761,4726,2012-02-04,closed,495.00,2026-03-03 17:28:56.010309: $450.00; 2026-03-03 17:28:56.010309: $22.50; 2026-03-03 17:28:56.010309: $22.50,495.00,2025-07-24: $75.00 (bank_transfer); 2025-07-24: $420.00 (bank_transfer),0.00
005762,4727,2012-02-04,closed,577.50,2026-03-03 17:28:56.010309: $525.00; 2026-03-03 17:28:56.010309: $26.25; 2026-03-03 17:28:56.010309: $26.25,577.50,2025-07-24: $75.00 (bank_transfer); 2025-07-24: $502.50 (bank_transfer),0.00
005763,4728,2012-02-21,closed,985.00,2026-03-03 17:28:56.010309: $750.00; 2026-03-03 17:28:56.010309: $37.50; 2026-03-03 17:28:56.010309: $160.00; 2026-03-03 17:28:56.010309: $37.50,985.00,2025-07-24: $175.00 (bank_transfer); 2025-07-24: $810.00 (bank_transfer),0.00
005764,4729,2012-06-16,closed,1355.80,2026-03-03 17:28:56.010309: $1170.00; 2026-03-03 17:28:56.010309: $58.50; 2026-03-03 17:28:56.010309: $68.80; 2026-03-03 17:28:56.010309: $58.50,1355.80,2025-07-24: $205.00 (bank_transfer); 2025-07-24: $1150.80 (bank_transfer),0.00
005765,4730,2012-06-16,closed,0.00,,0.00,,0.00
005766,4731,2012-03-01,closed,210.00,2026-03-03 17:28:56.010309: $200.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $10.00,210.00,2025-07-24: $75.00 (bank_transfer); 2025-07-24: $135.00 (bank_transfer),0.00
005767,4732,2012-03-31,closed,0.00,2026-03-03 17:28:56.010309: $200.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $10.00; 2026-03-03 17:28:56.010309: $138.86; 2026-03-03 17:28:56.010309: $-348.86,0.00,,0.00
005768,4733,2012-01-21,closed,400.00,2026-03-03 17:28:56.010309: $330.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $20.50; 2026-03-03 17:28:56.010309: $33.00; 2026-03-03 17:28:56.010309: $16.50,400.00,2025-07-24: $400.00 (bank_transfer),0.00
005769,4734,2012-01-19,closed,0.00,2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $0.00,0.00,,0.00
005770,4735,2012-01-21,closed,300.01,2026-03-03 17:28:56.010309: $272.73; 2026-03-03 17:28:56.010309: $13.64; 2026-03-03 17:28:56.010309: $13.64,300.01,2025-07-24: $100.01 (bank_transfer); 2025-07-24: $200.00 (bank_transfer),0.00
005771,4736,2012-01-19,closed,997.50,2026-03-03 17:28:56.010309: $950.00; 2026-03-03 17:28:56.010309: $47.50,997.50,2025-07-24: $997.50 (bank_transfer),0.00
005772,4737,2012-01-20,closed,997.50,2026-03-03 17:28:56.010309: $950.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $47.50,997.50,2025-07-24: $997.50 (bank_transfer),0.00
005773,4738,2012-01-21,closed,997.50,2026-03-03 17:28:56.010309: $950.00; 2026-03-03 17:28:56.010309: $47.50,997.50,2025-07-24: $997.50 (bank_transfer),0.00
005774,4739,2012-01-22,closed,997.50,2026-03-03 17:28:56.010309: $950.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $47.50,997.50,2025-07-24: $997.50 (bank_transfer),0.00
005775,4740,2012-01-23,closed,997.50,2026-03-03 17:28:56.010309: $950.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $47.50,997.50,2025-07-24: $997.50 (bank_transfer),0.00
005776,4741,2012-01-24,closed,997.50,2026-03-03 17:28:56.010309: $950.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $47.50,997.50,2025-07-24: $997.50 (bank_transfer),0.00
005777,4742,2012-01-25,closed,997.50,2026-03-03 17:28:56.010309: $950.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $47.50,997.50,2025-07-24: $997.50 (bank_transfer),0.00
005778,4743,2012-01-26,closed,997.50,2026-03-03 17:28:56.010309: $950.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $47.50,997.50,2025-07-24: $997.50 (bank_transfer),0.00
005779,4744,2012-01-27,closed,997.50,2026-03-03 17:28:56.010309: $950.00; 2026-03-03 17:28:56.010309: $0.00; 2026-03-03 17:28:56.010309: $47.50,997.50,2025-07-24: $997.50 (bank_transfer),0.00
005780,4745,2012-01-28,closed,997.50,2026-03-03 17:28:56.010309: $950.00; 2026-03-03 17:28:56.010309: $47.50,997.50,2025-07-24: $997.50 (bank_transfer),0.00
