        table_name        |            column_name             |          data_type          |                        column_default                        | is_nullable 
 employees                | drivers_abstract_date              | date                        |                                                              | YES
 employees                | proserve_number                    | character varying           |                                                              | YES
 employees                | proserve_expiry                    | date                        |                                                              | YES
 employees                | bylaw_permit_renewal_fee           | numeric                     | 0.00                                                         | YES
 employees                | driver_license_class               | character varying           |                                                              | YES
 employees                | driver_license_restrictions        | text                        |                                                              | YES
 employees                | qualification_1_date               | date                        |                                                              | YES
 employees                | qualification_2_date               | date                        |                                                              | YES
 employees                | qualification_3_date               | date                        |                                                              | YES
 employees                | qualification_4_date               | date                        |                                                              | YES
 employees                | qualification_5_date               | date                        |                                                              | YES
 employees                | department                         | character varying           |                                                              | YES
 employees                | driver_code                        | character varying           |                                                              | YES
 employees                | version                            | integer                     | 1                                                            | YES
 invoice_line_items       | line_item_id                       | integer                     | nextval('invoice_line_items_line_item_id_seq'::regclass)     | NO
 invoice_line_items       | invoice_id                         | integer                     |                                                              | NO
 invoice_line_items       | reserve_number                     | character varying           |                                                              | YES
 invoice_line_items       | line_type                          | character varying           |                                                              | YES
 invoice_line_items       | description                        | character varying           |                                                              | YES
 invoice_line_items       | quantity                           | numeric                     |                                                              | YES
 invoice_line_items       | unit_price                         | numeric                     |                                                              | YES
 invoice_line_items       | line_total                         | numeric                     |                                                              | YES
 invoice_line_items       | taxable                            | boolean                     | true                                                         | YES
 invoice_line_items       | gst_amount                         | numeric                     |                                                              | YES
 invoice_line_items       | display_order                      | integer                     |                                                              | YES
 invoice_line_items       | notes                              | text                        |                                                              | YES
 invoice_line_items       | account_code                       | character varying           |                                                              | YES
 invoice_line_items       | account_name                       | character varying           |                                                              | YES
 invoice_line_items       | amount                             | numeric                     |                                                              | YES
 invoice_line_items       | created_at                         | timestamp without time zone | CURRENT_TIMESTAMP                                            | YES
 invoice_line_items       | discount_amount                    | numeric                     |                                                              | YES
 invoice_line_items       | discount_percent                   | numeric                     |                                                              | YES
 invoice_line_items       | driver_id                          | integer                     |                                                              | YES
 invoice_line_items       | id                                 | integer                     |                                                              | YES
 invoice_line_items       | income_account                     | character varying           |                                                              | YES
 invoice_line_items       | is_taxable                         | boolean                     | true                                                         | YES
 invoice_line_items       | item_name                          | character varying           |                                                              | YES
 invoice_line_items       | item_type                          | character varying           |                                                              | YES
 invoice_line_items       | line_number                        | integer                     |                                                              | YES
 invoice_line_items       | qb_class                           | character varying           |                                                              | YES
 invoice_line_items       | qb_item_id                         | character varying           |                                                              | YES
 invoice_line_items       | rate                               | numeric                     |                                                              | YES
 invoice_line_items       | service_type                       | character varying           |                                                              | YES
 invoice_line_items       | tax_amount                         | numeric                     |                                                              | YES
 invoice_line_items       | tax_code                           | character varying           |                                                              | YES
 invoice_line_items       | vehicle_id                         | integer                     |                                                              | YES
 invoices                 | invoice_id                         | integer                     | nextval('invoices_invoice_id_seq'::regclass)                 | NO
 invoices                 | reserve_number                     | character varying           |                                                              | NO
 invoices                 | invoice_number                     | character varying           |                                                              | YES
 invoices                 | invoice_date                       | date                        |                                                              | YES
 invoices                 | due_date                           | date                        |                                                              | YES
 invoices                 | subtotal_taxable                   | numeric                     |                                                              | YES
 invoices                 | gst_amount                         | numeric                     |                                                              | YES
 invoices                 | subtotal_non_taxable               | numeric                     |                                                              | YES
 invoices                 | invoice_total                      | numeric                     |                                                              | YES
 invoices                 | total_payments                     | numeric                     |                                                              | YES
 invoices                 | balance_due                        | numeric                     |                                                              | YES
 invoices                 | paid                               | boolean                     | false                                                        | YES
 invoices                 | invoice_status                     | character varying           |                                                              | YES
 invoices                 | manager_approved                   | boolean                     | false                                                        | YES
 invoices                 | manager_approved_by                | character varying           |                                                              | YES
 invoices                 | manager_approved_at                | timestamp with time zone    |                                                              | YES
 invoices                 | sent_at                            | timestamp with time zone    |                                                              | YES
 invoices                 | sent_method                        | character varying           |                                                              | YES
 invoices                 | sent_by                            | character varying           |                                                              | YES
 invoices                 | finalized_at                       | timestamp with time zone    |                                                              | YES
 invoices                 | finalized_by                       | character varying           |                                                              | YES
 invoices                 | created_at                         | timestamp with time zone    | now()                                                        | YES
 invoices                 | created_by                         | character varying           |                                                              | YES
 invoices                 | notes                              | text                        |                                                              | YES
 payments                 | payment_id                         | integer                     | nextval('payments_payment_id_seq'::regclass)                 | NO
 payments                 | account_number                     | character varying           |                                                              | YES
 payments                 | reserve_number                     | character varying           |                                                              | YES
 payments                 | amount                             | numeric                     |                                                              | YES
 payments                 | payment_key                        | character varying           |                                                              | YES
 payments                 | last_updated                       | timestamp without time zone |                                                              | YES
 payments                 | created_at                         | timestamp without time zone | CURRENT_TIMESTAMP                                            | YES
 payments                 | payment_method                     | character varying           |                                                              | YES
 payments                 | payment_date                       | date                        |                                                              | YES
 payments                 | status                             | character varying           | 'pending'::character varying                                 | YES
 payments                 | notes                              | text                        |                                                              | YES
 payments                 | payment_code_4char                 | character varying           |                                                              | YES
 payments                 | updated_at                         | timestamp without time zone |                                                              | YES
 payments                 | reference_number                   | character varying           |                                                              | YES
 payments                 | is_deposited                       | boolean                     | false                                                        | YES
 payments                 | payment_label                      | character varying           |                                                              | YES
 payments                 | verified                           | boolean                     | false                                                        | YES
 payments                 | verified_date                      | timestamp without time zone |                                                              | YES
 payments                 | verified_by                        | character varying           |                                                              | YES
 payments                 | square_fee_gl_code                 | character varying           |                                                              | YES
 payments                 | square_fee_gl_description          | text                        |                                                              | YES
 payments                 | accounting_entry_id                | bigint                      |                                                              | YES
 payments                 | adjustment_type                    | character varying           |                                                              | YES
 payments                 | applied_to_invoice                 | integer                     |                                                              | YES
 payments                 | authorization_code                 | character varying           |                                                              | YES
 payments                 | banking_receipt_matching_ledger_id | bigint                      |                                                              | YES
 payments                 | banking_transaction_id             | integer                     |                                                              | YES
 payments                 | charter_id                         | integer                     |                                                              | YES
 payments                 | check_number                       | character varying           |                                                              | YES
 payments                 | client_id                          | integer                     |                                                              | YES
 payments                 | credit_card_expiry                 | character varying           |                                                              | YES
 payments                 | credit_card_last4                  | character varying           |                                                              | YES
 payments                 | deposit_to_account                 | character varying           |                                                              | YES
 payments                 | income_ledger_id                   | bigint                      |                                                              | YES
 payments                 | last_updated_by                    | character varying           |                                                              | YES
 payments                 | payment_account                    | character varying           |                                                              | YES
 payments                 | payment_amount                     | numeric                     |                                                              | YES
 payments                 | qb_payment_type                    | character varying           |                                                              | YES
 payments                 | qb_trans_num                       | character varying           |                                                              | YES
 payments                 | receipt_id                         | bigint                      |                                                              | YES
 payments                 | related_payment_id                 | integer                     |                                                              | YES
 payments                 | square_card_brand                  | text                        |                                                              | YES
 payments                 | square_customer_email              | text                        |                                                              | YES
 payments                 | square_customer_name               | text                        |                                                              | YES
 payments                 | square_gross_sales                 | numeric                     |                                                              | YES
 payments                 | square_last4                       | text                        |                                                              | YES
 payments                 | square_net_sales                   | numeric                     |                                                              | YES
 payments                 | square_notes                       | text                        |                                                              | YES
 payments                 | square_payment_id                  | text                        |                                                              | YES
 payments                 | square_status                      | text                        |                                                              | YES
 payments                 | square_tip                         | numeric                     |                                                              | YES
 payments                 | square_transaction_id              | text                        |                                                              | YES
 payments                 | version                            | integer                     | 1                                                            | YES
 quotations               | quote_id                           | integer                     | nextval('quotations_quote_id_seq'::regclass)                 | NO
 quotations               | charter_id                         | integer                     |                                                              | YES
 quotations               | reserve_number                     | character varying           |                                                              | YES
 quotations               | client_id                          | integer                     |                                                              | YES
 quotations               | quote_date                         | date                        |                                                              | NO
 quotations               | pickup_location                    | character varying           |                                                              | YES
 quotations               | dropoff_location                   | character varying           |                                                              | YES
 quotations               | pax_count                          | integer                     |                                                              | YES
 quotations               | hourly_hours                       | numeric                     |                                                              | YES
 quotations               | hourly_rate                        | numeric                     |                                                              | YES
 quotations               | hourly_total                       | numeric                     |                                                              | YES
 quotations               | package_description                | character varying           |                                                              | YES
