strict_order,batch_id,processing_priority,classification_bucket,gl_target_hint,receipt_id,receipt_date,vendor_name,gross_amount,payment_method,canonical_pay_method,is_driver_reimbursement,reimbursed_via,recommended_step,receipt_source
1,P1-2012-01-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,217018,2012-01-01,CANADIAN TIRE,8.00,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
39,P1-2012-02-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,217110,2012-02-23,RED DEER REGISTRIES,78.90,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
40,P1-2012-02-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,214087,2012-02-24,COOP,43.85,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
41,P1-2012-02-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,217102,2012-02-28,CALGARY AIRPORT AUTHORITY,4.50,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
42,P1-2012-03-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,217108,2012-03-01,CALGARY AIRPORT AUTHORITY,4.50,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
43,P1-2012-03-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,217380,2012-03-12,STARBUCKS,5.62,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
44,P1-2012-03-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,217213,2012-03-13,NLA,252.37,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
45,P1-2012-03-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,217211,2012-03-22,COMMUNICATIONS GROUP,63.00,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
46,P1-2012-03-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,215678,2012-03-23,COSTCO,73.68,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
47,P1-2012-04-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,214055,2012-04-01,FAS GAS,48.00,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
48,P1-2012-04-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,173615,2012-04-04,GREYHOUND,30.00,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
49,P1-2012-04-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,217090,2012-04-05,CALGARY AIRPORT AUTHORITY,35.74,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
50,P1-2012-04-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,173613,2012-04-05,GLOBAL LIQUOR,20.25,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
51,P1-2012-04-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,173619,2012-04-05,RUN'N ON EMPTY,154.00,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
52,P1-2012-04-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,173628,2012-04-06,FAS GAS,53.44,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
53,P1-2012-04-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,173616,2012-04-06,SOLO LIQUOR STORE,36.24,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
54,P1-2012-04-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,216988,2012-04-07,CANADIAN TIRE,13.64,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
55,P1-2012-04-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,173607,2012-04-13,MCDONALD'S,17.51,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
56,P1-2012-04-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,173571,2012-04-14,GLOBAL LIQUOR,47.53,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
57,P1-2012-04-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,173569,2012-04-14,PLENTY OF LIQUOR,138.52,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
58,P1-2012-04-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,217091,2012-04-15,CALGARY AIRPORT AUTHORITY,22.37,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
59,P1-2012-04-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,173596,2012-04-16,MACS CONVENIENCE,6.19,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
60,P1-2012-04-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,214091,2012-04-17,COOP,9.44,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
61,P1-2012-04-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,173650,2012-04-18,FAS GAS,100.00,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
62,P1-2012-04-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,217089,2012-04-19,CALGARY AIRPORT AUTHORITY,22.52,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
63,P1-2012-04-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,217239,2012-04-19,COMMUNICATIONS GROUP,63.00,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
64,P1-2012-04-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,217545,2012-04-19,PHIL'S RESTAURA,26.83,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
65,P1-2012-04-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,173561,2012-04-21,PLAZA LIQUOR,28.27,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
66,P1-2012-04-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,173559,2012-04-22,GLOBAL LIQUOR,35.00,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
67,P1-2012-04-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,217107,2012-04-24,CALGARY AIRPORT AUTHORITY,45.05,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
68,P1-2012-04-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,215441,2012-04-24,CENTEX,133.50,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
69,P1-2012-04-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,215442,2012-04-24,CENTEX,63.91,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
70,P1-2012-04-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,173557,2012-04-24,SHELL,100.00,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
71,P1-2012-04-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,173558,2012-04-24,SHELL,5.98,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
72,P1-2012-04-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,217464,2012-04-25,CENTEX,36.00,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
73,P1-2012-04-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,217465,2012-04-25,CENTEX,38.01,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
74,P1-2012-04-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,173567,2012-04-25,FLYING J,20.00,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
75,P1-2012-04-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,217486,2012-04-28,CENTEX,40.00,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
76,P1-2012-04-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,173560,2012-04-28,GLOBAL LIQUOR,120.00,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
77,P1-2012-04-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,173601,2012-04-30,7 DAY LIQUOR STORE,7.70,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
78,P1-2012-05-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,173642,2012-05-01,FAS GAS,48.00,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
79,P1-2012-05-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,142082,2012-05-08,GLOBAL LIQUOR STORE,98.60,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
80,P1-2012-05-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,173637,2012-05-09,FAS GAS,38.00,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
81,P1-2012-05-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,215647,2012-05-11,CAPRI LIQUOR STORE,26.79,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
82,P1-2012-05-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,217099,2012-05-12,CALGARY AIRPORT AUTHORITY,22.52,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
83,P1-2012-05-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,215020,2012-05-12,MOHAWK,55.50,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
84,P1-2012-05-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,215021,2012-05-14,ESSO,7.99,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
85,P1-2012-05-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,217320,2012-05-20,CT GAS BAR ONTARIO,143.01,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
86,P1-2012-05-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,215019,2012-05-20,MOHAWK,160.00,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
87,P1-2012-05-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,214112,2012-05-20,PETRO-CANADA,210.03,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
88,P1-2012-05-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,215045,2012-05-21,MOHAWK,160.00,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
89,P1-2012-05-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,214118,2012-05-21,PETRO-CANADA,228.00,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
90,P1-2012-05-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,214119,2012-05-21,PETRO-CANADA,250.00,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
91,P1-2012-05-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,217022,2012-05-23,COOP,187.35,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
92,P1-2012-05-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,217557,2012-05-24,CANADIAN TIRE,132.17,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
93,P1-2012-05-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,217198,2012-05-24,MGM FORD,368.92,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
94,P1-2012-05-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,214969,2012-05-24,WOODYS RV  WORLD,500.00,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
95,P1-2012-05-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,217287,2012-05-24,WOODYS RV WORLD,500.00,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
96,P1-2012-05-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,214086,2012-05-25,COOP,15.98,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
97,P1-2012-05-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,215371,2012-05-26,CENTEX,54.00,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
98,P1-2012-05-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,215373,2012-05-26,CENTEX,54.50,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
99,P1-2012-05-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,173598,2012-05-27,WALMART,7.43,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
100,P1-2012-05-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,217106,2012-05-28,CALGARY AIRPORT AUTHORITY,17.87,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
101,P1-2012-05-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,216935,2012-05-28,CANADIAN TIRE,82.01,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
102,P1-2012-05-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,215370,2012-05-28,CENTEX,24.01,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
103,P1-2012-05-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,214092,2012-05-28,COOP,20.98,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
104,P1-2012-05-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,173639,2012-05-29,CENTEX,115.00,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
105,P1-2012-05-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,215540,2012-05-29,LIQUOR BARN,170.94,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
106,P1-2012-05-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,217101,2012-05-31,CALGARY AIRPORT AUTHORITY,45.05,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
107,P1-2012-06-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,173551,2012-06-01,FAS GAS,43.57,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
108,P1-2012-06-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,217433,2012-06-02,CENTEX,47.00,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
109,P1-2012-06-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,217434,2012-06-02,CENTEX,9.27,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
110,P1-2012-06-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,173620,2012-06-02,FAS GAS,9.57,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
111,P1-2012-06-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,216963,2012-06-04,CANADIAN TIRE,50.00,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
112,P1-2012-06-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,217183,2012-06-11,ADVANCED GLOBAL TRANSPOTATION,82.62,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
113,P1-2012-06-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,173633,2012-06-12,FAS GAS,135.00,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
114,P1-2012-06-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,215039,2012-06-13,MOHAWK,49.00,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
115,P1-2012-06-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,215043,2012-06-13,MOHAWK,52.01,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
116,P1-2012-06-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,217431,2012-06-16,CENTEX,25.00,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
117,P1-2012-06-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,215325,2012-06-16,LIQUOR BARN,6.36,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
118,P1-2012-06-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,216969,2012-06-17,CANADIAN TIRE,15.95,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
119,P1-2012-06-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,216971,2012-06-19,WALMART,76.64,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
120,P1-2012-06-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,216965,2012-06-20,CANADIAN TIRE,15.66,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
121,P1-2012-06-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,217243,2012-06-23,COOP,20.42,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
122,P1-2012-06-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,173634,2012-06-23,FAS GAS,20.01,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
123,P1-2012-06-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,173627,2012-06-24,FAS GAS,72.01,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
124,P1-2012-06-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,217185,2012-06-25,COMMUNICATIONS GROUP,63.00,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
125,P1-2012-06-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,217186,2012-06-25,WINDSHIELD SURGEONS,65.00,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
126,P1-2012-06-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,214181,2012-06-30,CENTEX,60.50,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,BANKING
127,P1-2012-06-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,217271,2012-06-30,CENTEX,153.00,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
128,P1-2012-06-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,214939,2012-06-30,FAS GAS,1.56,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
129,P1-2012-07-employee_reimbursement_likely,1,employee_reimbursement_likely,liability_reimbursement_queue,215023,2012-07-05,MOHAWK,102.00,reimbursement,,False,,post reimbursement or owner-draw mapping; no bank link expected,
