final_action,final_reason,source,verification,gl_date,gl_chq,gl_vendor,gl_amount,gl_account,bank_txn_id,bank_txn_date,bank_debit,bank_desc,bank_check,receipt_id,receipt_exists,receipt_date,receipt_vendor,receipt_amount,receipt_payment_method,bank_links_via_banking_table,notes
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2012-12-03,101,Parr's Automotive,2000.00,1010 Scotia Bank Main,102510,2012-12-03,2000.00,Parr's Automotive,101,140834,1,2012-12-03,PARRS AUTOMOTIVE,2000.00,cheque,2,check_exact+vendor_overlap
APPLY_RECEIPT_ONLY,receipt evidence without bank linkage,gl_vs_banking_unmatched_receipt_verification_2012.csv,RECEIPT_ONLY,2012-12-03,cash,Parr's Automotive,502.07,1090 Bank Shareholder,,,,,,215484,1,2012-12-03,PARRS AUTOMOTIVE,502.07,cash,0,"no bank match in window, but receipt candidate exists"
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2012-12-06,97,Welcome Wagon,100.00,1010 Scotia Bank Main,69646,2012-12-06,100.00,CHQ 97 WELCOME WAGON,97,140863,1,2012-12-06,CHQ 97 WELCOME WAGON,100.00,cheque,1,check_exact+vendor_overlap
APPLY_RECEIPT_ONLY,receipt evidence without bank linkage,gl_vs_banking_unmatched_receipt_verification_2012.csv,RECEIPT_ONLY,2012-12-10,cash,Parr's Automotive,355.32,1090 Bank Shareholder,,,,,,215485,1,2012-12-10,PARRS AUTOMOTIVE,355.32,cash,0,"no bank match in window, but receipt candidate exists"
APPLY_RECEIPT_ONLY,receipt evidence without bank linkage,gl_vs_banking_unmatched_receipt_verification_2012.csv,RECEIPT_ONLY,2012-12-10,cash,Parr's Automotive,53.06,1090 Bank Shareholder,,,,,,215487,1,2012-12-10,PARRS AUTOMOTIVE,53.06,cash,0,"no bank match in window, but receipt candidate exists"
APPLY_RECEIPT_ONLY,receipt evidence without bank linkage,gl_vs_banking_unmatched_receipt_verification_2012.csv,RECEIPT_ONLY,2012-12-10,cash,Parr's Automotive,593.62,1090 Bank Shareholder,,,,,,215486,1,2012-12-10,PARRS AUTOMOTIVE,593.62,cash,0,"no bank match in window, but receipt candidate exists"
APPLY_CONFIRMED,direct/merged bank evidence,gl_vs_banking_unmatched_receipt_verification_2012.csv,MERGED_MATCH,2012-12-19,dd,Parr's Automotive,487.73,1000 CIBC Bank 1615,82433,2012-12-19,1000.00,PARRS AUTOMOTIVE,,143130,1,2012-12-19,PARRS AUTOMOTIVE,1000.00,debit_card,1,paired_with=512.27 same vendor/date/chq; status=reconciled
APPLY_CONFIRMED,direct/merged bank evidence,gl_vs_banking_unmatched_receipt_verification_2012.csv,MERGED_MATCH,2012-12-19,dd,Parr's Automotive,512.27,1000 CIBC Bank 1615,82433,2012-12-19,1000.00,PARRS AUTOMOTIVE,,143130,1,2012-12-19,PARRS AUTOMOTIVE,1000.00,debit_card,1,paired_with=487.73 same vendor/date/chq; status=reconciled
APPLY_RECEIPT_ONLY,receipt evidence without bank linkage,gl_vs_banking_unmatched_receipt_verification_2012.csv,RECEIPT_ONLY,2012-12-20,cash,Choice Auto Electric Ltd.,100.00,1090 Bank Shareholder,,,,,,217234,1,2012-12-20,CHOICE AUTO ELECTRIC LTD.,100.00,cash,0,"no bank match in window, but receipt candidate exists"
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2013-01-28,129,Fibrenew,1268.48,1010 Scotia Bank Main,77808,2013-01-30,1268.48,chq 129,129,139496,1,2013-01-30,FIBRENEW,1268.48,cheque,1,check_exact
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2013-02-03,133,With This Ring Bridal Gala,1050.00,1010 Scotia Bank Main,77839,2013-02-05,1050.00,chq 133,133,139501,1,2013-02-05,WITH THIS RING,1050.00,cheque,1,check_exact
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2013-02-08,146,Cal Red Consulting Ltd.,1865.36,1010 Scotia Bank Main,77856,2013-02-11,1865.36,chq 146,146,139508,1,2013-02-11,CAL RED TECHNICAL CONSULTING,1865.36,cheque,1,check_exact
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2013-02-08,147,Cal Red Consulting Ltd.,273.00,1010 Scotia Bank Main,77857,2013-02-11,273.00,chq 147,147,139509,1,2013-02-11,CAL RED TECHNICAL CONSULTING,273.00,cheque,1,check_exact
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2013-03-26,156,Fibrenew,2000.00,1010 Scotia Bank Main,78067,2013-03-27,2000.00,CHQ 156,156,139570,1,2013-03-27,CHQ 156 FIBRENEW RENT,2000.00,cheque,1,check_exact
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2013-06-11,195,Fibrenew,1575.00,1010 Scotia Bank Main,78456,2013-06-11,1575.00,CHQ 195,195,139700,1,2013-06-11,CHQ 195 FIBRENEW RENT JUNE,1575.00,cheque,1,check_exact
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2013-07-02,206,Kirk's Tire (Red Deer) Ltd.,1000.00,1010 Scotia Bank Main,78572,2013-07-03,1000.00,chq 206,206,139737,1,2013-07-03,KAL TIRE,1000.00,cheque,1,check_exact
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2013-07-08,217,Fibrenew,2427.74,1010 Scotia Bank Main,78613,2013-07-09,2427.74,CHQ 217,217,139757,1,2013-07-09,HEFFNER AUTO FINANCE,2427.74,cheque,1,check_exact
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2013-08-16,224,Fibrenew,1575.00,1010 Scotia Bank Main,78800,2013-08-20,1575.00,CHQ 224,224,139806,1,2013-08-20,CHQ 224 FIBRENEW RENT,1575.00,cheque,1,check_exact
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2013-09-03,228,Fibrenew,1575.00,1010 Scotia Bank Main,78842,2013-09-03,1575.00,CHQ 228,228,139821,1,2013-09-03,CHQ 228 T,1575.00,cheque,1,check_exact
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2013-09-10,232,Erles Auto Repair,782.99,1010 Scotia Bank Main,78884,2013-09-11,782.99,CHQ 232,232,139834,1,2013-09-11,HEFFNER AUTO FINANCE,782.99,cheque,1,check_exact
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2013-09-25,239,AGLC,200.00,1010 Scotia Bank Main,78975,2013-09-27,200.00,CHQ 239,239,139869,1,2013-09-27,AGLC PERMIT RENEWAL,200.00,cheque,1,check_exact
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2013-09-26,243,With This Ring Bridal Gala,1050.00,1010 Scotia Bank Main,78974,2013-09-27,1050.00,CHQ 243,243,139868,1,2013-09-27,WITH THIS RING BRIDAL GALA,1050.00,cheque,1,check_exact
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2013-10-07,245,Fibrenew,1575.00,1010 Scotia Bank Main,79006,2013-10-07,1575.00,CHQ 245,245,139887,1,2013-10-07,CHQ 245 FIBRENEW RENT 5202,1575.00,cheque,1,check_exact
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2013-10-07,246,Fibrenew,232.90,1010 Scotia Bank Main,79005,2013-10-07,232.90,CHQ 246,246,139886,1,2013-10-07,CHQ 246 FIBRENEW RENT JAN 5146,232.90,cheque,1,check_exact
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2013-10-07,252,Royal Refrigeration Ltd,1109.26,1010 Scotia Bank Main,79136,2013-11-01,1109.26,CHQ 252,252,139945,1,2013-11-01,REFRIGERATOR BEER FRIDGE REPAIR,1109.26,cheque,1,check_exact+date_delay +DIRECT_MATCH@gl_vs_banking_unmatched_receipt_verification_2013.csv
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2013-10-17,255,Action Pages Canada,857.50,1010 Scotia Bank Main,79130,2013-10-31,857.50,CHQ 255,255,139943,1,2013-10-31,CHQ 255 ANGEL ESCOBAR,857.50,cheque,1,check_exact+date_delay +DIRECT_MATCH@gl_vs_banking_unmatched_receipt_verification_2013.csv
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2013-11-01,270,Fibrenew,451.77,1010 Scotia Bank Main,79210,2013-11-19,451.77,CHQ 270,270,139961,1,2013-11-19,CHQ 270 MARK LINTON,451.77,cheque,1,check_exact+date_delay +DIRECT_MATCH@gl_vs_banking_unmatched_receipt_verification_2013.csv
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2013-11-19,269,Fibrenew,1706.25,1010 Scotia Bank Main,79209,2013-11-19,1706.25,CHQ 269,269,139960,1,2013-11-19,CHQ 269 PAUL MANSELL,1706.25,cheque,1,check_exact
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2013-11-21,271,Full Spectrum,646.96,1010 Scotia Bank Main,79256,2013-11-29,646.96,CHQ 271,271,139974,1,2013-11-29,CHQ 271 JEANNIE SHILLINGTON,646.96,cheque,1,check_exact+date_delay +DIRECT_MATCH@gl_vs_banking_unmatched_receipt_verification_2013.csv
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2013-11-29,273,Community Networking Solutions,1359.75,1010 Scotia Bank Main,79278,2013-12-03,1359.75,CHQ 273,273,139978,1,2013-12-03,CHQ 273 BARRY FORSBERG,1359.75,cheque,1,check_exact
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2013-11-29,272,Full Spectrum,3805.23,1010 Scotia Bank Main,79254,2013-11-29,3805.23,CHQ 272,272,139972,1,2013-11-29,CHQ 272 MICHAEL RICHARD,3805.23,cheque,1,check_exact
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2013-12-18,283,Big 105,1260.00,1010 Scotia Bank Main,79386,2013-12-24,1260.00,CHQ 283,283,140022,1,2013-12-24,CHQ 283 MICHAEL RICHARD,1260.00,cheque,1,check_exact
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2013-12-27,288,Fibrenew,1706.25,1010 Scotia Bank Main,79416,2013-12-31,1706.25,CHQ 288,288,140035,1,2013-12-31,CHQ 288 FIBRENEW RENT,1706.25,cheque,1,check_exact
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2013-12-27,289,Fibrenew,492.26,1010 Scotia Bank Main,79417,2013-12-31,492.26,CHQ 289,289,140036,1,2013-12-31,FIBRENEW,492.26,cheque,1,check_exact
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2014-01-02,292,Carriage Auto Upholstery,1540.00,1010 Scotia Bank Main,79444,2014-01-06,1540.00,CHQ 292 CARRIAGE UPHOLSTERY,292,140048,1,2014-01-06,CARRIAGE UPHOLSTERY,1540.00,cheque,1,check_exact
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2014-01-25,308,With This Ring Bridal Gala,997.50,1010 Scotia Bank Main,79524,2014-01-27,997.50,CHQ 308 WITH THIS RING (WEDDING SHOW AD),308,140078,1,2014-01-27,WITH THIS RING,997.50,cheque,1,check_exact
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2014-03-06,325,Big 105,630.00,1010 Scotia Bank Main,79715,2014-03-07,630.00,CHQ 325 106.7 THE DRIVE,325,140139,1,2014-03-07,BIG 105,630.00,cheque,1,check_exact+vendor_overlap
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2014-03-07,327,IP Fabrications Ltd.,892.50,1010 Scotia Bank Main,79732,2014-03-10,892.50,CHQ 327 IP FABRICATION LTD (BUS SEAT FRAME),327,140142,1,2014-03-10,IP FABRICATION LTD,892.50,cheque,1,check_exact
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2014-03-24,335,Fibrenew,2179.34,1010 Scotia Bank Main,79797,2014-03-24,2179.34,CHQ 335 FIBRENEW (INV 5386 AND 5365),335,140163,1,2014-03-24,FIBRENEW,2179.34,cheque,1,check_exact+vendor_overlap
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2014-04-07,337,CFIB,500.00,1010 Scotia Bank Main,79896,2014-04-11,500.00,CHQ 337 CFIB,337,140201,1,2014-04-11,CFIB,500.00,cheque,1,check_exact+vendor_overlap
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2014-04-24,348,Fibrenew,1706.25,1010 Scotia Bank Main,80013,2014-05-01,1706.25,CHQ 348 FIBRENEW (INV 5327),348,215476,1,2014-05-01,FIBRENEW,1706.25,cheque,1,check_exact+vendor_overlap
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2014-04-24,347,Fibrenew,252.83,1010 Scotia Bank Main,80014,2014-05-01,252.83,CHQ 347 FIBRENEW (UTILITIES - INV 5293),347,140227,1,2014-05-01,CHQ 347 FIBRENEW,252.83,cheque,1,check_exact+vendor_overlap
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2014-04-27,349,Fibrenew,382.80,1010 Scotia Bank Main,80012,2014-05-01,382.80,"CHQ 349 FIBRENEW (UTILITIES - INV 5328, 5387)",349,140225,1,2014-05-01,CHQ 349 FIBRENEW,382.80,cheque,1,check_exact+vendor_overlap
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2014-05-08,357,Big 105,672.00,1010 Scotia Bank Main,80060,2014-05-09,672.00,CHQ 357 106.7 THE DRIVE,357,140245,1,2014-05-09,CHQ 357 BIG 105,672.00,cheque,1,check_exact+vendor_overlap
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2014-05-13,359,Fibrenew,1706.25,1010 Scotia Bank Main,80149,2014-05-22,1706.25,CHQ 359 FIBRENEW,359,140269,1,2014-05-22,CHQ 359 FIBRENEW,1706.25,cheque,1,check_exact+vendor_overlap+date_delay +DIRECT_MATCH@gl_vs_banking_unmatched_receipt_verification_2014.csv
APPLY_CONFIRMED,direct/merged bank evidence,direct_completed,DIRECT_MATCH,2014-05-29,367,106.7 The Drive,672.00,1010 Scotia Bank Main,80216,2014-06-02,672.00,CHQ 367 106.7 THE DRIVE,367,140289,1,2014-06-02,CHQ 367 BIG 105,672.00,cheque,1,check_exact+vendor_overlap
APPLY_RECEIPT_ONLY,receipt evidence without bank linkage,gl_vs_banking_unmatched_receipt_verification_2014.csv,RECEIPT_ONLY,2014-09-03,cash,Fibrenew,2000.00,1090 Bank Shareholder,,,,,,215480,1,2014-09-03,FIBRENEW,2000.00,cash,0,"no bank match in window, but receipt candidate exists"
APPLY_RECEIPT_ONLY,receipt evidence without bank linkage,gl_vs_banking_unmatched_receipt_verification_2015.csv,RECEIPT_ONLY,2015-01-27,cash,Fibrenew,1700.00,1090 Bank Shareholder,,,,,,216830,1,2015-01-27,FIBRENEW,1700.00,CASH,0,"no bank match in window, but receipt candidate exists"
APPLY_RECEIPT_ONLY,receipt evidence without bank linkage,gl_vs_banking_unmatched_receipt_verification_2015.csv,RECEIPT_ONLY,2015-09-08,cash,Fibrenew,3000.00,1090 Bank Shareholder,,,,,,216832,1,2015-08-09,FIBRENEW,3000.00,CASH,0,"no bank match in window, but receipt candidate exists"
