id,transaction_date,account_code,account_name,description,debit_amount,credit_amount,net_amount,transaction_type,transaction_number,source_system,source_transaction_id,entity_name,row_hash
34331,2012-10-30,2508 Leases and Loans:L4 2007 Lincon Town Car,,L4 Down Payment,1458.65,0.00,1458.65,Cheque Expense,80,QuickBooks,80,Heffner Lexus Toyota,f4ae4f308c058907f304796e4fe333925393112d9cad2fb540f572ba7f778f49
34183,2012-11-01,2506 Leases and Loans:L-14 2010 Ford E450 Limo Bus,,"",2567.05,0.00,2567.05,Cheque Expense,dd,QuickBooks,dd,Ace Truck,ad4e4cc6b4452236d0a942c121d687eadbb474a3e91b1539ef9d371063e05479
34207,2012-11-01,2507 Leases and Loans:L-15 2012 E350 Limo Bus,,"",847.50,0.00,847.50,Cheque Expense,dd,QuickBooks,dd,Heffner Lexus Toyota,375887def9f2a880bb8df4eeef24a4779c760573567f3b9886a8e6c5c14b6b2b
34332,2012-11-01,2508 Leases and Loans:L4 2007 Lincon Town Car,,"",471.98,0.00,471.98,Cheque Expense,dd,QuickBooks,dd,Heffner Lexus Toyota,b3f3e998eb2261db3dfce8863cf6833589e578970419da61bcdd408d11c5d277
34510,2012-11-13,2800 L-8 2008 Ford Expedition,,"",1795.86,0.00,1795.86,Cheque Expense,dd,QuickBooks,dd,Jack Carter,26b144cec8593c1e8579efe2079ec42bca0eae1c51b35102db2fbd58c1ac6285
34208,2012-11-15,2507 Leases and Loans:L-15 2012 E350 Limo Bus,,"",847.50,0.00,847.50,Cheque Expense,dd,QuickBooks,dd,Heffner Lexus Toyota,256a8f75f66a9fae46ce2041adf764b2b943fec35290ba1b6459e53355b6b7f0
34333,2012-11-15,2508 Leases and Loans:L4 2007 Lincon Town Car,,"",471.97,0.00,471.97,Cheque Expense,dd,QuickBooks,dd,Heffner Lexus Toyota,e3d83bed6fc1a7d3c81d41d060f062cb6cfb7a789317af86c447aed2fcd02269
34534,2012-11-15,2801 L-9 2007 LIncoln Town Car,,"",1405.00,0.00,1405.00,Cheque Expense,dd,QuickBooks,dd,Heffner Lexus Toyota,bf4324f407670a0216e7fffb4503883ed961c16a901bd617335685bf9dd2601a
34559,2012-11-15,2802 L-10 2010 Ford E450 Bus,,"",2405.00,0.00,2405.00,Cheque Expense,dd,QuickBooks,dd,Heffner Lexus Toyota,262fea4c464b062f8f89b0817be89a1c2daf7273a2716e4ffea7519f2f9b79a4
34588,2012-11-15,2803 L-11 2009 Ford E-450 Shuttle,,"",1810.00,0.00,1810.00,Cheque Expense,dd,QuickBooks,dd,Heffner Lexus Toyota,a9287160ca5e2e1f00660d86339fad1db27454890222d1ff6255e8bc7bb41e14
34184,2012-12-03,2506 Leases and Loans:L-14 2010 Ford E450 Limo Bus,,"",2567.05,0.00,2567.05,Cheque Expense,dd,QuickBooks,dd,Ace Truck,da3bc9d81f86376dcc4f6ac82e94d053558f1d6efb2b601d34050285f72775fb
34209,2012-12-03,2507 Leases and Loans:L-15 2012 E350 Limo Bus,,"",847.50,0.00,847.50,Cheque Expense,dd,QuickBooks,dd,Heffner Lexus Toyota,c9383a9a405d6240d2c2cfca6e105e92bdaef67754a87b8024485b1a0782fc86
34334,2012-12-03,2508 Leases and Loans:L4 2007 Lincon Town Car,,"",449.50,0.00,449.50,Cheque Expense,dd,QuickBooks,dd,Heffner Lexus Toyota,3e4a74ef34418acfccd15bb52fe22cf7707db62893c7b82b251ad6fc811f727a
34511,2012-12-05,2800 L-8 2008 Ford Expedition,,"",1795.86,0.00,1795.86,Cheque Expense,95,QuickBooks,95,Jack Carter,80e312d1743d18d1d334be3372bb10bb829d8e0a78df39090f4483a65de20d18
34560,2012-12-08,2802 L-10 2010 Ford E450 Bus,,"",2405.00,0.00,2405.00,Cheque Expense,32,QuickBooks,32,Heffner Lexus Toyota,013ed02e583113da66b4b6b8ff3651ee8c7404acc79788c7725b55fe8d56dc72
34210,2012-12-17,2507 Leases and Loans:L-15 2012 E350 Limo Bus,,"",847.50,0.00,847.50,Cheque Expense,dd,QuickBooks,dd,Heffner Lexus Toyota,04887792ee8cf6182a0f65d1f7ae2eb1598b50c47787bda454403ef8a907440a
34335,2012-12-17,2508 Leases and Loans:L4 2007 Lincon Town Car,,"",449.50,0.00,449.50,Cheque Expense,dd,QuickBooks,dd,Heffner Lexus Toyota,68dea1ec9f750cf13d70a5c5c2d6ad9e37991ff08bd9f717c65f65f7af73794c
34512,2012-12-17,2800 L-8 2008 Ford Expedition,,"",1795.86,0.00,1795.86,Cheque Expense,dd,QuickBooks,dd,Jack Carter,cc43de202436f8cb0f3764d8e5633c95f5fc3bdab8c96583329f29d5fa4c2941
34535,2012-12-17,2801 L-9 2007 LIncoln Town Car,,"",1405.00,0.00,1405.00,Cheque Expense,dd,QuickBooks,dd,Heffner Lexus Toyota,eda7876274834ed8e0911c4d9a22d95d9f21381080b9388ccf32d9819ef89dd0
34561,2012-12-17,2802 L-10 2010 Ford E450 Bus,,"",2405.00,0.00,2405.00,Cheque Expense,dd,QuickBooks,dd,Heffner Lexus Toyota,9dc18ed073ae62eb075ce32ce3c42048a1dd6b82431b6be2395350922800e2d4
34589,2012-12-17,2803 L-11 2009 Ford E-450 Shuttle,,"",1810.00,0.00,1810.00,Cheque Expense,dd,QuickBooks,dd,Heffner Lexus Toyota,0f2aded230a52e522caa39a4673ece6bd422665508c08c507546b7b310a77b0c
34590,2012-12-24,2803 L-11 2009 Ford E-450 Shuttle,,"",1810.00,0.00,1810.00,Cheque Expense,39,QuickBooks,39,Heffner Lexus Toyota,d70514ebeb479a537a8d5ab1f74cb6890ab1a228e36d1c49c98cd4cea7c89d1d
36645,2012-12-31,6475 Licenses & Permits,,Business License,200.00,0.00,200.00,Journal Entry,90,QuickBooks,90,,fa8000b677be7c4a41bc12d14e26c5510a4ea69ce8bba0eca80a3931380836e7
34185,2013-01-02,2506 Leases and Loans:L-14 2010 Ford E450 Limo Bus,,"",2567.05,0.00,2567.05,Cheque Expense,dd,QuickBooks,dd,Ace Truck,9609d220c43b0aeeecaa824599d1cfcad116e1b962af96c91f73a3de54208f2b
34211,2013-01-02,2507 Leases and Loans:L-15 2012 E350 Limo Bus,,"",847.50,0.00,847.50,Cheque Expense,dd,QuickBooks,dd,Heffner Lexus Toyota,c12fb15a34a3d7d4352a1c712af4642c8e40f4220bc8578bf9250cd7f8c87bd1
34336,2013-01-02,2508 Leases and Loans:L4 2007 Lincon Town Car,,"",449.50,0.00,449.50,Cheque Expense,dd,QuickBooks,dd,Heffner Lexus Toyota,15f0a4edda269a04ddee540b6a1e596233324b03209f3008c0421c7acb859ba0
34562,2013-01-15,2802 L-10 2010 Ford E450 Bus,,"",2405.00,0.00,2405.00,Cheque Expense,dd,QuickBooks,dd,Heffner Lexus Toyota,956325030e71fb41f08be974406049fa3243c0b28e2247ebda2734a4d06941b7
34513,2013-01-21,2800 L-8 2008 Ford Expedition,,"",1829.19,0.00,1829.19,Cheque Expense,dd,QuickBooks,dd,Jack Carter,f05ddfafddfe2be253e9a23c6a9c5a8d27906ed47e4cf6b98ef037e8c7753005
34591,2013-01-21,2803 L-11 2009 Ford E-450 Shuttle,,"",1810.00,0.00,1810.00,Cheque Expense,37,QuickBooks,37,Heffner Lexus Toyota,557fd825a8ba330535f60d1569dee461f14c14f1019b79ff37e22debd827153e
36647,2013-01-31,6475 Licenses & Permits,,Business Licenses,255.00,0.00,255.00,Cheque Expense,132,QuickBooks,132,City of Red Deer,2bea1d7e0b18d93ed5b9a0609a0530dc075abea6a654e36618f58f566dfc2234
34212,2013-02-01,2507 Leases and Loans:L-15 2012 E350 Limo Bus,,"",847.50,0.00,847.50,Cheque Expense,dd,QuickBooks,dd,Heffner Lexus Toyota,a26aac2c22a6d2ea1f7a180f35222d57b22507ac7ccdceccf702b2a6d750bc65
34337,2013-02-01,2508 Leases and Loans:L4 2007 Lincon Town Car,,"",449.50,0.00,449.50,Cheque Expense,dd,QuickBooks,dd,Heffner Lexus Toyota,6ef05cae13a253cf18dc59588898f06719ed0c409e202b9a69cb6a8244957546
37009,2013-02-05,6500 Meals and Entertainment,,Res# 07314 MGM Ford Service,20.80,0.00,20.80,Cheque Expense,MC3004,QuickBooks,MC3004,Boston Pizza.,1d3fc552938e61617341cfe0608886d070f2aa472881c9beb78d27b90a7687d5
34186,2013-02-13,2506 Leases and Loans:L-14 2010 Ford E450 Limo Bus,,"",770.40,0.00,770.40,Cheque Expense,130,QuickBooks,130,Ace Truck,7874e6f0f6d584feeaf29bc8192044a9e74fa283787f396442f9b36258060d08
34213,2013-02-15,2507 Leases and Loans:L-15 2012 E350 Limo Bus,,"",847.50,0.00,847.50,Cheque Expense,dd,QuickBooks,dd,Heffner Lexus Toyota,e42c416585a2793300bea53108108a95a612371f5fbc86f77b5e3c28f6eee838
34338,2013-02-15,2508 Leases and Loans:L4 2007 Lincon Town Car,,"",449.50,0.00,449.50,Cheque Expense,dd,QuickBooks,dd,Heffner Lexus Toyota,201138175324c6f6cd84689e30ed57f51768a19d2c26418aea687c5530bb8efb
34514,2013-02-15,2800 L-8 2008 Ford Expedition,,"",1795.86,0.00,1795.86,Cheque Expense,dd,QuickBooks,dd,Jack Carter,27bcf5aaa9807714e3afa74423615359e2a2da60779c711172793983493f0134
34536,2013-02-15,2801 L-9 2007 LIncoln Town Car,,"",1405.00,0.00,1405.00,Cheque Expense,dd,QuickBooks,dd,Heffner Lexus Toyota,7cf2a2645a0bed3eed2ddd3fdce256d676e5884f79ef75322ab5787602b46d92
34563,2013-02-15,2802 L-10 2010 Ford E450 Bus,,"",2405.00,0.00,2405.00,Cheque Expense,dd,QuickBooks,dd,Heffner Lexus Toyota,098bf600677f042ba1f9d95dbe119d71e85e512f9cb57738c4a14b30b5343a9a
34187,2013-03-01,2506 Leases and Loans:L-14 2010 Ford E450 Limo Bus,,"",2567.05,0.00,2567.05,Cheque Expense,dd,QuickBooks,dd,Ace Truck,a0d71dcd5f7808859d984bad3dad997a006cfcbc33c41bfb278ea848b4faf851
34214,2013-03-01,2507 Leases and Loans:L-15 2012 E350 Limo Bus,,"",847.50,0.00,847.50,Cheque Expense,dd,QuickBooks,dd,Heffner Lexus Toyota,b9535182eaf237c9f75de861f2b3fa3b8c427638b65d607684ba6ea87a6c2c22
34339,2013-03-01,2508 Leases and Loans:L4 2007 Lincon Town Car,,"",471.98,0.00,471.98,Cheque Expense,dd,QuickBooks,dd,Heffner Lexus Toyota,f0d98a3fdb61820fedea8bebce77a853a763848526fee67d2c7963b7efcdda4b
34592,2013-03-11,2803 L-11 2009 Ford E-450 Shuttle,,"",1810.00,0.00,1810.00,Cheque Expense,38,QuickBooks,38,Heffner Lexus Toyota,cf83c63841e448f3e863528e123b923876114b97056df2df101416f289068d02
34340,2013-03-15,2508 Leases and Loans:L4 2007 Lincon Town Car,,"",471.97,0.00,471.97,Cheque Expense,dd,QuickBooks,dd,Heffner Lexus Toyota,90914b264f21da7bb8e2372b4743132326a33d100016095f20b2b2a2a1ef2e2a
34537,2013-03-15,2801 L-9 2007 LIncoln Town Car,,"",1405.00,0.00,1405.00,Cheque Expense,dd,QuickBooks,dd,Heffner Lexus Toyota,d68d1c0d73b923a95596cf76f3c7156ab157518356064f11e1eac2efdcafd040
34593,2013-03-15,2803 L-11 2009 Ford E-450 Shuttle,,"",1810.00,0.00,1810.00,Cheque Expense,dd,QuickBooks,dd,Heffner Lexus Toyota,0f84f3fe044c60068a81d6b62694e62f2febeef171bcddfeab4587750192e7eb
34564,2013-03-20,2802 L-10 2010 Ford E450 Bus,,"",2405.00,0.00,2405.00,Cheque Expense,31,QuickBooks,31,Heffner Lexus Toyota,7eba921ba8f6e57fb8c3593daf56c9508757c4593e491b0cd5c5b95e0a571bef
34594,2013-03-21,2803 L-11 2009 Ford E-450 Shuttle,,"",1810.00,0.00,1810.00,Cheque Expense,40,QuickBooks,40,Heffner Lexus Toyota,6dbfe3c34d3c06cd97e40c67c3b80b24f7d06575765f2ba7b12141aa0d295a44
34188,2013-04-01,2506 Leases and Loans:L-14 2010 Ford E450 Limo Bus,,"",2567.05,0.00,2567.05,Cheque Expense,dd,QuickBooks,dd,Ace Truck,2715f6b346bcb1384144207cd1223fdc418987368ca889713cd0cd20f00100ef
34215,2013-04-01,2507 Leases and Loans:L-15 2012 E350 Limo Bus,,"",847.50,0.00,847.50,Cheque Expense,dd,QuickBooks,dd,Heffner Lexus Toyota,1b066f2c929a31d33bced536248c73dccfa27ac9055507b4a3110c12a881c6de
34341,2013-04-01,2508 Leases and Loans:L4 2007 Lincon Town Car,,"",471.98,0.00,471.98,Cheque Expense,dd,QuickBooks,dd,Heffner Lexus Toyota,abf1f6076c95aa368c42b5964aabacf225563351343a044fd271026fe4f84852
34515,2013-04-11,2800 L-8 2008 Ford Expedition,,"",952.38,0.00,952.38,Cheque Expense,w/d,QuickBooks,w/d,Jack Carter,d50887b6b80da4b645197e4ac1cf32a5d042d29c10a287579f7f4d5456161971
34342,2013-04-15,2508 Leases and Loans:L4 2007 Lincon Town Car,,"",471.97,0.00,471.97,Cheque Expense,dd,QuickBooks,dd,Heffner Lexus Toyota,433384802143ae9cb7f6974c31b0e6474150e98be39c40e5e358e0b3d04291b0
34516,2013-04-15,2800 L-8 2008 Ford Expedition,,"",1795.86,0.00,1795.86,Cheque Expense,dd,QuickBooks,dd,Jack Carter,9ca38d2a7a50eef7101439d63068ac345e288c720d3e054be4d7c054fbaa3cd0
34216,2013-04-23,2507 Leases and Loans:L-15 2012 E350 Limo Bus,,"",847.50,0.00,847.50,Cheque Expense,dd,QuickBooks,dd,Heffner Lexus Toyota,38d6b01d3fb68e78976004b527edfb0408da82e34e58e34d1b7e2e3840e15370
34565,2013-04-23,2802 L-10 2010 Ford E450 Bus,,"",2405.00,0.00,2405.00,Cheque Expense,dd,QuickBooks,dd,Heffner Lexus Toyota,01cf839d4dd5286c3066be1fe334e63773e3472df305609eaffa7f622311699a
34595,2013-04-23,2803 L-11 2009 Ford E-450 Shuttle,,"",1810.00,0.00,1810.00,Cheque Expense,dd,QuickBooks,dd,Heffner Lexus Toyota,46a9fe2c0b446ff66d216c0db68049476314eee57810f4bd084fc846a17ee186
34538,2013-04-29,2801 L-9 2007 LIncoln Town Car,,"",1405.00,0.00,1405.00,Cheque Expense,24,QuickBooks,24,Heffner Lexus Toyota,97c7be8f757ad9916df3e816c408ca68479269452fd1baa8a934b1b8f9322988
34189,2013-05-01,2506 Leases and Loans:L-14 2010 Ford E450 Limo Bus,,"",2567.05,0.00,2567.05,Cheque Expense,dd,QuickBooks,dd,Ace Truck,b24b53bda69c9f66193953e7d62be3a3c230b8b3bc7861f641f4605d563312e6
34217,2013-05-01,2507 Leases and Loans:L-15 2012 E350 Limo Bus,,"",847.50,0.00,847.50,Cheque Expense,dd,QuickBooks,dd,Heffner Lexus Toyota,033535c6ef1d555a72b9f184db4464b7a7720a9dc8731b3e5e9e512883a35c45
34343,2013-05-01,2508 Leases and Loans:L4 2007 Lincon Town Car,,"",471.98,0.00,471.98,Cheque Expense,dd,QuickBooks,dd,Heffner Lexus Toyota,d0756edd7d92faa37b991f93d50cf10aa44f57cd745e0f96c4fc0a919d05bcf8
34517,2013-05-21,2800 L-8 2008 Ford Expedition,,"",1795.86,0.00,1795.86,Cheque Expense,183,QuickBooks,183,Jack Carter,e75d8ec6e99a73dbd2a828e89915eacb5f93626f882331b20507ede0aa0a71e7
34518,2013-05-22,2800 L-8 2008 Ford Expedition,,"",843.48,0.00,843.48,Cheque Expense,184,QuickBooks,184,Jack Carter,e4bf571c26f1c0166545da3b9d648db023a661c56c2b4466eccc0916a01e828a
