priority_rank,txn_id,sequence,date,description,row_count,year,priority_reason,sql_probe_1,sql_probe_2
28,14628,0,2017-08-25,Bill Payment (Cheque),2,2017,year_unmatched=42; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14628%' OR to_jsonb(t)::text ILIKE '%2017-08-25%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14628%' OR to_jsonb(t)::text ILIKE '%2017-08-25%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
29,14587,0,2017-08-23,Bill Payment (Cheque),2,2017,year_unmatched=42; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14587%' OR to_jsonb(t)::text ILIKE '%2017-08-23%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14587%' OR to_jsonb(t)::text ILIKE '%2017-08-23%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
30,14606,0,2017-08-23,Bill Payment (Cheque),2,2017,year_unmatched=42; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14606%' OR to_jsonb(t)::text ILIKE '%2017-08-23%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14606%' OR to_jsonb(t)::text ILIKE '%2017-08-23%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
31,14627,0,2017-08-23,Bill Payment (Cheque),2,2017,year_unmatched=42; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14627%' OR to_jsonb(t)::text ILIKE '%2017-08-23%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14627%' OR to_jsonb(t)::text ILIKE '%2017-08-23%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
32,14644,0,2017-08-23,Bill Payment (Cheque),2,2017,year_unmatched=42; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14644%' OR to_jsonb(t)::text ILIKE '%2017-08-23%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14644%' OR to_jsonb(t)::text ILIKE '%2017-08-23%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
33,14637,0,2017-08-10,Bill Payment (Cheque),2,2017,year_unmatched=42; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14637%' OR to_jsonb(t)::text ILIKE '%2017-08-10%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14637%' OR to_jsonb(t)::text ILIKE '%2017-08-10%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
34,14605,0,2017-06-29,Bill Payment (Cheque),2,2017,year_unmatched=42; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14605%' OR to_jsonb(t)::text ILIKE '%2017-06-29%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14605%' OR to_jsonb(t)::text ILIKE '%2017-06-29%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
35,14626,0,2017-06-29,Bill Payment (Cheque),2,2017,year_unmatched=42; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14626%' OR to_jsonb(t)::text ILIKE '%2017-06-29%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14626%' OR to_jsonb(t)::text ILIKE '%2017-06-29%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
36,14631,0,2017-05-01,Bill Payment (Cheque),2,2017,year_unmatched=42; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14631%' OR to_jsonb(t)::text ILIKE '%2017-05-01%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14631%' OR to_jsonb(t)::text ILIKE '%2017-05-01%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
37,14616,0,2017-04-10,Bill Payment (Cheque),2,2017,year_unmatched=42; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14616%' OR to_jsonb(t)::text ILIKE '%2017-04-10%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14616%' OR to_jsonb(t)::text ILIKE '%2017-04-10%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
38,14584,0,2017-02-23,Bill Payment (Cheque),2,2017,year_unmatched=42; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14584%' OR to_jsonb(t)::text ILIKE '%2017-02-23%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14584%' OR to_jsonb(t)::text ILIKE '%2017-02-23%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
39,14593,0,2017-02-23,Bill Payment (Cheque),2,2017,year_unmatched=42; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14593%' OR to_jsonb(t)::text ILIKE '%2017-02-23%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14593%' OR to_jsonb(t)::text ILIKE '%2017-02-23%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
40,14601,0,2017-02-23,Bill Payment (Cheque),2,2017,year_unmatched=42; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14601%' OR to_jsonb(t)::text ILIKE '%2017-02-23%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14601%' OR to_jsonb(t)::text ILIKE '%2017-02-23%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
41,14611,0,2017-02-23,Bill Payment (Cheque),2,2017,year_unmatched=42; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14611%' OR to_jsonb(t)::text ILIKE '%2017-02-23%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14611%' OR to_jsonb(t)::text ILIKE '%2017-02-23%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
42,14651,0,2017-02-23,Bill Payment (Cheque),2,2017,year_unmatched=42; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14651%' OR to_jsonb(t)::text ILIKE '%2017-02-23%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14651%' OR to_jsonb(t)::text ILIKE '%2017-02-23%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
43,14588,0,2017-02-22,Bill Payment (Cheque),2,2017,year_unmatched=42; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14588%' OR to_jsonb(t)::text ILIKE '%2017-02-22%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14588%' OR to_jsonb(t)::text ILIKE '%2017-02-22%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
44,14591,0,2017-02-22,Bill Payment (Cheque),2,2017,year_unmatched=42; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14591%' OR to_jsonb(t)::text ILIKE '%2017-02-22%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14591%' OR to_jsonb(t)::text ILIKE '%2017-02-22%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
45,14641,0,2017-01-11,Bill Payment (Cheque),2,2017,year_unmatched=42; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14641%' OR to_jsonb(t)::text ILIKE '%2017-01-11%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14641%' OR to_jsonb(t)::text ILIKE '%2017-01-11%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
46,14608,0,2013-12-17,Bill Payment (Cheque),2,2013,year_unmatched=26; newer_date; row_count=2,SELECT * FROM public.unified_general_ledger t WHERE to_jsonb(t)::text ILIKE '%14608%' OR to_jsonb(t)::text ILIKE '%2013-12-17%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;,SELECT * FROM public.banking_transactions t WHERE to_jsonb(t)::text ILIKE '%14608%' OR to_jsonb(t)::text ILIKE '%2013-12-17%' OR to_jsonb(t)::text ILIKE '%Bill Payment (Cheque)%' ORDER BY 1 LIMIT 200;
