source_zip,cra_txn_id,cra_sequence,cra_date,cra_amount,cra_account_name,cra_name,cra_description,match_level,suggested_action,reason,raw_row_hash
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14635,1,2012-12-19,,2000 Accounts Payable,,,UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,c0f5b66fe37e884d120e93e9ab829b371a61cb32
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14621,0,2013-02-28,,,Kirk's Tire (Red Deer) Ltd.,Bill Payment (Cheque),UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,78b0942e7540f5fa321ea8ba4b16a18936294bf4
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14621,1,2013-02-28,,2000 Accounts Payable,,,UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,adc2bfa7de13261cba94beb4d127abebee95b8f3
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14586,0,2013-03-31,,,Kirk's Tire (Red Deer) Ltd.,Bill Payment (Cheque),UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,55525310bcb12fb7f1d27fa9e6ee2b72530b6b69
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14586,1,2013-03-31,,2000 Accounts Payable,,,UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,435f48d3ab0b3301f38e54a44641964961ab1433
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14610,0,2013-04-30,,,Kirk's Tire (Red Deer) Ltd.,Bill Payment (Cheque),UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,66b2cc731ae0efbb4bb35acd1f0f773221d10496
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14610,1,2013-04-30,,2000 Accounts Payable,,,UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,bc30b947ef290111112d5c136033841cebd01257
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14654,0,2013-05-03,,,Cal Red Consulting Ltd.,Bill Payment (Cheque),UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,4af295db2db7d84f5246bac384200a66e472f627
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14654,1,2013-05-03,,2000 Accounts Payable,,,UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,0b7849ce003a9691b48ef3312673d04bccad6812
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14634,0,2013-05-07,,,Fibrenew,Bill Payment (Cheque),UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,2f948d6a370b31c813515fe24f3478a3a36713cd
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14634,1,2013-05-07,,2000 Accounts Payable,,,UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,e17ddd11c28e7fbb107e1b5640443464957fe8c4
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14646,0,2013-06-12,,,Sully Chapman Beattie,Bill Payment (Cheque),UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,a16dc1afcf0b3b900fb34ba81ef308e4a6db8f55
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14646,1,2013-06-12,,2000 Accounts Payable,,,UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,1148f5ee498efbe86f9e8ffe8221f54b27398ca4
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14582,0,2013-07-08,,,Fibrenew,Bill Payment (Cheque),UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,889a35423f3a617fed34a731f10a58e343470720
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14582,1,2013-07-08,,2000 Accounts Payable,,,UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,8f49a5ccc8ef1859f93c4c08f877fc313573f290
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14600,0,2013-07-08,,,Fibrenew,Bill Payment (Cheque),UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,ee6b60d1c4cacd7940805f61eb37ebee95ec4118
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14600,1,2013-07-08,,2000 Accounts Payable,,,UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,91cedb22e8e2a522bc4b5e2ec76dbe013e48bbbd
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14604,0,2013-07-18,,,106.7 The Drive,Bill Payment (Cheque),UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,52f3fa3bdf28f13ea6c3d5aa3891ffa7e102de42
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14604,1,2013-07-18,,2000 Accounts Payable,,,UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,32b917d72d6276b053e8ab3e2f02aa44218cd632
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14608,0,2013-12-17,,,Telus Communications,Bill Payment (Cheque),UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,8a7567c29b27e46ebc2c14d4c1732a1d4197a946
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14608,1,2013-12-17,,2000 Accounts Payable,,,UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,6cd8e40a75a6d05c3ddce2c7815be644f002ff71
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14615,0,2013-12-17,,,Telus Communications,Bill Payment (Cheque),UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,b7e711cd7d56f067c3f61e51391336e1bd35483c
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14615,1,2013-12-17,,2000 Accounts Payable,,,UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,bd172cc3d6d7585eb64faa759760580590bd7677
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14625,0,2013-12-17,,,Telus Communications,Bill Payment (Cheque),UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,ce8673708b70bcbd02589a08c2e3624b979ef114
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14625,1,2013-12-17,,2000 Accounts Payable,,,UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,3ba2d966caf989ecdcdb0e4d7b28b5422e151d5f
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14640,0,2013-12-17,,,Telus Communications,Bill Payment (Cheque),UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,9416929299598356dedad22ffc1a97f8647bec52
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14640,1,2013-12-17,,2000 Accounts Payable,,,UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,7cb6dd2e79c41084830a39ec2c2118eff8d39a56
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14599,0,2014-02-07,,,Telus Communications,Bill Payment (Cheque),UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,625796c6467f499f8c1bba805b5bcec7f433bd3d
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14599,1,2014-02-07,,2000 Accounts Payable,,,UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,1accb7a4e3ab0021cf5566b6ce2eccf6daefdb1d
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14590,0,2014-02-17,,,Telus Communications,Bill Payment (Cheque),UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,d53156c734afca6a7a7aa4339af04cc85a721d42
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14590,1,2014-02-17,,2000 Accounts Payable,,,UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,f002fc24a4c73572710d0559c37b33b5eb023b91
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14598,0,2014-05-19,,,WCB,Bill Payment (Cheque),UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,6570eefef4e50bc3e4d45ccd79c948549a9ed66a
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14598,1,2014-05-19,,2000 Accounts Payable,,,UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,8e9216689f4c1d2ef6f1d4f7f194682bfad8d323
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14617,0,2014-05-19,,,WCB,Bill Payment (Cheque),UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,fdf777099c21c622b8735d7ef75ba7439b24bf86
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14617,1,2014-05-19,,2000 Accounts Payable,,,UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,aa5d4a600eb886445ed2788cc0961df51b4ab3d4
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14592,0,2015-05-19,,,WCB,Bill Payment (Cheque),UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,3956e5e0be6ac0662cde0287165833ade327ac16
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14592,1,2015-05-19,,2000 Accounts Payable,,,UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,8907f3d72d5fb7636cafe85bbf90b05ec4f5d34c
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14620,0,2015-05-19,,,WCB,Bill Payment (Cheque),UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,ff1c3f7d52f6bfe3bc85c94542886d26709cd470
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14620,1,2015-05-19,,2000 Accounts Payable,,,UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,f340af5455c8def0ef64184c08b038dcaa178ad2
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14639,0,2015-06-19,,,Rogers,Bill Payment (Cheque),UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,a72600972b5960718f7f72aecbe9fcdc24d834f1
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14639,1,2015-06-19,,2000 Accounts Payable,,,UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,1d952c7e994b7b1227b583b474d9bbbc5fcd806d
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14602,0,2016-01-10,,,Telus Communications,Bill Payment (Cheque),UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,d706f6edefdf9367036f67b11a3b02e2b2ba3106
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14602,1,2016-01-10,,2000 Accounts Payable,,,UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,0f3b71a5dc39131c9460ec6e911d22791f585f00
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14638,0,2016-01-10,,,Telus Communications,Bill Payment (Cheque),UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,bf64b4b1604724361a0c9595d0aed0bc8cff77cb
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14638,1,2016-01-10,,2000 Accounts Payable,,,UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,c110dedf1e215d590b94ae3de64f12c138627004
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14653,0,2016-05-17,,,Telus Communications,Bill Payment (Cheque),UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,d211b4fc23cfa41e845047d09196d2a01ecf2003
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14653,1,2016-05-17,,2000 Accounts Payable,,,UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,fba868325d8412128d8737ccea8988c1cd2aaf0c
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14648,0,2016-07-15,,,Rogers,Bill Payment (Cheque),UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,06529a0487f91261fb4931e88210a779420722d8
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14648,1,2016-07-15,,2000 Accounts Payable,,,UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,f9dc30c641440d578e61ecd00c32975d61554128
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14650,0,2016-08-02,,,Rogers,Bill Payment (Cheque),UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,2348fb71666197c47e7b7cfe17f7e3cd8f555499
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14650,1,2016-08-02,,2000 Accounts Payable,,,UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,76ab7a5c77b7ddf4801701fac5e35c182acf4691
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14583,0,2016-10-06,,,Rogers,Bill Payment (Cheque),UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,3d627520d8f0ea379e4c0dd32afa4a327d8a7fc4
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14583,1,2016-10-06,,2000 Accounts Payable,,,UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,7214cc770b3bbdef2c79d10f93767a183dbfd13b
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14630,0,2016-10-06,,,Rogers,Bill Payment (Cheque),UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,0f97645b973e29ee14ceda5eb16cccff4185033d
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14630,1,2016-10-06,,2000 Accounts Payable,,,UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,a82e3fd97284424eef6e9cb1c9e3cd8d6d0116f4
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14585,0,2016-11-17,,,Telus Communications,Bill Payment (Cheque),UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,a030d0f801ce314776343abeefb39886c0d96ec5
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14585,1,2016-11-17,,2000 Accounts Payable,,,UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,73114ef8ae0bf5617ff7ef42405287d24d5eedaa
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14595,0,2016-11-17,,,Telus Communications,Bill Payment (Cheque),UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,c5bc0b4c44d1b6523b1e6d22b567cd989e648a39
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14595,1,2016-11-17,,2000 Accounts Payable,,,UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,f1e2ed01679f1aaa47caacc6daf3ed78c8cb415d
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14622,0,2016-11-17,,,Telus Communications,Bill Payment (Cheque),UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,7fed5dc3aecd7db38517fc3f37e5873ad71db11d
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14622,1,2016-11-17,,2000 Accounts Payable,,,UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,057af881b61841d52ae26cfb67f0b07717835cca
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14643,0,2016-11-17,,,Telus Communications,Bill Payment (Cheque),UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,877da9105ead81c549a8cca66aff81cf472c883f
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14643,1,2016-11-17,,2000 Accounts Payable,,,UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,e66ba291169bd47da115d3350d4c191f8685a8e0
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14649,0,2016-11-17,,,Telus Communications,Bill Payment (Cheque),UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,46f8d36583a8b3a0c161e512f3a12024854059a2
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14649,1,2016-11-17,,2000 Accounts Payable,,,UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,e0ede30d3dea75234ede1fa894cc40aa5c900f50
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14589,0,2016-11-28,,,Rogers,Bill Payment (Cheque),UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,95f370a25b55a1668e422e094322ea8f16c7ba57
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14589,1,2016-11-28,,2000 Accounts Payable,,,UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,93e7d7ca9f28029e84ce0294e5d316d2664028fc
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14624,0,2016-11-28,,,Rogers,Bill Payment (Cheque),UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,6060cd6070751b6734c401836d84f31ecc58d80c
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14624,1,2016-11-28,,2000 Accounts Payable,,,UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,b0712bd5ec00e76e0bf12b8c69a09b62c8d2ad2b
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14594,0,2016-12-19,,,WCB,Bill Payment (Cheque),UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,e45cf30c69789b015a61790d890d21bfa3cfe085
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14594,1,2016-12-19,,2000 Accounts Payable,,,UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,3e99654efa8a34f98e60c26f5c412a2c22f935a6
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14597,0,2016-12-19,,,WCB,Bill Payment (Cheque),UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,8d99e5220f14a18ea541cc918e2f793544bcf87d
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14597,1,2016-12-19,,2000 Accounts Payable,,,UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,ad12e21ffea3c3de1a53fd55db225584c3def9e9
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14603,0,2016-12-19,,,WCB,Bill Payment (Cheque),UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,5de4ae16556d600757ecacaa1e5be2f5b9917d31
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14603,1,2016-12-19,,2000 Accounts Payable,,,UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,7109a2038d69de6612753e75ea49efd4a5581b33
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14612,0,2016-12-19,,,WCB,Bill Payment (Cheque),UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,a6536655011bd75f6bb55e5c8670ffdcf960d366
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14612,1,2016-12-19,,2000 Accounts Payable,,,UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,9d83202647e0bd70f8180602f8066e8d83c8fdb4
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14613,0,2016-12-19,,,WCB,Bill Payment (Cheque),UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,7b40538e076b3824a2db48a7fb0cd95581b0b36b
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14613,1,2016-12-19,,2000 Accounts Payable,,,UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,eb63749463d70a43d5b6eda7a53e6127e4f3d3a9
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14618,0,2016-12-19,,,WCB,Bill Payment (Cheque),UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,3a891d0cd8dae756bf07c333678fa08f256cbb05
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14618,1,2016-12-19,,2000 Accounts Payable,,,UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,d1718172498e69bce0a3e7f767d4b050d6faaa06
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14623,0,2016-12-19,,,WCB,Bill Payment (Cheque),UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,0bf047aed3bdabf5243325814b70e920864a43c1
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14623,1,2016-12-19,,2000 Accounts Payable,,,UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,5f89e3c560ec612f17910abff0609e6afcf7e5f8
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14636,0,2016-12-19,,,WCB,Bill Payment (Cheque),UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,4ecb622a50e447820a0852e0f22b97aa431f1486
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14636,1,2016-12-19,,2000 Accounts Payable,,,UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,a7e91b66c81a9f90d3a469c060f67410e775f574
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14642,0,2016-12-19,,,WCB,Bill Payment (Cheque),UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,dc5de6391ea8fe4cf3ac576fad36a45cab409729
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14642,1,2016-12-19,,2000 Accounts Payable,,,UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,f418a5adcfd635f6d53694310ba56172accad3e3
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14645,0,2016-12-19,,,WCB,Bill Payment (Cheque),UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,baf7ff36342901892f97d563c951d4c5348312c6
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14645,1,2016-12-19,,2000 Accounts Payable,,,UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,94161223bfb4c4171b7f80948e6665ae8b840bc3
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14641,0,2017-01-11,,,Rogers,Bill Payment (Cheque),UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,1469932ab2328a758c2dc084f8106c4530ad084b
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14641,1,2017-01-11,,2000 Accounts Payable,,,UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,738696049b3e4e9885c3d5bc68f21e62629fd9d1
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14588,0,2017-02-22,,,Rogers,Bill Payment (Cheque),UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,d42d28561fb09cdcbf4e1d4d88260683558d8542
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14588,1,2017-02-22,,2000 Accounts Payable,,,UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,0fb870c2ef1bfd1ebff5fd64ecdead38bce753ee
CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,14591,0,2017-02-22,,,Rogers,Bill Payment (Cheque),UNMATCHED,REVIEW_MAPPING,Missing CRA date or amount; cannot safely match,096a93a71663bfca0e482f5a94caf5742cc53dad
