source_zip,account_id,account_number,account_name,account_type,account_subtype,classification,balance,balance_date,raw_fields_json
L:\CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,,,Limousines & Busses:L-15 2012 Ford E-350 Party Bus,"Property, plant and equipment",Other fixed assets,"Property, plant and equipment",847.50,,"{""account_bal"": ""847.50"", ""account_name"": ""Limousines & Busses:L-15 2012 Ford E-350 Party Bus"", ""account_type"": ""Property, plant and equipment"", ""detail_acc_type"": ""Other fixed assets""}"
L:\CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,,,Limousines & Busses:L-19 2008 Lincoln Navigator,"Property, plant and equipment",Other fixed assets,"Property, plant and equipment",0.00,,"{""account_bal"": ""0.00"", ""account_name"": ""Limousines & Busses:L-19 2008 Lincoln Navigator"", ""account_type"": ""Property, plant and equipment"", ""detail_acc_type"": ""Other fixed assets""}"
L:\CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,,,Limousines & Busses:L-2 2006 Lincoln TownCar 614688,"Property, plant and equipment",Other fixed assets,"Property, plant and equipment","-2,000.00",,"{""account_bal"": ""-2000.00"", ""account_name"": ""Limousines & Busses:L-2 2006 Lincoln TownCar 614688"", ""account_type"": ""Property, plant and equipment"", ""detail_acc_type"": ""Other fixed assets""}"
L:\CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,,,Limousines & Busses:L-4 2007 Lincoln TownCar 623380,"Property, plant and equipment",Other fixed assets,"Property, plant and equipment",0.00,,"{""account_bal"": ""0.00"", ""account_name"": ""Limousines & Busses:L-4 2007 Lincoln TownCar 623380"", ""account_type"": ""Property, plant and equipment"", ""detail_acc_type"": ""Other fixed assets""}"
L:\CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,,,Limousines & Busses:L-6 2001 Lincoln TownCar 659569,"Property, plant and equipment",Other fixed assets,"Property, plant and equipment","59,496.00",,"{""account_bal"": ""59496.00"", ""account_name"": ""Limousines & Busses:L-6 2001 Lincoln TownCar 659569"", ""account_type"": ""Property, plant and equipment"", ""detail_acc_type"": ""Other fixed assets""}"
L:\CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,,,Limousines & Busses:L-7 2003 Ford Excursion B96175,"Property, plant and equipment",Other fixed assets,"Property, plant and equipment","130,000.00",,"{""account_bal"": ""130000.00"", ""account_name"": ""Limousines & Busses:L-7 2003 Ford Excursion B96175"", ""account_type"": ""Property, plant and equipment"", ""detail_acc_type"": ""Other fixed assets""}"
L:\CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,,,Limousines & Busses:L-8 2008 Ford Expedition A13564,"Property, plant and equipment",Other fixed assets,"Property, plant and equipment","109,000.00",,"{""account_bal"": ""109000.00"", ""account_name"": ""Limousines & Busses:L-8 2008 Ford Expedition A13564"", ""account_type"": ""Property, plant and equipment"", ""detail_acc_type"": ""Other fixed assets""}"
L:\CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,,,Limousines & Busses:L-9 2007 Lincoln TownCar 624935,"Property, plant and equipment",Other fixed assets,"Property, plant and equipment","69,657.00",,"{""account_bal"": ""69657.00"", ""account_name"": ""Limousines & Busses:L-9 2007 Lincoln TownCar 624935"", ""account_type"": ""Property, plant and equipment"", ""detail_acc_type"": ""Other fixed assets""}"
L:\CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,,,Limousines & Busses:L10 2009 Ford E450 Bus A87480,"Property, plant and equipment",Other fixed assets,"Property, plant and equipment","146,055.00",,"{""account_bal"": ""146055.00"", ""account_name"": ""Limousines & Busses:L10 2009 Ford E450 Bus A87480"", ""account_type"": ""Property, plant and equipment"", ""detail_acc_type"": ""Other fixed assets""}"
L:\CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,,,Limousines & Busses:L11 2008 Ford E-450 Bus B55665,"Property, plant and equipment",Other fixed assets,"Property, plant and equipment","118,055.00",,"{""account_bal"": ""118055.00"", ""account_name"": ""Limousines & Busses:L11 2008 Ford E-450 Bus B55665"", ""account_type"": ""Property, plant and equipment"", ""detail_acc_type"": ""Other fixed assets""}"
L:\CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,,,Limousines & Busses:L12 1995 Intl 3000 Bus 621679,"Property, plant and equipment",Other fixed assets,"Property, plant and equipment",0.00,,"{""account_bal"": ""0.00"", ""account_name"": ""Limousines & Busses:L12 1995 Intl 3000 Bus 621679"", ""account_type"": ""Property, plant and equipment"", ""detail_acc_type"": ""Other fixed assets""}"
L:\CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,,,Limousines & Busses:L14 2010 Ford E-450 Bus A09591,"Property, plant and equipment",Other fixed assets,"Property, plant and equipment","2,567.05",,"{""account_bal"": ""2567.05"", ""account_name"": ""Limousines & Busses:L14 2010 Ford E-450 Bus A09591"", ""account_type"": ""Property, plant and equipment"", ""detail_acc_type"": ""Other fixed assets""}"
L:\CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,,,Limousines & Busses:L18 2003 Ford Excursion D67617,"Property, plant and equipment",Other fixed assets,"Property, plant and equipment","24,000.00",,"{""account_bal"": ""24000.00"", ""account_name"": ""Limousines & Busses:L18 2003 Ford Excursion D67617"", ""account_type"": ""Property, plant and equipment"", ""detail_acc_type"": ""Other fixed assets""}"
L:\CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,,,Square deposit account,Bank,Chequing,Bank,"-60,859.15",,"{""account_bal"": ""-60859.15"", ""account_name"": ""Square deposit account"", ""account_type"": ""Bank"", ""detail_acc_type"": ""Chequing""}"
L:\CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,,,Square holds and disputes,Current assets,Other current assets,Current assets,0.00,,"{""account_bal"": ""0.00"", ""account_name"": ""Square holds and disputes"", ""account_type"": ""Current assets"", ""detail_acc_type"": ""Other current assets""}"
L:\CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,,,Unapplied Cash Bill Payment Expense,Expenses,Unapplied Cash Bill Payment Expense,Expenses,,,"{""account_name"": ""Unapplied Cash Bill Payment Expense"", ""account_type"": ""Expenses"", ""detail_acc_type"": ""Unapplied Cash Bill Payment Expense""}"
L:\CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,,,Uncategorized Asset,Current assets,Other current assets,Current assets,0.00,,"{""account_bal"": ""0.00"", ""account_name"": ""Uncategorized Asset"", ""account_type"": ""Current assets"", ""detail_acc_type"": ""Other current assets""}"
L:\CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,,0228362,0228362 CIBC checking account,Bank,Cash on hand,Bank,"-328,322.62",,"{""account_bal"": ""-328322.62"", ""account_name"": ""0228362 CIBC checking account"", ""account_type"": ""Bank"", ""acct_num_with_extn"": ""0228362"", ""detail_acc_type"": ""Cash on hand""}"
L:\CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,,1000,1000 CIBC Bank 1615,Bank,Chequing,Bank,"-7,890.56",,"{""account_bal"": ""-7890.56"", ""account_name"": ""1000 CIBC Bank 1615"", ""account_type"": ""Bank"", ""acct_num_with_extn"": ""1000"", ""detail_acc_type"": ""Chequing""}"
L:\CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,,1010,1010 Scotia Bank Main,Bank,Chequing,Bank,-259.09,,"{""account_bal"": ""-259.09"", ""account_name"": ""1010 Scotia Bank Main"", ""account_type"": ""Bank"", ""acct_num_with_extn"": ""1010"", ""detail_acc_type"": ""Chequing""}"
L:\CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,,1020,1020 Personal CIBC 8362,Bank,Chequing,Bank,"577,660.37",,"{""account_bal"": ""577660.37"", ""account_name"": ""1020 Personal CIBC 8362"", ""account_type"": ""Bank"", ""acct_num_with_extn"": ""1020"", ""detail_acc_type"": ""Chequing""}"
L:\CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,,1080,1080 Petty Cash,Bank,Chequing,Bank,"285,468.48",,"{""account_bal"": ""285468.48"", ""account_name"": ""1080 Petty Cash"", ""account_type"": ""Bank"", ""acct_num_with_extn"": ""1080"", ""detail_acc_type"": ""Chequing""}"
L:\CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,,1085,1085 Payroll Clearing Account,Bank,Chequing,Bank,"-10,428.77",,"{""account_bal"": ""-10428.77"", ""account_name"": ""1085 Payroll Clearing Account"", ""account_type"": ""Bank"", ""acct_num_with_extn"": ""1085"", ""detail_acc_type"": ""Chequing""}"
L:\CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,,1090,1090 Bank Shareholder,Bank,Chequing,Bank,"-68,118.91",,"{""account_bal"": ""-68118.91"", ""account_name"": ""1090 Bank Shareholder"", ""account_type"": ""Bank"", ""acct_num_with_extn"": ""1090"", ""detail_acc_type"": ""Chequing""}"
L:\CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,,1095,1095 Deposit Clearing,Bank,Chequing,Bank,0.00,,"{""account_bal"": ""0.00"", ""account_name"": ""1095 Deposit Clearing"", ""account_type"": ""Bank"", ""acct_num_with_extn"": ""1095"", ""detail_acc_type"": ""Chequing""}"
L:\CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,,1099,1099 Undeposited Funds,Current assets,Undeposited Funds,Current assets,0.00,,"{""account_bal"": ""0.00"", ""account_desc"": ""Funds received, but not yet deposited to a bank account"", ""account_name"": ""1099 Undeposited Funds"", ""account_type"": ""Current assets"", ""acct_num_with_extn"": ""1099"", ""detail_acc_type"": ""Undeposited Funds""}"
L:\CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,,1100,1100 Accounts Receivable,Accounts receivable (A/R),Accounts Receivable (A/R),Accounts receivable (A/R),0.00,,"{""account_bal"": ""0.00"", ""account_desc"": ""Unpaid or unapplied customer invoices and credits"", ""account_name"": ""1100 Accounts Receivable"", ""account_type"": ""Accounts receivable (A/R)"", ""acct_num_with_extn"": ""1100"", ""detail_acc_type"": ""Accounts Receivable (A/R)""}"
L:\CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,,1300,1300 Prepaid Lease Charges,Current assets,Other current assets,Current assets,"81,107.90",,"{""account_bal"": ""81107.90"", ""account_name"": ""1300 Prepaid Lease Charges"", ""account_type"": ""Current assets"", ""acct_num_with_extn"": ""1300"", ""detail_acc_type"": ""Other current assets""}"
L:\CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,,1310,1310 Deposits Paid,Current assets,Other current assets,Current assets,"4,000.00",,"{""account_bal"": ""4000.00"", ""account_name"": ""1310 Deposits Paid"", ""account_type"": ""Current assets"", ""acct_num_with_extn"": ""1310"", ""detail_acc_type"": ""Other current assets""}"
L:\CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,,1325,1325 Prepaid Insurance,Current assets,Other current assets,Current assets,0.00,,"{""account_bal"": ""0.00"", ""account_desc"": ""Insurance premiums paid in advance of policy effective dates"", ""account_name"": ""1325 Prepaid Insurance"", ""account_type"": ""Current assets"", ""acct_num_with_extn"": ""1325"", ""detail_acc_type"": ""Other current assets""}"
L:\CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,,1375,1375 Driver Advances,Current assets,Other current assets,Current assets,"39,510.59",,"{""account_bal"": ""39510.59"", ""account_desc"": ""Small, short-term advances to employees or contractors"", ""account_name"": ""1375 Driver Advances"", ""account_type"": ""Current assets"", ""acct_num_with_extn"": ""1375"", ""detail_acc_type"": ""Other current assets""}"
L:\CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,,1398,1398 Clearing,Current assets,Other current assets,Current assets,0.00,,"{""account_bal"": ""0.00"", ""account_name"": ""1398 Clearing"", ""account_type"": ""Current assets"", ""acct_num_with_extn"": ""1398"", ""detail_acc_type"": ""Other current assets""}"
L:\CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,,1399,1399 Suspense,Current assets,Other current assets,Current assets,"238,894.38",,"{""account_bal"": ""238894.38"", ""account_name"": ""1399 Suspense"", ""account_type"": ""Current assets"", ""acct_num_with_extn"": ""1399"", ""detail_acc_type"": ""Other current assets""}"
L:\CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,,16400,16400 Vehicles (deleted),"Property, plant and equipment",Other fixed assets,"Property, plant and equipment",0.00,,"{""account_bal"": ""0.00"", ""account_desc"": ""Business automobiles and trucks"", ""account_name"": ""16400 Vehicles (deleted)"", ""account_type"": ""Property, plant and equipment"", ""detail_acc_type"": ""Other fixed assets""}"
L:\CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,,1700,1700 Limousines & Busses,"Property, plant and equipment",Other fixed assets,"Property, plant and equipment",665257.82,,"{""account_bal"": ""665257.82"", ""account_desc"": ""Fleet of Leased Limousines"", ""account_name"": ""1700 Limousines & Busses"", ""account_type"": ""Property, plant and equipment"", ""acct_num_with_extn"": ""1700"", ""detail_acc_type"": ""Other fixed assets""}"
L:\CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,,1701,1701 Limousines & Busses - Amort,"Property, plant and equipment",Other fixed assets,"Property, plant and equipment",-307004.33,,"{""account_bal"": ""-307004.33"", ""account_name"": ""1701 Limousines & Busses - Amort"", ""account_type"": ""Property, plant and equipment"", ""acct_num_with_extn"": ""1701"", ""detail_acc_type"": ""Other fixed assets""}"
L:\CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,,1710,1710 Computer Equipment,"Property, plant and equipment",Other fixed assets,"Property, plant and equipment","8,454.10",,"{""account_bal"": ""8454.10"", ""account_name"": ""1710 Computer Equipment"", ""account_type"": ""Property, plant and equipment"", ""acct_num_with_extn"": ""1710"", ""detail_acc_type"": ""Other fixed assets""}"
L:\CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,,1711,1711 Computer Equipment - Amort,"Property, plant and equipment",Other fixed assets,"Property, plant and equipment",0.00,,"{""account_bal"": ""0.00"", ""account_name"": ""1711 Computer Equipment - Amort"", ""account_type"": ""Property, plant and equipment"", ""acct_num_with_extn"": ""1711"", ""detail_acc_type"": ""Other fixed assets""}"
L:\CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,,1720,1720 Furniture and Equipment,"Property, plant and equipment",Other fixed assets,"Property, plant and equipment","10,407.57",,"{""account_bal"": ""10407.57"", ""account_desc"": ""Furniture, fixtures, and equipment with useful life beyond one year"", ""account_name"": ""1720 Furniture and Equipment"", ""account_type"": ""Property, plant and equipment"", ""acct_num_with_extn"": ""1720"", ""detail_acc_type"": ""Other fixed assets""}"
L:\CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,,1721,1721 Furniture and Equipment - Amort,"Property, plant and equipment",Other fixed assets,"Property, plant and equipment",0.00,,"{""account_bal"": ""0.00"", ""account_name"": ""1721 Furniture and Equipment - Amort"", ""account_type"": ""Property, plant and equipment"", ""acct_num_with_extn"": ""1721"", ""detail_acc_type"": ""Other fixed assets""}"
L:\CRAauditexport__2002-01-01_2025-12-31__20251019T204151.zip,,8314462,8314462 CIBC vehicle loans,Bank,Cash on hand,Bank,36.13,,"{""account_bal"": ""36.13"", ""account_name"": ""8314462 CIBC vehicle loans"", ""account_type"": ""Bank"", ""acct_num_with_extn"": ""8314462"", ""detail_acc_type"": ""Cash on hand""}"
