processing_priority,classification_bucket,vendor_name,row_count,total_amount,first_date,last_date
1,employee_reimbursement_likely,ADVANCED GLOBAL TRANSPOTATION,1,82.62,2012-06-11,2012-06-11
1,employee_reimbursement_likely,BED BATH AND BEYOND,1,131.25,2012-12-06,2012-12-06
1,employee_reimbursement_likely,BEST BUY,1,184.99,2012-08-12,2012-08-12
1,employee_reimbursement_likely,BOSTON PIZZA,1,26.51,2012-01-04,2012-01-04
1,employee_reimbursement_likely,CARRIAGE AUTO UPHOLSTERY,1,84.00,2012-07-28,2012-07-28
1,employee_reimbursement_likely,COPIES NOW,1,570.15,2012-02-03,2012-02-03
1,employee_reimbursement_likely,CT GAS BAR ONTARIO,1,143.01,2012-05-20,2012-05-20
1,employee_reimbursement_likely,ELECTRONICS,1,156.14,2012-12-08,2012-12-08
1,employee_reimbursement_likely,FUTURE SHOP,1,175.34,2012-12-17,2012-12-17
1,employee_reimbursement_likely,GLOBAL LIQUOR STORE,1,98.60,2012-05-08,2012-05-08
1,employee_reimbursement_likely,HMV,1,217.04,2012-12-08,2012-12-08
1,employee_reimbursement_likely,HOSPITAL PARKING,1,5.00,2012-11-04,2012-11-04
1,employee_reimbursement_likely,INDY GRAPHICS,1,401.63,2014-06-24,2014-06-24
1,employee_reimbursement_likely,KORAX,1,314.37,2012-02-22,2012-02-22
1,employee_reimbursement_likely,MACS CONVENIENCE,1,6.19,2012-04-16,2012-04-16
1,employee_reimbursement_likely,MAGNUM WINDOW TINT,1,105.00,2012-10-09,2012-10-09
1,employee_reimbursement_likely,MCDONALD'S,1,17.51,2012-04-13,2012-04-13
1,employee_reimbursement_likely,MONGOLIE GRILL,1,48.79,2012-01-26,2012-01-26
1,employee_reimbursement_likely,MR -LUBE,1,61.40,2012-01-25,2012-01-25
1,employee_reimbursement_likely,MR.SUDS INC.,1,11.20,2012-01-28,2012-01-28
1,employee_reimbursement_likely,NLA,1,252.37,2012-03-13,2012-03-13
1,employee_reimbursement_likely,OFFICE SUPPLIES,1,64.05,2012-02-04,2012-02-04
1,employee_reimbursement_likely,PANAGO,1,18.00,2012-12-15,2012-12-15
1,employee_reimbursement_likely,PHIL'S RESTAURA,1,26.83,2012-04-19,2012-04-19
1,employee_reimbursement_likely,PLAZA LIQUOR,1,28.27,2012-04-21,2012-04-21
1,employee_reimbursement_likely,PLENTY OF LIQUOR,1,138.52,2012-04-14,2012-04-14
1,employee_reimbursement_likely,PRAIRIE OFFICE SUPPLIES,1,17.82,2012-11-19,2012-11-19
1,employee_reimbursement_likely,PURALATOR,1,5.77,2012-08-22,2012-08-22
1,employee_reimbursement_likely,ROGERS,1,41.99,2012-02-04,2012-02-04
1,employee_reimbursement_likely,SOLO LIQUOR STORE,1,36.24,2012-04-06,2012-04-06
1,employee_reimbursement_likely,STAPLES,1,588.12,2012-10-06,2012-10-06
1,employee_reimbursement_likely,STARBUCKS,1,5.62,2012-03-12,2012-03-12
1,employee_reimbursement_likely,STARS AIR AMBULANCE,1,30.00,2012-11-08,2012-11-08
1,employee_reimbursement_likely,TBOOTH WIRELESS,1,104.99,2012-07-27,2012-07-27
1,employee_reimbursement_likely,TELUS,1,159.00,2012-01-18,2012-01-18
1,employee_reimbursement_likely,THE KEY HOLE,1,31.50,2012-02-06,2012-02-06
1,employee_reimbursement_likely,WESTERNER PARK,1,675.00,2012-11-29,2012-11-29
1,employee_reimbursement_likely,WESTJET,1,405.43,2012-09-16,2012-09-16
1,employee_reimbursement_likely,WINDSHIELD SURGEONS,1,65.00,2012-06-25,2012-06-25
1,employee_reimbursement_likely,WINDSOR PLYWOOD,1,41.85,2012-07-18,2012-07-18
1,employee_reimbursement_likely,WOODYS RV  WORLD,1,500.00,2012-05-24,2012-05-24
1,employee_reimbursement_likely,WOODYS RV WORLD,1,500.00,2012-05-24,2012-05-24
1,employee_reimbursement_likely,XM RADIO,1,370.00,2012-07-25,2012-07-25
2,fuel_cash_likely,CENTEX,274,11826.39,2012-01-01,2013-04-30
2,fuel_cash_likely,ESSO,53,2477.65,2012-01-14,2012-12-21
2,fuel_cash_likely,SHELL,35,1899.83,2012-01-01,2012-12-21
2,fuel_cash_likely,PETRO-CANADA,34,1512.81,2012-01-03,2016-07-27
2,fuel_cash_likely,MOHAWK,17,711.80,2012-01-01,2012-11-22
2,fuel_cash_likely,FAS GAS,15,738.32,2012-01-14,2012-12-07
2,fuel_cash_likely,HUSKY,2,151.00,2012-06-02,2012-09-20
3,vehicle_maintenance_cash_likely,CANADIAN TIRE,13,305.91,2012-01-05,2012-10-07
3,vehicle_maintenance_cash_likely,PARRS AUTOMOTIVE,6,2704.07,2012-01-24,2012-12-10
3,vehicle_maintenance_cash_likely,CARRIAGE AUTO UPHOLSTERY,2,170.36,2012-03-31,2012-05-14
3,vehicle_maintenance_cash_likely,CHOICE AUTO ELECTRIC LTD.,1,100.00,2012-12-20,2012-12-20
3,vehicle_maintenance_cash_likely,FIBRENEW REPAIRS,1,105.00,2012-10-15,2012-10-15
4,liquor_cash_likely,LIQUOR BARN,180,14447.17,2012-01-01,2015-12-15
4,liquor_cash_likely,LIQUOR DEPOT,32,1809.97,2012-01-07,2012-12-31
4,liquor_cash_likely,COOP LIQUOR,20,1177.45,2012-01-12,2012-10-19
4,liquor_cash_likely,CAPRI LIQUOR STORE,16,867.35,2012-01-21,2012-12-22
4,liquor_cash_likely,GLOBAL LIQUOR STORE,14,1121.65,2012-01-04,2012-05-11
4,liquor_cash_likely,PLAZA LIQUOR TOWN,12,768.83,2012-02-03,2012-11-21
4,liquor_cash_likely,UPTOWN LIQUOR STORE,11,385.11,2012-01-01,2012-12-13
4,liquor_cash_likely,LACOMBE LIQUOR STORE,3,240.45,2012-02-17,2012-03-24
4,liquor_cash_likely,LIQUOR CROSSING,3,46.48,2012-02-21,2012-09-19
4,liquor_cash_likely,VARCITY LIQUOR,3,81.16,2012-07-06,2012-09-14
4,liquor_cash_likely,COLD ONES LIQUOR,2,108.75,2012-02-04,2012-05-26
4,liquor_cash_likely,LIQUORSTORE,2,207.44,2012-04-26,2012-06-19
4,liquor_cash_likely,4TH STREET LIQUOR,1,61.15,2012-01-09,2012-01-09
4,liquor_cash_likely,INGLEWOOD LIQUOR STORE,1,36.96,2012-05-29,2012-05-29
4,liquor_cash_likely,LIQUOR BOUTIQUE,1,64.30,2012-12-07,2012-12-07
4,liquor_cash_likely,MCINTIRE LIQUOR,1,63.92,2012-10-20,2012-10-20
4,liquor_cash_likely,NORTHWOOD LIQUOR STORE,1,22.50,2012-02-12,2012-02-12
4,liquor_cash_likely,NORWOOD LIQUOR,1,96.19,2012-05-15,2012-05-15
4,liquor_cash_likely,NORWOOD LIQUOR STORE,1,52.65,2012-05-28,2012-05-28
4,liquor_cash_likely,ONE STOP LIQUOR,1,21.80,2012-09-10,2012-09-10
4,liquor_cash_likely,RED ANGEL LIQUOR STORE,1,19.98,2012-06-17,2012-06-17
4,liquor_cash_likely,RIMBEY LIQUOR STORE,1,5.50,2012-02-14,2012-02-14
4,liquor_cash_likely,ROYAL LIQUOR,1,73.99,2012-11-17,2012-11-17
4,liquor_cash_likely,WILD TIMS LIQUOR STORE,1,9.99,2012-05-29,2012-05-29
5,petty_cash_business_likely,MR SUDS INC.,86,980.10,2012-01-06,2013-03-31
5,petty_cash_business_likely,RUN'N ON EMPTY,55,2657.19,2012-01-01,2012-12-31
5,petty_cash_business_likely,SUPER CLEAN,24,608.20,2012-02-21,2012-12-15
5,petty_cash_business_likely,JUMBO,22,432.60,2012-01-12,2012-11-25
5,petty_cash_business_likely,FIBRENEW,20,29204.48,2012-01-24,2015-12-18
5,petty_cash_business_likely,SOBEYS,19,570.71,2012-01-13,2012-12-18
5,petty_cash_business_likely,BOSTON PIZZA,14,329.11,2012-02-14,2012-11-29
5,petty_cash_business_likely,COOP,14,525.33,2012-01-26,2012-12-15
5,petty_cash_business_likely,FLYING J,13,880.93,2012-02-18,2012-11-17
5,petty_cash_business_likely,REAL CANADIAN WHOLESALE CLUB,12,285.00,2012-01-11,2012-11-25
5,petty_cash_business_likely,MACS CONVENIENCE,11,137.59,2012-02-03,2012-12-21
5,petty_cash_business_likely,WALMART,10,334.77,2012-01-05,2014-09-26
5,petty_cash_business_likely,DOMO GAS,8,276.29,2012-02-17,2012-11-29
5,petty_cash_business_likely,CITY OF RED DEER,7,802.65,2012-01-10,2012-11-19
5,petty_cash_business_likely,PRAIRIE OFFICE SUPPLIES,7,169.64,2012-03-04,2012-12-17
5,petty_cash_business_likely,SAVE ON FOODS,7,170.80,2012-01-20,2012-12-21
5,petty_cash_business_likely,STAPLES,7,480.26,2012-02-13,2012-09-11
5,petty_cash_business_likely,WCB,7,3433.64,2012-03-19,2012-12-13
5,petty_cash_business_likely,7-ELEVEN,6,161.14,2012-05-11,2012-11-29
5,petty_cash_business_likely,PHIL'S RESTAURA,6,157.97,2012-02-16,2012-07-15
5,petty_cash_business_likely,A BUCK OR TWO,5,180.08,2012-01-10,2012-10-27
5,petty_cash_business_likely,MCDONALD'S,5,61.72,2012-05-29,2012-10-31
5,petty_cash_business_likely,THE KEY HOLE,5,186.45,2012-02-06,2012-10-17
5,petty_cash_business_likely,THE SOURCE,5,240.91,2012-08-14,2012-12-29
5,petty_cash_business_likely,106.7 THE DRIVE,4,1560.51,2012-01-01,2012-12-30
5,petty_cash_business_likely,FUTURE SHOP,4,490.44,2012-04-27,2012-09-06
5,petty_cash_business_likely,KFC,4,41.77,2012-02-20,2012-11-08
5,petty_cash_business_likely,MR MIKES,4,179.33,2012-10-13,2012-12-29
5,petty_cash_business_likely,REAL CANADIAN SUPERSTORE,4,175.23,2012-06-05,2012-12-18
5,petty_cash_business_likely,WENDY'S,4,38.22,2012-05-03,2012-11-20
5,petty_cash_business_likely,BONANNO PIZZA,3,63.99,2012-02-13,2012-12-13
5,petty_cash_business_likely,COOP HGC,3,144.18,2012-04-15,2012-07-14
5,petty_cash_business_likely,COPIES NOW,3,18.92,2012-05-03,2012-05-14
5,petty_cash_business_likely,DOLLARAMA,3,81.47,2012-01-13,2012-06-04
5,petty_cash_business_likely,GEORGE'S PIZZA,3,64.84,2012-03-12,2012-10-15
5,petty_cash_business_likely,LOCKED SOLID,3,100.17,2012-08-13,2012-12-20
5,petty_cash_business_likely,MGM GRAND HOTEL,3,186.35,2012-02-14,2012-02-16
5,petty_cash_business_likely,MONGOLIE GRILL,3,118.94,2012-06-25,2012-10-20
5,petty_cash_business_likely,PEAVEY MART,3,49.25,2012-06-20,2012-10-24
5,petty_cash_business_likely,RED LOBSTER,3,77.42,2012-05-12,2012-11-13
5,petty_cash_business_likely,WESTERNER,3,15.75,2012-04-27,2012-06-02
5,petty_cash_business_likely,WINDSHIELD SURGEONS,3,109.20,2012-10-19,2012-11-02
5,petty_cash_business_likely,WOK BOX,3,51.08,2012-09-15,2012-12-24
5,petty_cash_business_likely,ALL ABOARD FINE WINE ANS SPIRITS,2,56.20,2012-08-04,2012-08-04
5,petty_cash_business_likely,ASIAN KITCHEN,2,21.60,2012-09-19,2012-09-22
5,petty_cash_business_likely,CITY PARKING,2,12.00,2012-12-20,2012-12-20
5,petty_cash_business_likely,DENNYS,2,83.24,2012-08-08,2012-09-21
5,petty_cash_business_likely,HMS HOST RESTAURANT,2,23.63,2012-02-16,2012-07-12
5,petty_cash_business_likely,HUMPTYS,2,25.89,2012-01-02,2012-05-16
5,petty_cash_business_likely,JOEYS,2,80.41,2012-07-12,2012-10-30
5,petty_cash_business_likely,MARK'S STORE #3,2,141.69,2012-01-01,2012-06-20
5,petty_cash_business_likely,MR LUBE,2,271.40,2012-02-06,2012-02-20
5,petty_cash_business_likely,PARTSOURCE,2,100.43,2012-06-19,2012-08-14
5,petty_cash_business_likely,PHOENIX BUFFET,2,65.08,2012-02-06,2012-08-17
5,petty_cash_business_likely,PUROLATOR,2,34.04,2012-01-01,2012-09-27
5,petty_cash_business_likely,REALITY BYTES COMPUTERS INC,2,384.15,2012-08-02,2012-08-16
5,petty_cash_business_likely,RED DEER ADVOCATE,2,177.49,2012-03-08,2012-06-27
5,petty_cash_business_likely,RED DEER REGISTRIES,2,65.00,2012-01-20,2012-10-02
5,petty_cash_business_likely,RONA,2,40.13,2012-07-12,2012-11-15
5,petty_cash_business_likely,SAFEWAY,2,178.53,2012-04-26,2012-09-19
5,petty_cash_business_likely,SWIGS & SWINE,2,31.67,2012-01-01,2012-12-21
5,petty_cash_business_likely,THE TRUCK TOWN WASH,2,41.58,2012-06-04,2012-07-27
5,petty_cash_business_likely,TONY ROMAS,2,140.69,2012-05-30,2012-11-26
5,petty_cash_business_likely,TOTEM,2,47.24,2012-01-04,2012-08-15
5,petty_cash_business_likely,UNREADABLE,2,95.57,2012-01-13,2012-10-12
5,petty_cash_business_likely,A&W,1,14.49,2012-09-22,2012-09-22
5,petty_cash_business_likely,AGAJUTLA RESTAURANT,1,24.40,2012-05-24,2012-05-24
5,petty_cash_business_likely,ALBERTA TRANSPORTATION,1,50.00,2012-05-11,2012-05-11
5,petty_cash_business_likely,ALL SERVICE INSURANCE,1,1000.00,2012-01-14,2012-01-14
5,petty_cash_business_likely,ARBYS,1,5.92,2012-12-12,2012-12-12
5,petty_cash_business_likely,AURORA PREMIUM FINANCING,1,105.85,2012-07-30,2012-07-30
5,petty_cash_business_likely,BANFF NATIONAL PARK,1,19.60,2012-09-27,2012-09-27
5,petty_cash_business_likely,BED BATH AND BEYOND,1,125.92,2012-05-30,2012-05-30
5,petty_cash_business_likely,BEST BUY,1,272.98,2012-05-30,2012-05-30
5,petty_cash_business_likely,BIANCA AMORS LIQUIDATION,1,6.30,2012-11-27,2012-11-27
5,petty_cash_business_likely,BIGWAY FOODS,1,9.87,2012-05-16,2012-05-16
5,petty_cash_business_likely,BOAT MART,1,9.96,2012-06-20,2012-06-20
5,petty_cash_business_likely,BURGER BOX,1,14.00,2012-04-04,2012-04-04
5,petty_cash_business_likely,CASEYS NORTH BAY,1,44.03,2012-09-17,2012-09-17
5,petty_cash_business_likely,CASH WITHDRAWAL,1,43.75,2012-08-08,2012-08-08
5,petty_cash_business_likely,CENTRATECH,1,9.73,2012-07-11,2012-07-11
5,petty_cash_business_likely,CHATEAU WINE AND SPIRITS,1,41.75,2012-07-06,2012-07-06
5,petty_cash_business_likely,CHINA BEN,1,15.44,2012-06-01,2012-06-01
5,petty_cash_business_likely,CHUB RADIO,1,126.00,2012-03-26,2012-03-26
5,petty_cash_business_likely,CIBC,1,35.00,2012-12-31,2012-12-31
5,petty_cash_business_likely,CITY CENTER VACUUM,1,20.99,2012-02-08,2012-02-08
5,petty_cash_business_likely,DOMO,1,31.00,2012-02-25,2012-02-25
5,petty_cash_business_likely,DRAGON CITY CAFE,1,63.30,2012-05-30,2012-05-30
5,petty_cash_business_likely,EDMONTON AIRPORT AUTHORITY,1,30.00,2012-01-01,2012-01-01
5,petty_cash_business_likely,EECOL ELECTRICAL CORP,1,15.04,2012-03-21,2012-03-21
5,petty_cash_business_likely,EXTRA FOODS,1,17.13,2012-07-14,2012-07-14
5,petty_cash_business_likely,FESTIVAL FORD,1,46.97,2012-04-25,2012-04-25
5,petty_cash_business_likely,FIELDS STORES,1,630.00,2012-06-03,2012-06-03
5,petty_cash_business_likely,FINNING,1,343.28,2012-10-18,2012-10-18
5,petty_cash_business_likely,FLORAL EXPRESSIONS,1,30.00,2012-06-27,2012-06-27
5,petty_cash_business_likely,FORMULA 21 GASOLINE,1,145.00,2012-09-18,2012-09-18
5,petty_cash_business_likely,GEORGE'S PIZZA & STEAK,1,17.73,2012-08-01,2012-08-01
5,petty_cash_business_likely,GRANDVEIW STAGE RESTAURANT,1,14.70,2012-05-09,2012-05-09
5,petty_cash_business_likely,HAPPY TOGETHER FOOD,1,6.98,2012-07-21,2012-07-21
5,petty_cash_business_likely,HIGHLANDER WINE AND SPRIRITS,1,27.45,2012-09-28,2012-09-28
5,petty_cash_business_likely,HOME DEPOT,1,18.44,2012-07-14,2012-07-14
5,petty_cash_business_likely,HOOTERS,1,23.08,2012-10-20,2012-10-20
5,petty_cash_business_likely,HUGHES,1,10.00,2012-02-04,2012-02-04
5,petty_cash_business_likely,IFS FINANCIAL,1,700.00,2012-05-22,2012-05-22
5,petty_cash_business_likely,IGA,1,6.07,2012-06-02,2012-06-02
5,petty_cash_business_likely,IRONWOOD STAGE,1,31.20,2012-05-16,2012-05-16
5,petty_cash_business_likely,JEVCO INSURANCE,1,37.86,2012-10-17,2012-10-17
5,petty_cash_business_likely,JIFFY LUBE,1,71.27,2012-12-28,2012-12-28
5,petty_cash_business_likely,KINDOPPS,1,39.86,2012-10-19,2012-10-19
5,petty_cash_business_likely,LACOMBE FORD,1,173.25,2012-11-05,2012-11-05
5,petty_cash_business_likely,LITTLE CAESARS,1,16.89,2012-10-18,2012-10-18
5,petty_cash_business_likely,MONTANAS COOKHOUSE,1,27.27,2012-11-29,2012-11-29
5,petty_cash_business_likely,MOORES,1,149.99,2012-06-17,2012-06-17
5,petty_cash_business_likely,NITN GASBAR INC,1,29.30,2012-05-19,2012-05-19
5,petty_cash_business_likely,NOFRILLS,1,55.00,2012-10-20,2012-10-20
5,petty_cash_business_likely,NYMANS ARTMARKS,1,211.58,2012-10-30,2012-10-30
5,petty_cash_business_likely,OFFICE PLUS,1,288.75,2012-08-10,2012-08-10
5,petty_cash_business_likely,PART SOURCE,1,10.45,2012-02-22,2012-02-22
5,petty_cash_business_likely,PUROLATOR COURIER,1,66.52,2012-01-13,2012-01-13
5,petty_cash_business_likely,REAL CAN SUPERSTORE,1,33.55,2012-02-24,2012-02-24
5,petty_cash_business_likely,RED DEER SEWING CENTRE,1,600.00,2014-12-24,2014-12-24
5,petty_cash_business_likely,REXALL,1,18.26,2012-02-25,2012-02-25
5,petty_cash_business_likely,RICKYS,1,32.19,2012-07-05,2012-07-05
5,petty_cash_business_likely,ROGERS,1,22.04,2012-11-27,2012-11-27
5,petty_cash_business_likely,SMITTYS,1,20.97,2012-05-26,2012-05-26
5,petty_cash_business_likely,SQUEEKY KLEEN,1,7.00,2012-04-19,2012-04-19
5,petty_cash_business_likely,STARBUCKS,1,10.59,2012-09-16,2012-09-16
5,petty_cash_business_likely,SUNSHINE FAMILY REST,1,12.59,2012-11-02,2012-11-02
5,petty_cash_business_likely,SUSHI SUSHI,1,33.78,2012-09-26,2012-09-26
5,petty_cash_business_likely,TACO TIME,1,13.87,2012-11-15,2012-11-15
5,petty_cash_business_likely,THE SEWING LOFT,1,6.30,2012-01-01,2012-01-01
5,petty_cash_business_likely,THE TURTLE CLUB TRUCK CAR WASH,1,8.51,2012-05-25,2012-05-25
5,petty_cash_business_likely,TIFFANY COACHBUILDERS,1,500.00,2012-05-23,2012-05-23
5,petty_cash_business_likely,TIKI MING RESTAURANT,1,9.85,2012-11-27,2012-11-27
5,petty_cash_business_likely,TRIO,1,105.00,2012-05-25,2012-05-25
5,petty_cash_business_likely,UNREADABLE RECEIPT,1,5.98,2012-10-12,2012-10-12
5,petty_cash_business_likely,VILLAGE MALL,1,21.53,2012-02-03,2012-02-03
5,petty_cash_business_likely,WELCOME WAGON,1,100.00,2012-11-18,2012-11-18
5,petty_cash_business_likely,WILLIAMS STATIONARY,1,2.52,2012-12-12,2012-12-12
5,petty_cash_business_likely,WOODYS RV  WORLD,1,92.35,2012-05-01,2012-05-01
5,petty_cash_business_likely,WORD OF LIVE CHURCH,1,200.00,2012-12-06,2012-12-06
5,petty_cash_business_likely,pacini calgary,1,15.63,2012-09-21,2012-09-21
