RECEIPTS REPORT FOR 2019 (All Columns Except source_hash)
========================================================================================================================
id	source_system	source_reference	receipt_date	vendor_name	description	currency	gross_amount	gst_amount	net_amount	expense_account	payment_method	validation_status	validation_reason	event_batch_id	created_at
140	quickbooks_csv	140	2019-08-15	BURNT LAKE STORE		CAD	160.00	7.62	152.38	OTHER_EXPENSE	Cash	POSTED	NULL	156	2025-09-14 16:52:48.101950-06:00
115	quickbooks_csv	115	2019-08-17	BURNT LAKE STORE		CAD	100.00	4.76	95.24	OTHER_EXPENSE	Card	POSTED	NULL	131	2025-09-14 16:52:48.101950-06:00
819	quickbooks_csv	820	2019-09-12	BURNT LAKE STORE		CAD	20.00	0.39	19.61	OTHER_EXPENSE	Cash	POSTED	NULL	834	2025-09-14 16:52:48.101950-06:00
693	quickbooks_csv	694	2019-09-12	BURNT LAKE STORE		CAD	8.15	0.39	7.76	OTHER_EXPENSE	Cash	POSTED	NULL	708	2025-09-14 16:52:48.101950-06:00
643	quickbooks_csv	644	2019-12-27	BURNT LAKE STORE		CAD	43.00	2.05	40.95	OTHER_EXPENSE	Cash	POSTED	NULL	658	2025-09-14 16:52:48.101950-06:00
689	quickbooks_csv	690	2019-09-06	CALGARY AIRPORT AUTHOR		CAD	10.50	0.50	10.00	OTHER_EXPENSE	Card	POSTED	NULL	704	2025-09-14 16:52:48.101950-06:00
608	quickbooks_csv	609	2019-11-15	CALGARY AIRPORT AUTHOR		CAD	5.25	0.25	5.00	OTHER_EXPENSE	Card	POSTED	NULL	623	2025-09-14 16:52:48.101950-06:00
609	quickbooks_csv	610	2019-11-17	CALGARY AIRPORT AUTHOR		CAD	15.75	0.75	15.00	OTHER_EXPENSE	Card	POSTED	NULL	624	2025-09-14 16:52:48.101950-06:00
611	quickbooks_csv	612	2019-11-18	CALGARY AIRPORT AUTHOR		CAD	15.75	0.75	15.00	OTHER_EXPENSE	Card	POSTED	NULL	626	2025-09-14 16:52:48.101950-06:00
607	quickbooks_csv	608	2019-12-25	CALGARY AIRPORT AUTHOR		CAD	10.50	0.50	10.00	OTHER_EXPENSE	Card	POSTED	NULL	622	2025-09-14 16:52:48.101950-06:00
570	quickbooks_csv	571	2019-12-06	CAM CLARK FORD RED DEER		CAD	98.71	4.70	94.01	OTHER_EXPENSE	Card	POSTED	NULL	585	2025-09-14 16:52:48.101950-06:00
233	quickbooks_csv	233	2019-03-08	CANADIAN TIRE		CAD	40.00	1.90	38.10	MAINTENANCE_EXPENSE	Card	POSTED	NULL	249	2025-09-14 16:52:48.101950-06:00
278	quickbooks_csv	278	2019-06-17	CANADIAN TIRE		CAD	11.07	0.53	10.54	MAINTENANCE_EXPENSE	Cash	POSTED	NULL	293	2025-09-14 16:52:48.101950-06:00
574	quickbooks_csv	575	2019-11-09	CANADIAN TIRE		CAD	79.76	3.80	75.96	MAINTENANCE_EXPENSE	Debit	POSTED	NULL	589	2025-09-14 16:52:48.101950-06:00
603	quickbooks_csv	604	2019-11-10	CANADIAN TIRE		CAD	87.38	4.16	83.22	MAINTENANCE_EXPENSE	Debit	POSTED	NULL	618	2025-09-14 16:52:48.101950-06:00
304	quickbooks_csv	305	2019-11-24	CANADIAN TIRE		CAD	76.60	3.65	72.95	MAINTENANCE_EXPENSE	Debit	POSTED	NULL	319	2025-09-14 16:52:48.101950-06:00
699	quickbooks_csv	700	2019-08-31	CANADIAN TIRE CALGARY		CAD	61.50	2.93	58.57	MAINTENANCE_EXPENSE	Cash	POSTED	NULL	714	2025-09-14 16:52:48.101950-06:00
729	quickbooks_csv	730	2019-06-26	CC'S COLD BEER & LIQUOR STORE		CAD	104.87	4.60	100.27	OTHER_EXPENSE	Card	POSTED	NULL	744	2025-09-14 16:52:48.101950-06:00
125	quickbooks_csv	125	2019-06-07	CENTEX BEARSPAW		CAD	46.00	2.19	43.81	OTHER_EXPENSE	Cash	POSTED	NULL	141	2025-09-14 16:52:48.101950-06:00
121	quickbooks_csv	121	2019-06-07	CENTEX BEARSPAW		CAD	100.00	4.76	95.24	OTHER_EXPENSE	Cash	POSTED	NULL	137	2025-09-14 16:52:48.101950-06:00
42	quickbooks_csv	42	2019-06-15	CENTEX BEARSPAW		CAD	33.66	1.60	32.06	OTHER_EXPENSE	Card	POSTED	NULL	58	2025-09-14 16:52:48.101950-06:00
401	quickbooks_csv	402	2019-02-23	CENTRAI ALBERTA CO-OP GAS BAR		CAD	10.00	0.48	9.52	FUEL_EXPENSE	Cash	POSTED	NULL	416	2025-09-14 16:52:48.101950-06:00
724	quickbooks_csv	725	2019-05-29	CENTRAI ALBERTA CO-OP GAS BAR		CAD	10.07	0.47	9.60	FUEL_EXPENSE	Cash	POSTED	NULL	739	2025-09-14 16:52:48.101950-06:00
694	quickbooks_csv	695	2019-09-07	CENTRAL AB CO-OP		CAD	16.30	0.76	15.54	OTHER_EXPENSE	Cash	POSTED	NULL	709	2025-09-14 16:52:48.101950-06:00
232	quickbooks_csv	232	2019-04-24	CENTRAL AB CO-OP 69 DUNLOP ST		CAD	78.02	3.72	74.30	OTHER_EXPENSE	Card	POSTED	NULL	248	2025-09-14 16:52:48.101950-06:00
476	quickbooks_csv	477	2019-03-27	CENTRAL AB CO-OP TAYLOF IUOR		CAD	58.49	2.37	56.12	OTHER_EXPENSE	Cash	POSTED	NULL	491	2025-09-14 16:52:48.101950-06:00
197	quickbooks_csv	197	2019-06-29	CENTRAL ALBERTA CO-OP LACOMBE		CAD	10.59	0.45	10.14	OTHER_EXPENSE	Card	POSTED	NULL	213	2025-09-14 16:52:48.101950-06:00
302	quickbooks_csv	302	2019-06-10	CENTRAL ALBERTA CO-OP RD HGC		CAD	11.01	0.52	10.49	OTHER_EXPENSE	Cash	POSTED	NULL	317	2025-09-14 16:52:48.101950-06:00
673	quickbooks_csv	674	2019-08-08	CENTRAL ALBERTA CO-OP RD HGC		CAD	6.60	0.31	6.29	OTHER_EXPENSE	Cash	POSTED	NULL	688	2025-09-14 16:52:48.101950-06:00
262	quickbooks_csv	262	2019-08-08	CENTRAL ALBERTA CO-OP RD HGC		CAD	6.60	0.31	6.29	OTHER_EXPENSE	Cash	POSTED	NULL	278	2025-09-14 16:52:48.101950-06:00
323	quickbooks_csv	324	2019-03-12	CENTRAL ALBERTA COOP 4303 50TH STREET INNISFAIL ALBERTA T4G		CAD	126.00	6.00	120.00	TRAVEL_LODGING	Card	POSTED	NULL	338	2025-09-14 16:52:48.101950-06:00
331	quickbooks_csv	332	2019-03-16	CENTRAL ALBERTA COOP TIMBERLANDS GAS BAR		CAD	67.00	3.19	63.81	FUEL_EXPENSE	Cash	POSTED	NULL	346	2025-09-14 16:52:48.101950-06:00
332	quickbooks_csv	333	2019-03-19	CENTRAL ALBERTA COOP TIMBERLANDS GAS BAR		CAD	80.00	3.81	76.19	FUEL_EXPENSE	Cash	POSTED	NULL	347	2025-09-14 16:52:48.101950-06:00
301	quickbooks_csv	301	2019-07-13	CENTRAL ALBERTA COOP TIMBERLANDS GAS BAR		CAD	30.00	1.43	28.57	FUEL_EXPENSE	Cash	POSTED	NULL	316	2025-09-14 16:52:48.101950-06:00
546	quickbooks_csv	547	2019-12-14	CENTRAL ALBERTA COOP TIMBERLANDS GAS BAR		CAD	10.00	0.48	9.52	FUEL_EXPENSE	Cash	POSTED	NULL	561	2025-09-14 16:52:48.101950-06:00
54	quickbooks_csv	54	2019-03-09	CHEVRON CALGARY TR.		CAD	3.60	0.17	3.43	OTHER_EXPENSE	Cash	POSTED	NULL	70	2025-09-14 16:52:48.101950-06:00
484	quickbooks_csv	485	2019-03-09	CIRCLE K		CAD	9.85	0.26	9.59	OTHER_EXPENSE	Cash	POSTED	NULL	499	2025-09-14 16:52:48.101950-06:00
805	quickbooks_csv	806	2019-08-31	CIRCLE K		CAD	3.90	0.19	3.71	OTHER_EXPENSE	Cash	POSTED	NULL	820	2025-09-14 16:52:48.101950-06:00
269	quickbooks_csv	269	2019-04-24	CORONATION RESTAURAUNT		CAD	13.13	0.63	12.50	OTHER_EXPENSE	Cash	POSTED	NULL	284	2025-09-14 16:52:48.101950-06:00
482	quickbooks_csv	483	2019-01-13	CURVY BOTTLE LIQUOR STORE		CAD	13.99	0.66	13.33	OTHER_EXPENSE	Card	POSTED	NULL	497	2025-09-14 16:52:48.101950-06:00
477	quickbooks_csv	478	2019-01-16	CURVY BOTTLE LIQUOR STORE		CAD	34.48	1.37	33.11	OTHER_EXPENSE	Debit	POSTED	NULL	492	2025-09-14 16:52:48.101950-06:00
480	quickbooks_csv	481	2019-02-16	CURVY BOTTLE LIQUOR STORE		CAD	18.97	0.78	18.19	OTHER_EXPENSE	Cash	POSTED	NULL	495	2025-09-14 16:52:48.101950-06:00
470	quickbooks_csv	471	2019-03-16	CURVY BOTTLE LIQUOR STORE		CAD	92.73	4.05	88.68	OTHER_EXPENSE	Cash	POSTED	NULL	485	2025-09-14 16:52:48.101950-06:00
586	quickbooks_csv	587	2019-03-16	CURVY BOTTLE LIQUOR STORE		CAD	33.99	1.55	32.44	OTHER_EXPENSE	Debit	POSTED	NULL	601	2025-09-14 16:52:48.101950-06:00
731	quickbooks_csv	732	2019-06-23	CURVY BOTTLE LIQUOR STORE		CAD	57.90	2.70	55.20	OTHER_EXPENSE	Debit	POSTED	NULL	746	2025-09-14 16:52:48.101950-06:00
474	quickbooks_csv	475	2019-09-14	CURVY BOTTLE LIQUOR STORE		CAD	151.84	6.94	144.90	OTHER_EXPENSE	Cash	POSTED	NULL	489	2025-09-14 16:52:48.101950-06:00
814	quickbooks_csv	815	2019-11-23	CURVY BOTTLE LIQUOR STORE		CAD	105.95	4.91	101.04	OTHER_EXPENSE	Card	POSTED	NULL	829	2025-09-14 16:52:48.101950-06:00
587	quickbooks_csv	588	2019-11-24	CURVY BOTTLE LIQUOR STORE		CAD	112.95	5.12	107.83	OTHER_EXPENSE	Debit	POSTED	NULL	602	2025-09-14 16:52:48.101950-06:00
147	quickbooks_csv	147	2019-07-13	DELBURN ESSO		CAD	14.35	0.68	13.67	FUEL_EXPENSE	Cash	POSTED	NULL	163	2025-09-14 16:52:48.101950-06:00
112	quickbooks_csv	112	2019-07-13	DELBURN ESSO		CAD	50.08	2.38	47.70	FUEL_EXPENSE	Card	POSTED	NULL	128	2025-09-14 16:52:48.101950-06:00
716	quickbooks_csv	717	2019-10-04	DENNY' S		CAD	13.83	0.85	12.98	OTHER_EXPENSE	Cash	POSTED	NULL	731	2025-09-14 16:52:48.101950-06:00
472	quickbooks_csv	473	2019-01-08	DEPOT		CAD	12.30	0.55	11.75	OTHER_EXPENSE	Debit	POSTED	NULL	487	2025-09-14 16:52:48.101950-06:00
605	quickbooks_csv	606	2019-12-20	DOLLARAMA		CAD	16.40	0.78	15.62	OTHER_EXPENSE	Card	POSTED	NULL	620	2025-09-14 16:52:48.101950-06:00
767	quickbooks_csv	768	2019-01-05	DOWNTOWN WINE & LIQUOR		CAD	27.00	1.29	25.71	OTHER_EXPENSE	Cash	POSTED	NULL	782	2025-09-14 16:52:48.101950-06:00
284	quickbooks_csv	284	2019-10-15	DQ		CAD	25.37	1.21	24.16	OTHER_EXPENSE	Cash	POSTED	NULL	299	2025-09-14 16:52:48.101950-06:00
606	quickbooks_csv	607	2019-11-08	EDMONTON AIRPORT AUTHORITY		CAD	6.25	0.30	5.95	OTHER_EXPENSE	Card	POSTED	NULL	621	2025-09-14 16:52:48.101950-06:00
60	quickbooks_csv	60	2019-04-18	EDMONTON AL -PORTS		CAD	7.75	0.37	7.38	OTHER_EXPENSE	Cash	POSTED	NULL	76	2025-09-14 16:52:48.101950-06:00
715	quickbooks_csv	716	2019-09-27	ESSO 32ND STREET		CAD	87.51	4.17	83.34	FUEL_EXPENSE	Debit	POSTED	NULL	730	2025-09-14 16:52:48.101950-06:00
16	quickbooks_csv	16	2019-03-11	ESSO EXPRESS GAS ALLEY		CAD	80.00	3.81	76.19	FUEL_EXPENSE	Cash	POSTED	NULL	32	2025-09-14 16:52:48.101950-06:00
592	quickbooks_csv	593	2019-11-01	ESSO EXPRESS GAS ALLEY		CAD	43.50	2.07	41.43	FUEL_EXPENSE	NULL	POSTED	NULL	607	2025-09-14 16:52:48.101950-06:00
591	quickbooks_csv	592	2019-11-01	ESSO EXPRESS NISKU		CAD	58.00	2.76	55.24	FUEL_EXPENSE	NULL	POSTED	NULL	606	2025-09-14 16:52:48.101950-06:00
63	quickbooks_csv	63	2019-04-17	FAS AS WESTPARK		CAD	100.00	4.76	95.24	OTHER_EXPENSE	Debit	POSTED	NULL	79	2025-09-14 16:52:48.101950-06:00
101	quickbooks_csv	101	2019-04-22	FAS AS WESTPARK		CAD	30.00	1.43	28.57	OTHER_EXPENSE	Card	POSTED	NULL	117	2025-09-14 16:52:48.101950-06:00
256	quickbooks_csv	256	2019-04-23	FAS AS WESTPARK		CAD	20.00	0.95	19.05	OTHER_EXPENSE	Card	POSTED	NULL	272	2025-09-14 16:52:48.101950-06:00
521	quickbooks_csv	522	2019-11-09	FAS AS WESTPARK		CAD	43.01	2.50	40.51	OTHER_EXPENSE	Debit	POSTED	NULL	536	2025-09-14 16:52:48.101950-06:00
526	quickbooks_csv	527	2019-11-15	FAS AS WESTPARK		CAD	60.00	2.86	57.14	OTHER_EXPENSE	NULL	POSTED	NULL	541	2025-09-14 16:52:48.101950-06:00
171	quickbooks_csv	171	2019-05-12	Fas Gas NORTH SIDE		CAD	40.00	1.90	38.10	FUEL_EXPENSE	Cash	POSTED	NULL	187	2025-09-14 16:52:48.101950-06:00
289	quickbooks_csv	289	2019-01-09	Fas Gas PENHOLD		CAD	6.76	0.27	6.49	FUEL_EXPENSE	Debit	POSTED	NULL	304	2025-09-14 16:52:48.101950-06:00
366	quickbooks_csv	367	2019-01-09	Fas Gas PENHOLD		CAD	40.20	1.91	38.29	FUEL_EXPENSE	Debit	POSTED	NULL	381	2025-09-14 16:52:48.101950-06:00
288	quickbooks_csv	288	2019-01-09	Fas Gas PENHOLD		CAD	6.76	0.27	6.49	FUEL_EXPENSE	Card	POSTED	NULL	303	2025-09-14 16:52:48.101950-06:00
367	quickbooks_csv	368	2019-01-09	Fas Gas PENHOLD		CAD	80.00	3.81	76.19	FUEL_EXPENSE	Card	POSTED	NULL	382	2025-09-14 16:52:48.101950-06:00
55	quickbooks_csv	55	2019-03-24	Fas Gas PENHOLD		CAD	40.80	0.94	39.86	FUEL_EXPENSE	Cash	POSTED	NULL	71	2025-09-14 16:52:48.101950-06:00
199	quickbooks_csv	199	2019-06-22	Fas Gas PENHOLD		CAD	14.80	0.36	14.44	FUEL_EXPENSE	Cash	POSTED	NULL	215	2025-09-14 16:52:48.101950-06:00
130	quickbooks_csv	130	2019-06-22	Fas Gas PENHOLD		CAD	103.77	4.94	98.83	FUEL_EXPENSE	Card	POSTED	NULL	146	2025-09-14 16:52:48.101950-06:00
356	quickbooks_csv	357	2019-01-01	Fas Gas RED DEER		CAD	103.50	4.93	98.57	FUEL_EXPENSE	Cash	POSTED	NULL	371	2025-09-14 16:52:48.101950-06:00
368	quickbooks_csv	369	2019-01-04	Fas Gas RED DEER		CAD	20.00	0.95	19.05	FUEL_EXPENSE	Debit	POSTED	NULL	383	2025-09-14 16:52:48.101950-06:00
372	quickbooks_csv	373	2019-01-04	Fas Gas RED DEER		CAD	63.00	3.00	60.00	FUEL_EXPENSE	Debit	POSTED	NULL	387	2025-09-14 16:52:48.101950-06:00
369	quickbooks_csv	370	2019-01-06	Fas Gas RED DEER		CAD	140.80	6.70	134.10	FUEL_EXPENSE	Debit	POSTED	NULL	384	2025-09-14 16:52:48.101950-06:00
252	quickbooks_csv	252	2019-01-10	Fas Gas RED DEER		CAD	87.89	4.19	83.70	FUEL_EXPENSE	Debit	POSTED	NULL	268	2025-09-14 16:52:48.101950-06:00
371	quickbooks_csv	372	2019-01-10	Fas Gas RED DEER		CAD	100.00	4.76	95.24	FUEL_EXPENSE	Card	POSTED	NULL	386	2025-09-14 16:52:48.101950-06:00
379	quickbooks_csv	380	2019-01-11	Fas Gas RED DEER		CAD	50.00	2.38	47.62	FUEL_EXPENSE	Debit	POSTED	NULL	394	2025-09-14 16:52:48.101950-06:00
362	quickbooks_csv	363	2019-01-13	Fas Gas RED DEER		CAD	51.00	2.43	48.57	FUEL_EXPENSE	Cash	POSTED	NULL	377	2025-09-14 16:52:48.101950-06:00
251	quickbooks_csv	251	2019-01-16	Fas Gas RED DEER		CAD	36.00	1.71	34.29	FUEL_EXPENSE	Card	POSTED	NULL	267	2025-09-14 16:52:48.101950-06:00
238	quickbooks_csv	238	2019-01-16	Fas Gas RED DEER		CAD	8.58	0.13	8.45	FUEL_EXPENSE	Debit	POSTED	NULL	254	2025-09-14 16:52:48.101950-06:00
387	quickbooks_csv	388	2019-01-18	Fas Gas RED DEER		CAD	100.00	4.76	95.24	FUEL_EXPENSE	Cash	POSTED	NULL	402	2025-09-14 16:52:48.101950-06:00
364	quickbooks_csv	365	2019-01-19	Fas Gas RED DEER		CAD	76.00	3.62	72.38	FUEL_EXPENSE	Debit	POSTED	NULL	379	2025-09-14 16:52:48.101950-06:00
386	quickbooks_csv	387	2019-01-19	Fas Gas RED DEER		CAD	50.00	2.38	47.62	FUEL_EXPENSE	NULL	POSTED	NULL	401	2025-09-14 16:52:48.101950-06:00
365	quickbooks_csv	366	2019-01-19	Fas Gas RED DEER		CAD	23.35	0.58	22.77	FUEL_EXPENSE	Debit	POSTED	NULL	380	2025-09-14 16:52:48.101950-06:00
236	quickbooks_csv	236	2019-01-19	Fas Gas RED DEER		CAD	20.00	0.95	19.05	FUEL_EXPENSE	Cash	POSTED	NULL	252	2025-09-14 16:52:48.101950-06:00
400	quickbooks_csv	401	2019-01-22	Fas Gas RED DEER		CAD	63.37	3.02	60.35	FUEL_EXPENSE	Debit	POSTED	NULL	415	2025-09-14 16:52:48.101950-06:00
308	quickbooks_csv	309	2019-01-22	Fas Gas RED DEER		CAD	86.00	4.10	81.90	FUEL_EXPENSE	Debit	POSTED	NULL	323	2025-09-14 16:52:48.101950-06:00
382	quickbooks_csv	383	2019-01-23	Fas Gas RED DEER		CAD	100.00	4.76	95.24	FUEL_EXPENSE	Cash	POSTED	NULL	397	2025-09-14 16:52:48.101950-06:00
310	quickbooks_csv	311	2019-01-23	Fas Gas RED DEER		CAD	200.00	9.52	190.48	FUEL_EXPENSE	Debit	POSTED	NULL	325	2025-09-14 16:52:48.101950-06:00
378	quickbooks_csv	379	2019-01-25	Fas Gas RED DEER		CAD	48.60	2.31	46.29	FUEL_EXPENSE	Debit	POSTED	NULL	393	2025-09-14 16:52:48.101950-06:00
376	quickbooks_csv	377	2019-01-26	Fas Gas RED DEER		CAD	94.33	4.49	89.84	FUEL_EXPENSE	Debit	POSTED	NULL	391	2025-09-14 16:52:48.101950-06:00
377	quickbooks_csv	378	2019-01-26	Fas Gas RED DEER		CAD	30.00	1.43	28.57	FUEL_EXPENSE	Debit	POSTED	NULL	392	2025-09-14 16:52:48.101950-06:00
394	quickbooks_csv	395	2019-02-02	Fas Gas RED DEER		CAD	100.00	4.76	95.24	FUEL_EXPENSE	Cash	POSTED	NULL	409	2025-09-14 16:52:48.101950-06:00
327	quickbooks_csv	328	2019-02-08	Fas Gas RED DEER		CAD	30.00	1.43	28.57	FUEL_EXPENSE	Debit	POSTED	NULL	342	2025-09-14 16:52:48.101950-06:00
326	quickbooks_csv	327	2019-02-08	Fas Gas RED DEER		CAD	50.00	2.38	47.62	FUEL_EXPENSE	Debit	POSTED	NULL	341	2025-09-14 16:52:48.101950-06:00
389	quickbooks_csv	390	2019-02-10	Fas Gas RED DEER		CAD	57.40	2.73	54.67	FUEL_EXPENSE	Cash	POSTED	NULL	404	2025-09-14 16:52:48.101950-06:00
359	quickbooks_csv	360	2019-02-15	Fas Gas RED DEER		CAD	30.00	1.43	28.57	FUEL_EXPENSE	Cash	POSTED	NULL	374	2025-09-14 16:52:48.101950-06:00
405	quickbooks_csv	406	2019-02-20	Fas Gas RED DEER		CAD	20.00	0.95	19.05	FUEL_EXPENSE	Cash	POSTED	NULL	420	2025-09-14 16:52:48.101950-06:00
404	quickbooks_csv	405	2019-02-22	Fas Gas RED DEER		CAD	40.00	1.90	38.10	FUEL_EXPENSE	Cash	POSTED	NULL	419	2025-09-14 16:52:48.101950-06:00
71	quickbooks_csv	71	2019-02-26	Fas Gas RED DEER		CAD	30.00	1.43	28.57	FUEL_EXPENSE	Card	POSTED	NULL	87	2025-09-14 16:52:48.101950-06:00
228	quickbooks_csv	228	2019-02-26	Fas Gas RED DEER		CAD	2.95	0.14	2.81	FUEL_EXPENSE	Card	POSTED	NULL	244	2025-09-14 16:52:48.101950-06:00
241	quickbooks_csv	241	2019-02-28	Fas Gas RED DEER		CAD	47.00	2.24	44.76	FUEL_EXPENSE	Cash	POSTED	NULL	257	2025-09-14 16:52:48.101950-06:00
14	quickbooks_csv	14	2019-03-05	Fas Gas RED DEER		CAD	54.45	2.59	51.86	FUEL_EXPENSE	Cash	POSTED	NULL	30	2025-09-14 16:52:48.101950-06:00
96	quickbooks_csv	96	2019-03-07	Fas Gas RED DEER		CAD	52.50	2.50	50.00	FUEL_EXPENSE	Debit	POSTED	NULL	112	2025-09-14 16:52:48.101950-06:00
94	quickbooks_csv	94	2019-03-07	Fas Gas RED DEER		CAD	68.60	3.27	65.33	FUEL_EXPENSE	Debit	POSTED	NULL	110	2025-09-14 16:52:48.101950-06:00
210	quickbooks_csv	210	2019-03-07	Fas Gas RED DEER		CAD	52.50	2.50	50.00	FUEL_EXPENSE	Card	POSTED	NULL	226	2025-09-14 16:52:48.101950-06:00
