source_file,transaction_date,type,num,name,memo,account,debit,credit,amount
journal 2025.CSV,2012-01-04,Cheque,cash,Totem Building Supplies,,1090 · Bank Shareholder,0.00,19.93,-19.93
journal 2025.CSV,2012-01-04,Cheque,cash,Totem Building Supplies,,1090 · Bank Shareholder,0.00,38.84,-38.84
journal 2025.CSV,2012-01-04,Cheque,dd,Run'n On Empty.,,1000 · CIBC Bank 1615,0.00,48.00,-48.00
journal 2025.CSV,2012-01-04,Cheque,cash,Centex,,1090 · Bank Shareholder,0.00,43.50,-43.50
journal 2025.CSV,2012-01-04,Cheque,dd,Centex,,1000 · CIBC Bank 1615,0.00,225.01,-225.01
journal 2025.CSV,2012-01-04,Bill Pmt -Cheque,dd,Erles Auto Repair,,1000 · CIBC Bank 1615,0.00,553.89,-553.89
journal 2025.CSV,2012-01-04,Bill,2627,Erles Auto Repair,,2000 · Accounts Payable,0.00,553.89,-553.89
journal 2025.CSV,2012-01-05,Cheque,204,Paul Mansell,,1000 · CIBC Bank 1615,0.00,1820.24,-1820.24
journal 2025.CSV,2012-01-05,Bill,2636,Erles Auto Repair,,2000 · Accounts Payable,0.00,1443.24,-1443.24
journal 2025.CSV,2012-01-05,Cheque,cash,Walmart,,1090 · Bank Shareholder,0.00,29.40,-29.40
journal 2025.CSV,2012-01-05,Cheque,cash,Canadian Tire.,,1090 · Bank Shareholder,0.00,7.54,-7.54
journal 2025.CSV,2012-01-05,Bill,2629,Erles Auto Repair,,2000 · Accounts Payable,0.00,396.39,-396.39
journal 2025.CSV,2012-01-05,Cheque,dd,Walmart,,1000 · CIBC Bank 1615,0.00,87.04,-87.04
journal 2025.CSV,2012-01-06,Cheque,dd,LFG Business PAD,,1000 · CIBC Bank 1615,0.00,101.14,-101.14
journal 2025.CSV,2012-01-06,Cheque,dd,Gregg Distributors Ltd.,,1000 · CIBC Bank 1615,0.00,55.36,-55.36
journal 2025.CSV,2012-01-06,Bill,2644,Erles Auto Repair,,2000 · Accounts Payable,0.00,508.69,-508.69
journal 2025.CSV,2012-01-06,Bill Pmt -Cheque,dd,Erles Auto Repair,,1000 · CIBC Bank 1615,0.00,905.08,-905.08
journal 2025.CSV,2012-01-06,Cheque,dd,Centex,,1000 · CIBC Bank 1615,0.00,36.00,-36.00
journal 2025.CSV,2012-01-06,Cheque,cash,Mr Suds,,1090 · Bank Shareholder,0.00,6.65,-6.65
journal 2025.CSV,2012-01-06,Bill,MISSING,Vibe Car Auto,,2000 · Accounts Payable,0.00,262.50,-262.50
journal 2025.CSV,2012-01-06,Bill,019440,Vibe Car Auto,,2000 · Accounts Payable,0.00,152.25,-152.25
journal 2025.CSV,2012-01-06,Cheque,cash,Global Liquor Store,,1090 · Bank Shareholder,0.00,26.64,-26.64
journal 2025.CSV,2012-01-06,Cheque,dd,Heffner Lexus Toyota,,1000 · CIBC Bank 1615,0.00,2525.25,-2525.25
journal 2025.CSV,2012-01-06,Bill,RD046464,Kirk's Tire (Red Deer) Ltd.,,2000 · Accounts Payable,0.00,756.00,-756.00
journal 2025.CSV,2012-01-06,Cheque,dd,Heffner Lexus Toyota,,1000 · CIBC Bank 1615,0.00,1475.25,-1475.25
journal 2025.CSV,2012-01-06,Cheque,w/d,Paul Richard (v),,1000 · CIBC Bank 1615,0.00,1000.00,-1000.00
journal 2025.CSV,2012-01-06,Cheque,dd,Centex,,1000 · CIBC Bank 1615,0.00,66.49,-66.49
journal 2025.CSV,2012-01-06,Cheque,dd,Centex,,1000 · CIBC Bank 1615,0.00,71.20,-71.20
journal 2025.CSV,2012-01-07,Cheque,dd8147,Liquor Depot,,1090 · Bank Shareholder,0.00,51.92,-51.92
journal 2025.CSV,2012-01-07,Cheque,cash,Mohawk,,1090 · Bank Shareholder,0.00,6.97,-6.97
journal 2025.CSV,2012-01-07,Cheque,dd1146,Liquor Depot,,1090 · Bank Shareholder,0.00,85.88,-85.88
journal 2025.CSV,2012-01-08,Cheque,cash,Wendy's,,1090 · Bank Shareholder,0.00,17.37,-17.37
journal 2025.CSV,2012-01-08,Cheque,cash,Walmart,,1090 · Bank Shareholder,0.00,11.18,-11.18
journal 2025.CSV,2012-01-08,Cheque,cash,Centex,,1090 · Bank Shareholder,0.00,64.00,-64.00
journal 2025.CSV,2012-01-08,Credit Card Charge,2345,Manning Motor Inn,,2300 · Capital One Mastercard 9853,0.00,102.46,-102.46
journal 2025.CSV,2012-01-08,Cheque,cash,Run'n On Empty.,,1090 · Bank Shareholder,0.00,11.96,-11.96
journal 2025.CSV,2012-01-09,Cheque,205,Jeannie Shillington,,1000 · CIBC Bank 1615,0.00,3234.66,-3234.66
journal 2025.CSV,2012-01-09,Cheque,206,"Soley, Jeannette",,1000 · CIBC Bank 1615,0.00,1690.68,-1690.68
journal 2025.CSV,2012-01-09,Cheque,dd,LFG Business PAD,,1000 · CIBC Bank 1615,0.00,202.27,-202.27
journal 2025.CSV,2012-01-10,Cheque,cash,City of Red Deer,,1090 · Bank Shareholder,0.00,41.65,-41.65
journal 2025.CSV,2012-01-10,Cheque,cash,Canadian Tire.,,1090 · Bank Shareholder,0.00,78.27,-78.27
journal 2025.CSV,2012-01-10,Cheque,cash,A Buck or Two,,1090 · Bank Shareholder,0.00,12.60,-12.60
journal 2025.CSV,2012-01-11,Cheque,w/d,Paul Richard (v),,1000 · CIBC Bank 1615,0.00,60.00,-60.00
journal 2025.CSV,2012-01-12,Cheque,cash,Mohawk,,1090 · Bank Shareholder,0.00,68.54,-68.54
journal 2025.CSV,2012-01-12,Cheque,cash,Jumbo Car Wash,,1090 · Bank Shareholder,0.00,4.80,-4.80
journal 2025.CSV,2012-01-12,Cheque,dd,Koryo Korean BBQ,,1000 · CIBC Bank 1615,0.00,19.50,-19.50
journal 2025.CSV,2012-01-12,Cheque,w/d,Paul Richard (v),,1000 · CIBC Bank 1615,0.00,1000.00,-1000.00
journal 2025.CSV,2012-01-12,Cheque,dd,Centex,,1000 · CIBC Bank 1615,0.00,65.51,-65.51
journal 2025.CSV,2012-01-12,Cheque,dd,Hertz,,1000 · CIBC Bank 1615,0.00,134.40,-134.40
journal 2025.CSV,2012-01-12,Cheque,dd,Passport Canada,,1000 · CIBC Bank 1615,0.00,348.00,-348.00
journal 2025.CSV,2012-01-13,Cheque,cash,Dollarama,,1090 · Bank Shareholder,0.00,57.32,-57.32
journal 2025.CSV,2012-01-13,Cheque,cash,Global Liquor Store,,1090 · Bank Shareholder,0.00,75.56,-75.56
journal 2025.CSV,2012-01-13,Cheque,dd,Mr Suds,,1000 · CIBC Bank 1615,0.00,8.55,-8.55
journal 2025.CSV,2012-01-13,Cheque,dd,Petro Canada,,1000 · CIBC Bank 1615,0.00,99.94,-99.94
journal 2025.CSV,2012-01-13,Cheque,dd5447,Purolator Courier,,1090 · Bank Shareholder,0.00,66.52,-66.52
journal 2025.CSV,2012-01-13,Cheque,cash,Global Liquor Store,,1090 · Bank Shareholder,0.00,102.97,-102.97
journal 2025.CSV,2012-01-14,Cheque,cash,Global Liquor Store,,1090 · Bank Shareholder,0.00,76.15,-76.15
journal 2025.CSV,2012-01-14,Cheque,cash,Global Liquor Store,,1090 · Bank Shareholder,0.00,69.28,-69.28
journal 2025.CSV,2012-01-14,Cheque,cash,Wholesale Club.,,1090 · Bank Shareholder,0.00,4.82,-4.82
journal 2025.CSV,2012-01-14,Cheque,cash,Mohawk,,1090 · Bank Shareholder,0.00,5.24,-5.24
journal 2025.CSV,2012-01-14,Cheque,cash,Mohawk,,1090 · Bank Shareholder,0.00,6.49,-6.49
journal 2025.CSV,2012-01-14,Cheque,cash,Fas Gas Plus,,1090 · Bank Shareholder,0.00,60.00,-60.00
journal 2025.CSV,2012-01-14,Cheque,cash,Liquor Depot,,1090 · Bank Shareholder,0.00,26.34,-26.34
journal 2025.CSV,2012-01-14,Cheque,cash,Mohawk,,1090 · Bank Shareholder,0.00,41.01,-41.01
journal 2025.CSV,2012-01-14,Cheque,cash,Esso,,1090 · Bank Shareholder,0.00,50.12,-50.12
journal 2025.CSV,2012-01-14,Cheque,cash,Global Liquor Store,,1090 · Bank Shareholder,0.00,116.75,-116.75
journal 2025.CSV,2012-01-15,Cheque,cash,Centex,,1090 · Bank Shareholder,0.00,73.40,-73.40
journal 2025.CSV,2012-01-15,Cheque,cash,Centex,,1090 · Bank Shareholder,0.00,44.00,-44.00
journal 2025.CSV,2012-01-15,Cheque,cash,Shell Canada Products,,1090 · Bank Shareholder,0.00,79.51,-79.51
journal 2025.CSV,2012-01-15,Cheque,cash,Esso,,1090 · Bank Shareholder,0.00,81.52,-81.52
journal 2025.CSV,2012-01-15,Credit,633623,Welcome Wagon,,2000 · Accounts Payable,64.00,0.00,64.00
journal 2025.CSV,2012-01-16,Cheque,Visa1666,Calgary Parking Authority.,,1090 · Bank Shareholder,0.00,40.24,-40.24
journal 2025.CSV,2012-01-16,Cheque,dd,Bank Charges & Interest,,1000 · CIBC Bank 1615,0.00,170.00,-170.00
journal 2025.CSV,2012-01-16,Cheque,cash,Husky,,1090 · Bank Shareholder,0.00,20.00,-20.00
journal 2025.CSV,2012-01-16,Cheque,dd,Receiver General,861556827 RT0001,1000 · CIBC Bank 1615,0.00,3494.63,-3494.63
journal 2025.CSV,2012-01-16,Cheque,dd,Hertz,,1000 · CIBC Bank 1615,0.00,134.40,-134.40
journal 2025.CSV,2012-01-16,Cheque,cash,Mac's,,1090 · Bank Shareholder,0.00,6.92,-6.92
journal 2025.CSV,2012-01-16,Cheque,dd,Optimum West Insurance - Residential,,1000 · CIBC Bank 1615,0.00,83.46,-83.46
journal 2025.CSV,2012-01-16,Cheque,dd,Centex,,1000 · CIBC Bank 1615,0.00,23.50,-23.50
journal 2025.CSV,2012-01-16,Cheque,dd,Centex,,1000 · CIBC Bank 1615,0.00,91.00,-91.00
journal 2025.CSV,2012-01-17,Bill,2197864973 011712,Telus Communications,,2000 · Accounts Payable,0.00,133.83,-133.83
journal 2025.CSV,2012-01-17,Bill,2159581494 011712,Telus Communications,Missing Bill,2000 · Accounts Payable,0.00,5652.75,-5652.75
journal 2025.CSV,2012-01-18,Cheque,dd,Centex,,1000 · CIBC Bank 1615,0.00,45.56,-45.56
journal 2025.CSV,2012-01-18,Cheque,dd,Cineplex,,1000 · CIBC Bank 1615,0.00,50.43,-50.43
journal 2025.CSV,2012-01-18,Cheque,w/d,Paul Richard (v),,1000 · CIBC Bank 1615,0.00,100.00,-100.00
journal 2025.CSV,2012-01-18,Cheque,dd,The Phone Experts,,1000 · CIBC Bank 1615,0.00,287.68,-287.68
journal 2025.CSV,2012-01-18,Cheque,dd,The Phone Experts,,1000 · CIBC Bank 1615,0.00,800.00,-800.00
journal 2025.CSV,2012-01-18,Cheque,dd,Centex,,1000 · CIBC Bank 1615,0.00,51.04,-51.04
journal 2025.CSV,2012-01-19,Bill,484000872 011912,Rogers,,2000 · Accounts Payable,0.00,442.58,-442.58
journal 2025.CSV,2012-01-19,Cheque,dd,Centex,,1000 · CIBC Bank 1615,0.00,47.00,-47.00
journal 2025.CSV,2012-01-19,Cheque,cash,Greyhound,,1090 · Bank Shareholder,0.00,19.10,-19.10
journal 2025.CSV,2012-01-20,Cheque,dd,Centex,,1000 · CIBC Bank 1615,0.00,75.00,-75.00
journal 2025.CSV,2012-01-20,Cheque,cash,Red Deer Registries,,1090 · Bank Shareholder,0.00,24.45,-24.45
journal 2025.CSV,2012-01-20,Credit Card Charge,2344,Finance Charges,,2300 · Capital One Mastercard 9853,0.00,37.90,-37.90
journal 2025.CSV,2012-01-20,Cheque,dd,Global Merchant Fees,,1000 · CIBC Bank 1615,0.00,21.62,-21.62
journal 2025.CSV,2012-01-20,Cheque,cash,Centex,,1090 · Bank Shareholder,0.00,165.00,-165.00
journal 2025.CSV,2012-01-20,Cheque,cash,Centex,,1090 · Bank Shareholder,0.00,48.99,-48.99
journal 2025.CSV,2012-01-20,Bill Pmt -Cheque,dd,Rogers,4-8400-0872,1000 · CIBC Bank 1615,0.00,891.72,-891.72
journal 2025.CSV,2012-01-20,Credit Card Charge,2346,Capital One Member Fee,,2300 · Capital One Mastercard 9853,0.00,59.00,-59.00
journal 2025.CSV,2012-01-20,Cheque,cash,Save On Foods,,1090 · Bank Shareholder,0.00,6.46,-6.46
journal 2025.CSV,2012-01-21,Cheque,dd,Capri Liquor Store,,1090 · Bank Shareholder,0.00,11.49,-11.49
journal 2025.CSV,2012-01-21,Cheque,cash,Centex,,1090 · Bank Shareholder,0.00,6.18,-6.18
journal 2025.CSV,2012-01-21,Cheque,cash,Capri Liquor Store,,1090 · Bank Shareholder,0.00,16.99,-16.99
journal 2025.CSV,2012-01-21,Cheque,cash,Centex,,1090 · Bank Shareholder,0.00,48.99,-48.99
journal 2025.CSV,2012-01-21,Cheque,dd,A Buck or Two,,1000 · CIBC Bank 1615,0.00,75.60,-75.60
journal 2025.CSV,2012-01-21,Cheque,cash,Edmonton Airports,,1090 · Bank Shareholder,0.00,30.00,-30.00
journal 2025.CSV,2012-01-22,Cheque,cash,Esso,,1090 · Bank Shareholder,0.00,48.99,-48.99
journal 2025.CSV,2012-01-22,Cheque,dd,Centex,,1000 · CIBC Bank 1615,0.00,46.32,-46.32
journal 2025.CSV,2012-01-23,Cheque,cash,Mr Suds,,1090 · Bank Shareholder,0.00,6.40,-6.40
journal 2025.CSV,2012-01-23,Bill,MISSING,Korax Inc.,,2000 · Accounts Payable,0.00,314.37,-314.37
journal 2025.CSV,2012-01-23,Cheque,w/d,Paul Richard (v),,1000 · CIBC Bank 1615,0.00,100.00,-100.00
journal 2025.CSV,2012-01-23,Cheque,cash,Mr Suds,,1090 · Bank Shareholder,0.00,11.40,-11.40
journal 2025.CSV,2012-01-24,Bill Pmt -Cheque,cash,Parr's Automotive,,1090 · Bank Shareholder,0.00,500.00,-500.00
journal 2025.CSV,2012-01-24,Cheque,cash,Centex,,1090 · Bank Shareholder,0.00,52.03,-52.03
journal 2025.CSV,2012-01-24,Cheque,cash,Shell Canada Products,,1090 · Bank Shareholder,0.00,62.32,-62.32
journal 2025.CSV,2012-01-24,Bill Pmt -Cheque,cash,Fibrenew,,1090 · Bank Shareholder,0.00,1050.00,-1050.00
journal 2025.CSV,2012-01-24,Cheque,cash,Centex,,1090 · Bank Shareholder,0.00,16.84,-16.84
journal 2025.CSV,2012-01-24,Bill,5692,Parr's Automotive,,2000 · Accounts Payable,0.00,564.86,-564.86
journal 2025.CSV,2012-01-24,Cheque,dd,Jevco Insurance,,1000 · CIBC Bank 1615,0.00,268.92,-268.92
journal 2025.CSV,2012-01-24,Cheque,dd,IFS Premium Finance,,1000 · CIBC Bank 1615,0.00,1271.47,-1271.47
journal 2025.CSV,2012-01-24,Bill,4318,Fibrenew,,2000 · Accounts Payable,0.00,1050.00,-1050.00
journal 2025.CSV,2012-01-24,Cheque,dd,The Co-operators,,1000 · CIBC Bank 1615,0.00,110.42,-110.42
journal 2025.CSV,2012-01-25,Cheque,cash,Jumbo Car Wash,,1090 · Bank Shareholder,0.00,11.20,-11.20
journal 2025.CSV,2012-01-25,Cheque,cash,Centex,,1090 · Bank Shareholder,0.00,46.50,-46.50
journal 2025.CSV,2012-01-25,Cheque,dd,Save On Foods,,1000 · CIBC Bank 1615,0.00,114.47,-114.47
journal 2025.CSV,2012-01-25,Cheque,cash,Mr Lube,,1090 · Bank Shareholder,0.00,61.40,-61.40
journal 2025.CSV,2012-01-25,Cheque,cash,Fas Gas Plus,,1090 · Bank Shareholder,0.00,46.26,-46.26
journal 2025.CSV,2012-01-26,Cheque,cash,Mongolie Grill,,1090 · Bank Shareholder,0.00,48.79,-48.79
journal 2025.CSV,2012-01-26,Cheque,dd,Heffner Lexus Toyota,,1000 · CIBC Bank 1615,0.00,2525.25,-2525.25
journal 2025.CSV,2012-01-26,Cheque,dd,Bank Charges & Interest,,1000 · CIBC Bank 1615,0.00,85.00,-85.00
journal 2025.CSV,2012-01-26,Cheque,dd0658,Co-op,,1090 · Bank Shareholder,0.00,23.86,-23.86
journal 2025.CSV,2012-01-27,Cheque,cash,Centex,,1090 · Bank Shareholder,0.00,3.09,-3.09
journal 2025.CSV,2012-01-27,Cheque,cash,Global Liquor Store,,1090 · Bank Shareholder,0.00,72.49,-72.49
journal 2025.CSV,2012-01-28,Cheque,cash,Centex,,1090 · Bank Shareholder,0.00,72.18,-72.18
journal 2025.CSV,2012-01-28,Cheque,cash,Centex,,1090 · Bank Shareholder,0.00,45.84,-45.84
journal 2025.CSV,2012-01-28,Cheque,cash,Centex,,1090 · Bank Shareholder,0.00,39.98,-39.98
journal 2025.CSV,2012-01-28,Cheque,cash,Centex,,1090 · Bank Shareholder,0.00,16.84,-16.84
journal 2025.CSV,2012-01-28,Bill Pmt -Cheque,cash,Fibrenew,,1090 · Bank Shareholder,0.00,1268.48,-1268.48
journal 2025.CSV,2012-01-28,Cheque,cash,Mr Suds,,1090 · Bank Shareholder,0.00,11.20,-11.20
journal 2025.CSV,2012-01-30,Cheque,dd,AMEX,,1000 · CIBC Bank 1615,0.00,4.95,-4.95
journal 2025.CSV,2012-01-30,Cheque,cash,Mohawk,,1090 · Bank Shareholder,0.00,41.00,-41.00
journal 2025.CSV,2012-01-30,Cheque,cash,Esso,,1090 · Bank Shareholder,0.00,20.12,-20.12
journal 2025.CSV,2012-01-31,Bill Pmt -Cheque,dd,Erles Auto Repair,,1000 · CIBC Bank 1615,0.00,1443.24,-1443.24
journal 2025.CSV,2012-01-31,Cheque,Tsf,Paul Richard (v),,1000 · CIBC Bank 1615,0.00,1800.00,-1800.00
journal 2025.CSV,2012-01-31,Cheque,dd,Bank Charges & Interest,,1000 · CIBC Bank 1615,0.00,41.50,-41.50
journal 2025.CSV,2012-01-31,Bill,743,Full Spectrum,,2000 · Accounts Payable,0.00,1170.75,-1170.75
journal 2025.CSV,2012-01-31,Bill Pmt -Cheque,dd,Full Spectrum,,1000 · CIBC Bank 1615,0.00,1170.75,-1170.75
journal 2025.CSV,2012-01-31,Cheque,cash,City of Red Deer,,1090 · Bank Shareholder,0.00,200.00,-200.00
journal 2025.CSV,2012-01-31,Cheque,cash,City of Red Deer,,1090 · Bank Shareholder,0.00,315.00,-315.00
journal 2025.CSV,2012-01-31,General Journal,40,,Parking,6826 · Parking & Misc. Ticket Expenses,28.58,0.00,28.58
journal 2025.CSV,2012-01-31,Deposit,1697,,Deposit,1000 · CIBC Bank 1615,35244.36,0.00,35244.36
journal 2025.CSV,2012-01-31,Cheque,cash,City of Red Deer,,1090 · Bank Shareholder,0.00,165.00,-165.00
journal 2025.CSV,2012-02-01,Cheque,dd,Bank Charges & Interest,,1000 · CIBC Bank 1615,0.00,42.50,-42.50
journal 2025.CSV,2012-02-01,Cheque,cash,Esso,,1090 · Bank Shareholder,0.00,17.00,-17.00
journal 2025.CSV,2012-02-01,Cheque,cash,George's Pizza,,1090 · Bank Shareholder,0.00,17.26,-17.26
journal 2025.CSV,2012-02-01,Cheque,cash,Shell Canada Products,,1090 · Bank Shareholder,0.00,68.00,-68.00
journal 2025.CSV,2012-02-02,Cheque,cash,Centex,,1090 · Bank Shareholder,0.00,9.27,-9.27
journal 2025.CSV,2012-02-02,Cheque,dd2921,Centex,,1090 · Bank Shareholder,0.00,62.04,-62.04
journal 2025.CSV,2012-02-02,Cheque,cash,Centex,,1090 · Bank Shareholder,0.00,9.27,-9.27
journal 2025.CSV,2012-02-02,Cheque,cash,Boston Pizza.,,1090 · Bank Shareholder,0.00,43.68,-43.68
journal 2025.CSV,2012-02-02,Cheque,cash,Boston Pizza.,,1090 · Bank Shareholder,0.00,18.17,-18.17
journal 2025.CSV,2012-02-02,Cheque,cash,Jumbo Car Wash,,1090 · Bank Shareholder,0.00,5.60,-5.60
journal 2025.CSV,2012-02-02,Cheque,dd9053,Centex,,1090 · Bank Shareholder,0.00,46.00,-46.00
journal 2025.CSV,2012-02-02,Bill Pmt -Cheque,209,106.7 The Drive,,1000 · CIBC Bank 1615,0.00,550.00,-550.00
journal 2025.CSV,2012-02-02,Cheque,cash,Norwood Liquor Store,,1090 · Bank Shareholder,0.00,22.50,-22.50
journal 2025.CSV,2012-02-03,Cheque,dd,Centex,,1000 · CIBC Bank 1615,0.00,38.00,-38.00
journal 2025.CSV,2012-02-03,Cheque,cash,Centex,,1090 · Bank Shareholder,0.00,6.32,-6.32
journal 2025.CSV,2012-02-03,Cheque,cash,Mac's,,1090 · Bank Shareholder,0.00,16.22,-16.22
journal 2025.CSV,2012-02-03,Cheque,cash,Copies Now,,1090 · Bank Shareholder,0.00,570.15,-570.15
journal 2025.CSV,2012-02-03,Cheque,cash,Plaza Liquor Store,,1090 · Bank Shareholder,0.00,10.37,-10.37
journal 2025.CSV,2012-02-03,Cheque,dd,Calgary Parking Authority.,,1000 · CIBC Bank 1615,0.00,9.01,-9.01
journal 2025.CSV,2012-02-03,Cheque,dd,Centex,,1000 · CIBC Bank 1615,0.00,55.10,-55.10
journal 2025.CSV,2012-02-03,Cheque,cash,Sobey's Spirits Wine Cold Beer,,1090 · Bank Shareholder,0.00,21.53,-21.53
journal 2025.CSV,2012-02-04,Cheque,cash,Mr Suds,,1090 · Bank Shareholder,0.00,5.70,-5.70
journal 2025.CSV,2012-02-04,Cheque,cash,Jumbo Car Wash,,1090 · Bank Shareholder,0.00,10.00,-10.00
journal 2025.CSV,2012-02-04,Cheque,cash,Capri Liquor Store,,1090 · Bank Shareholder,0.00,9.74,-9.74
journal 2025.CSV,2012-02-04,Cheque,cash,Cold One's Liquor,,1090 · Bank Shareholder,0.00,55.85,-55.85
