FULL RECEIPTS REPORT FOR 2019 (All Columns, Including Nulls)
========================================================================================================================
id	source_system	source_reference	receipt_date	vendor_name	description	currency	gross_amount	gst_amount	net_amount	expense_account	payment_method	validation_status	validation_reason	event_batch_id	source_hash	created_at
183	quickbooks_csv	183	2019-06-15	BENTLEY ESSO		CAD	11.25	0.54	10.71	FUEL_EXPENSE	Cash	POSTED	NULL	199	0d3bf5c2b4c0110479c4df8fc7ed73e874c3e98cfec4257b57da82f98ea170e3	2025-09-14 16:52:48.101950-06:00
198	quickbooks_csv	198	2019-06-15	BENTLEY ESSO		CAD	24.40	1.16	23.24	FUEL_EXPENSE	Cash	POSTED	NULL	214	b715671300404a12632848504e4bc2768415c09d94420d72468a83a3f89c83ba	2025-09-14 16:52:48.101950-06:00
11	quickbooks_csv	11	2019-07-06	BENTLEY ESSO		CAD	16.38	0.78	15.60	FUEL_EXPENSE	Debit	POSTED	NULL	27	6984812092795e252baf7067a2e92e59263e7f6fa3699186ef87ceaa0a0fd435	2025-09-14 16:52:48.101950-06:00
656	quickbooks_csv	657	2019-10-01	BEST BUY		CAD	62.97	3.00	59.97	OTHER_EXPENSE	Debit	POSTED	NULL	671	c8d0a480dfa2de90ecb063a442a2ba8bcc53fb36ccc2fe7a2fd134f56c5c2c82	2025-09-14 16:52:48.101950-06:00
93	quickbooks_csv	93	2019-03-30	BLACKFALDS ESSO		CAD	40.00	1.90	38.10	FUEL_EXPENSE	Cash	POSTED	NULL	109	4ae99e1aa655da709224d6cf80caaef46218e5fb95acffad62a7d658ef04ec4f	2025-09-14 16:52:48.101950-06:00
88	quickbooks_csv	88	2019-03-30	BLACKFALDS ESSO		CAD	60.00	2.86	57.14	FUEL_EXPENSE	Card	POSTED	NULL	104	2220f558bf9d7bae096096ecbcb5cdd168906ecc434782161fcf3d29ca751faa	2025-09-14 16:52:48.101950-06:00
57	quickbooks_csv	57	2019-04-12	BLACKFALDS ESSO		CAD	20.00	0.95	19.05	FUEL_EXPENSE	Debit	POSTED	NULL	73	b234580b052cb46df63161c2b56689c2a1b1b5721372edae17891c2a672ad926	2025-09-14 16:52:48.101950-06:00
110	quickbooks_csv	110	2019-07-13	BLACKFALDS ESSO		CAD	40.00	1.90	38.10	FUEL_EXPENSE	Cash	POSTED	NULL	126	4d5969a7200c64acd2d842e43fc4d69c5af3e6ffe146b2a6deb4bc5f68c884d3	2025-09-14 16:52:48.101950-06:00
218	quickbooks_csv	218	2019-02-23	BURNT LAKE STORE		CAD	7.42	0.35	7.07	OTHER_EXPENSE	Card	POSTED	NULL	234	3ab64998f6ec3327cc10c66bc659e61fbe28d5526c27ea711524f49bcbd7f021	2025-09-14 16:52:48.101950-06:00
211	quickbooks_csv	211	2019-02-23	BURNT LAKE STORE		CAD	58.00	2.76	55.24	OTHER_EXPENSE	Card	POSTED	NULL	227	984b22ffe0751560dd2832d737bacaa9b918ef830797c449a5dc2635a0814a2c	2025-09-14 16:52:48.101950-06:00
321	quickbooks_csv	322	2019-03-18	BURNT LAKE STORE		CAD	60.00	2.86	57.14	OTHER_EXPENSE	Cash	POSTED	NULL	336	8f83601b35a9e379d59e025919ad90a98e55b9a237fe900493fcf29af63184ce	2025-09-14 16:52:48.101950-06:00
36	quickbooks_csv	36	2019-05-04	BURNT LAKE STORE		CAD	64.00	3.05	60.95	OTHER_EXPENSE	Debit	POSTED	NULL	52	cb6084e3375d562138ddc80472fb27a3ac84090a9a7f9bd019683b2c868a392b	2025-09-14 16:52:48.101950-06:00
35	quickbooks_csv	35	2019-05-04	BURNT LAKE STORE		CAD	37.91	1.81	36.10	OTHER_EXPENSE	Debit	POSTED	NULL	51	95c5f7dadf21c12e63b24d3d3787356cc342338936012a9ca81c04f674cf1433	2025-09-14 16:52:48.101950-06:00
128	quickbooks_csv	128	2019-06-01	BURNT LAKE STORE		CAD	34.00	1.62	32.38	OTHER_EXPENSE	Cash	POSTED	NULL	144	a55643af0e85024e3ea5d3facd7f4574b7073e6d1dffd8117f7873f12d54d90c	2025-09-14 16:52:48.101950-06:00
676	quickbooks_csv	677	2019-08-15	BURNT LAKE STORE		CAD	85.40	4.07	81.33	OTHER_EXPENSE	Cash	POSTED	NULL	691	0ef88ae73ddce2d0e72946efb1737cdc9b355ee3e598e3c5ee532fc300096aaa	2025-09-14 16:52:48.101950-06:00
144	quickbooks_csv	144	2019-08-15	BURNT LAKE STORE		CAD	53.90	2.57	51.33	OTHER_EXPENSE	Cash	POSTED	NULL	160	ade4571116df70c93a7c3e4e42f19518b88a91dfda3bc362ecaacf532b0ba4b0	2025-09-14 16:52:48.101950-06:00
380	quickbooks_csv	381	2019-08-15	BURNT LAKE STORE		CAD	100.00	4.76	95.24	OTHER_EXPENSE	Cash	POSTED	NULL	395	66f02e3febc07a2ab52f3ad4cd3dc93f43f431f73426c56b07cb9d77235f5569	2025-09-14 16:52:48.101950-06:00
140	quickbooks_csv	140	2019-08-15	BURNT LAKE STORE		CAD	160.00	7.62	152.38	OTHER_EXPENSE	Cash	POSTED	NULL	156	126dbbc825ab3de15e01866f28661f2f9c13a311a6a8bcf655a8aff42db6139b	2025-09-14 16:52:48.101950-06:00
115	quickbooks_csv	115	2019-08-17	BURNT LAKE STORE		CAD	100.00	4.76	95.24	OTHER_EXPENSE	Card	POSTED	NULL	131	cd370d1864282673cb9ce386c141a93cff94307f130d366f26bd80e2f37e21c6	2025-09-14 16:52:48.101950-06:00
819	quickbooks_csv	820	2019-09-12	BURNT LAKE STORE		CAD	20.00	0.39	19.61	OTHER_EXPENSE	Cash	POSTED	NULL	834	0465ca64e19cee0057efe766ec942bca298c437afb256f6e59f3dc6e9e82746a	2025-09-14 16:52:48.101950-06:00
693	quickbooks_csv	694	2019-09-12	BURNT LAKE STORE		CAD	8.15	0.39	7.76	OTHER_EXPENSE	Cash	POSTED	NULL	708	0cf2312d9dd2a62c7b51603319673239c535812ae17b5bcbfa45bbe8cfa7ce74	2025-09-14 16:52:48.101950-06:00
643	quickbooks_csv	644	2019-12-27	BURNT LAKE STORE		CAD	43.00	2.05	40.95	OTHER_EXPENSE	Cash	POSTED	NULL	658	d27f76e44f3ec0d1ff357a75cd5c3053e64f7c5461f3845d5c4aa0d8e2ab85cd	2025-09-14 16:52:48.101950-06:00
689	quickbooks_csv	690	2019-09-06	CALGARY AIRPORT AUTHOR		CAD	10.50	0.50	10.00	OTHER_EXPENSE	Card	POSTED	NULL	704	e8c5fe1b872a7a3fdb591572cc3cf3453ff09fed5d602dd0701b075a1937bff4	2025-09-14 16:52:48.101950-06:00
608	quickbooks_csv	609	2019-11-15	CALGARY AIRPORT AUTHOR		CAD	5.25	0.25	5.00	OTHER_EXPENSE	Card	POSTED	NULL	623	98496119733dc8319535753a71e4c37da91427ee2bbee7c7215391d85f43c1df	2025-09-14 16:52:48.101950-06:00
609	quickbooks_csv	610	2019-11-17	CALGARY AIRPORT AUTHOR		CAD	15.75	0.75	15.00	OTHER_EXPENSE	Card	POSTED	NULL	624	9ffab559b438cbfc974f4de54cf47d66231e9daca37f3e1da88d74f74195e2d0	2025-09-14 16:52:48.101950-06:00
611	quickbooks_csv	612	2019-11-18	CALGARY AIRPORT AUTHOR		CAD	15.75	0.75	15.00	OTHER_EXPENSE	Card	POSTED	NULL	626	1ef1e2d29fd31e65995b73ad7a52a18fac649ff65a54d4deb0504309e9c9de34	2025-09-14 16:52:48.101950-06:00
607	quickbooks_csv	608	2019-12-25	CALGARY AIRPORT AUTHOR		CAD	10.50	0.50	10.00	OTHER_EXPENSE	Card	POSTED	NULL	622	46568c148ff77ae2113238527fc809a38a4426a141b95a4fa75963ab6817cefe	2025-09-14 16:52:48.101950-06:00
570	quickbooks_csv	571	2019-12-06	CAM CLARK FORD RED DEER		CAD	98.71	4.70	94.01	OTHER_EXPENSE	Card	POSTED	NULL	585	fbe3fb6ed4d175ed50fcc56ceedba45fa838b7ca7e116ea8b6c15fc05f3ab3cb	2025-09-14 16:52:48.101950-06:00
233	quickbooks_csv	233	2019-03-08	CANADIAN TIRE		CAD	40.00	1.90	38.10	MAINTENANCE_EXPENSE	Card	POSTED	NULL	249	35bb255e288c80529a3c6130f69a2207451c6f5ccf5804cffc5de3959b6aeef9	2025-09-14 16:52:48.101950-06:00
278	quickbooks_csv	278	2019-06-17	CANADIAN TIRE		CAD	11.07	0.53	10.54	MAINTENANCE_EXPENSE	Cash	POSTED	NULL	293	34ade485d3c4427f400793ed3a39620d23768686f22e21a9e0d897ad3d7685ca	2025-09-14 16:52:48.101950-06:00
574	quickbooks_csv	575	2019-11-09	CANADIAN TIRE		CAD	79.76	3.80	75.96	MAINTENANCE_EXPENSE	Debit	POSTED	NULL	589	526f1f9ced8ad3044bfa6aded23056aac57392e5cdbd5d73f1bf726fe0dfaa99	2025-09-14 16:52:48.101950-06:00
603	quickbooks_csv	604	2019-11-10	CANADIAN TIRE		CAD	87.38	4.16	83.22	MAINTENANCE_EXPENSE	Debit	POSTED	NULL	618	37efb6b2c873d4992da12b2515cde960899a443a7e6d6081a867577ecfd53ad1	2025-09-14 16:52:48.101950-06:00
304	quickbooks_csv	305	2019-11-24	CANADIAN TIRE		CAD	76.60	3.65	72.95	MAINTENANCE_EXPENSE	Debit	POSTED	NULL	319	c3e94a9df6d656037f89175e8594daf9a722c71f197ce5043ca8d6293623c821	2025-09-14 16:52:48.101950-06:00
699	quickbooks_csv	700	2019-08-31	CANADIAN TIRE CALGARY		CAD	61.50	2.93	58.57	MAINTENANCE_EXPENSE	Cash	POSTED	NULL	714	1c2fc96a5754f50985d03dda4537d4e603ec0b0b596174ab96e0b908ec2bcc14	2025-09-14 16:52:48.101950-06:00
729	quickbooks_csv	730	2019-06-26	CC'S COLD BEER & LIQUOR STORE		CAD	104.87	4.60	100.27	OTHER_EXPENSE	Card	POSTED	NULL	744	004cefb1922622e633b2564c0057513418a83690a6a806c51dd4be090dbb6c09	2025-09-14 16:52:48.101950-06:00
125	quickbooks_csv	125	2019-06-07	CENTEX BEARSPAW		CAD	46.00	2.19	43.81	OTHER_EXPENSE	Cash	POSTED	NULL	141	1c12c55b4af16fa17f10a1d02ba4b7545a5c9af693625420ca7719a38dc693cd	2025-09-14 16:52:48.101950-06:00
121	quickbooks_csv	121	2019-06-07	CENTEX BEARSPAW		CAD	100.00	4.76	95.24	OTHER_EXPENSE	Cash	POSTED	NULL	137	3b57712c6c9199b7956ab199761ea56d4e2d77b9fd3d6ebea95920f0b4e0cdb0	2025-09-14 16:52:48.101950-06:00
42	quickbooks_csv	42	2019-06-15	CENTEX BEARSPAW		CAD	33.66	1.60	32.06	OTHER_EXPENSE	Card	POSTED	NULL	58	3b0b3f8659e2208fe9bb22eb62d05c71d1c7b48d1802896d3298ef2357c7a3e5	2025-09-14 16:52:48.101950-06:00
401	quickbooks_csv	402	2019-02-23	CENTRAI ALBERTA CO-OP GAS BAR		CAD	10.00	0.48	9.52	FUEL_EXPENSE	Cash	POSTED	NULL	416	9cc13840f75b82e05e5132d89d31a9a8ab33152a1a4dd5b8919ddb30115a5fe3	2025-09-14 16:52:48.101950-06:00
724	quickbooks_csv	725	2019-05-29	CENTRAI ALBERTA CO-OP GAS BAR		CAD	10.07	0.47	9.60	FUEL_EXPENSE	Cash	POSTED	NULL	739	e8af881e9701fcc70e5fb8d5ac722c74f08444e2eef435795c14fbc0528068b7	2025-09-14 16:52:48.101950-06:00
694	quickbooks_csv	695	2019-09-07	CENTRAL AB CO-OP		CAD	16.30	0.76	15.54	OTHER_EXPENSE	Cash	POSTED	NULL	709	031f437fa8c2685c705a96426b576b69d040b1ee4a999d3438163de943fb7763	2025-09-14 16:52:48.101950-06:00
232	quickbooks_csv	232	2019-04-24	CENTRAL AB CO-OP 69 DUNLOP ST		CAD	78.02	3.72	74.30	OTHER_EXPENSE	Card	POSTED	NULL	248	f1817755a3df1b64efbcc50d93227a80b591e24d1929da90d3bc8bc024995b42	2025-09-14 16:52:48.101950-06:00
476	quickbooks_csv	477	2019-03-27	CENTRAL AB CO-OP TAYLOF IUOR		CAD	58.49	2.37	56.12	OTHER_EXPENSE	Cash	POSTED	NULL	491	e4e1e9a88731b369cf6c9623963e52627eb209ba7422b471d5c9a14c7169d642	2025-09-14 16:52:48.101950-06:00
197	quickbooks_csv	197	2019-06-29	CENTRAL ALBERTA CO-OP LACOMBE		CAD	10.59	0.45	10.14	OTHER_EXPENSE	Card	POSTED	NULL	213	e3232041644b30e2ece38a7b68dd51eb88bc9e825a49d3b675233d44f66226c2	2025-09-14 16:52:48.101950-06:00
302	quickbooks_csv	302	2019-06-10	CENTRAL ALBERTA CO-OP RD HGC		CAD	11.01	0.52	10.49	OTHER_EXPENSE	Cash	POSTED	NULL	317	18a9152f14d6d24f613bf76872d65c3e7c7d2196b4ae61b50d56558677b4b405	2025-09-14 16:52:48.101950-06:00
673	quickbooks_csv	674	2019-08-08	CENTRAL ALBERTA CO-OP RD HGC		CAD	6.60	0.31	6.29	OTHER_EXPENSE	Cash	POSTED	NULL	688	a77f2e41e940a445d0cd39ba21a1dc543f01e6a221622a3092f9517d365ec041	2025-09-14 16:52:48.101950-06:00
262	quickbooks_csv	262	2019-08-08	CENTRAL ALBERTA CO-OP RD HGC		CAD	6.60	0.31	6.29	OTHER_EXPENSE	Cash	POSTED	NULL	278	2adeb30a2b2376a930df20dbfc475c93ad662365234cb9b560a9cc50ef01bc8d	2025-09-14 16:52:48.101950-06:00
323	quickbooks_csv	324	2019-03-12	CENTRAL ALBERTA COOP 4303 50TH STREET INNISFAIL ALBERTA T4G		CAD	126.00	6.00	120.00	TRAVEL_LODGING	Card	POSTED	NULL	338	688314209498c50dd73b3576a9b14a2b49500ec1cfaa1295fd2465f1f91e7229	2025-09-14 16:52:48.101950-06:00
331	quickbooks_csv	332	2019-03-16	CENTRAL ALBERTA COOP TIMBERLANDS GAS BAR		CAD	67.00	3.19	63.81	FUEL_EXPENSE	Cash	POSTED	NULL	346	d8ffac60e2f46bc9531efd5892d5ba04d1bc60eef965b3ffe8d2aa1c643b932e	2025-09-14 16:52:48.101950-06:00
332	quickbooks_csv	333	2019-03-19	CENTRAL ALBERTA COOP TIMBERLANDS GAS BAR		CAD	80.00	3.81	76.19	FUEL_EXPENSE	Cash	POSTED	NULL	347	04c4acdfcaa83dd83d39a2d7284b6f4f953ef20211d2201132f93cf3dcc10653	2025-09-14 16:52:48.101950-06:00
301	quickbooks_csv	301	2019-07-13	CENTRAL ALBERTA COOP TIMBERLANDS GAS BAR		CAD	30.00	1.43	28.57	FUEL_EXPENSE	Cash	POSTED	NULL	316	156937b45c991c826e8c9c499f2593a07387b45657abc0a9dd7843f81ef39e3c	2025-09-14 16:52:48.101950-06:00
546	quickbooks_csv	547	2019-12-14	CENTRAL ALBERTA COOP TIMBERLANDS GAS BAR		CAD	10.00	0.48	9.52	FUEL_EXPENSE	Cash	POSTED	NULL	561	f861cc2b8a4e55b77556a3a5edcadb5a3e81bdc666202a2a0401afff99e17c10	2025-09-14 16:52:48.101950-06:00
54	quickbooks_csv	54	2019-03-09	CHEVRON CALGARY TR.		CAD	3.60	0.17	3.43	OTHER_EXPENSE	Cash	POSTED	NULL	70	168bd60f47b2da83721129a6781fef81e232b6145bcba827c275dae7db60fdaa	2025-09-14 16:52:48.101950-06:00
484	quickbooks_csv	485	2019-03-09	CIRCLE K		CAD	9.85	0.26	9.59	OTHER_EXPENSE	Cash	POSTED	NULL	499	7bc6631e55fd09544a04bce0497ba23ed609387eb265b2b43c62afe545bbb155	2025-09-14 16:52:48.101950-06:00
805	quickbooks_csv	806	2019-08-31	CIRCLE K		CAD	3.90	0.19	3.71	OTHER_EXPENSE	Cash	POSTED	NULL	820	9d344e4365f537632da06a41931e624fbb468e304eb48394910f511e3c5f6e1b	2025-09-14 16:52:48.101950-06:00
269	quickbooks_csv	269	2019-04-24	CORONATION RESTAURAUNT		CAD	13.13	0.63	12.50	OTHER_EXPENSE	Cash	POSTED	NULL	284	8d4f7fbf6c62fb1c23f4e0d5672c5be18e700527853fa51e018a3320804b06ef	2025-09-14 16:52:48.101950-06:00
482	quickbooks_csv	483	2019-01-13	CURVY BOTTLE LIQUOR STORE		CAD	13.99	0.66	13.33	OTHER_EXPENSE	Card	POSTED	NULL	497	d9775478454e9caaa0034f9782622119a33763dbe128ff99450a98e017a2c1b2	2025-09-14 16:52:48.101950-06:00
477	quickbooks_csv	478	2019-01-16	CURVY BOTTLE LIQUOR STORE		CAD	34.48	1.37	33.11	OTHER_EXPENSE	Debit	POSTED	NULL	492	e6112fc796ce52444aad04fb45a4bbeda40d03dcd89725f11dd4b5ba181bd2c6	2025-09-14 16:52:48.101950-06:00
480	quickbooks_csv	481	2019-02-16	CURVY BOTTLE LIQUOR STORE		CAD	18.97	0.78	18.19	OTHER_EXPENSE	Cash	POSTED	NULL	495	0e28dbd9ad1f777cd85d61ad7236e0bcf90effe6730ac705ee7b2db58ca35cb9	2025-09-14 16:52:48.101950-06:00
470	quickbooks_csv	471	2019-03-16	CURVY BOTTLE LIQUOR STORE		CAD	92.73	4.05	88.68	OTHER_EXPENSE	Cash	POSTED	NULL	485	c6d7ebb10b56a88569f6ca244181acbfdc9fb4432a1d1769a4a65faceb71c097	2025-09-14 16:52:48.101950-06:00
586	quickbooks_csv	587	2019-03-16	CURVY BOTTLE LIQUOR STORE		CAD	33.99	1.55	32.44	OTHER_EXPENSE	Debit	POSTED	NULL	601	4347c0867501b8f960a7672b22131fecce0a00f201a025d485826164ef143b2d	2025-09-14 16:52:48.101950-06:00
731	quickbooks_csv	732	2019-06-23	CURVY BOTTLE LIQUOR STORE		CAD	57.90	2.70	55.20	OTHER_EXPENSE	Debit	POSTED	NULL	746	00237d2c7ed8e014c0a62053fd8b868ef9f613e9a68c5e20951adfc525da8852	2025-09-14 16:52:48.101950-06:00
474	quickbooks_csv	475	2019-09-14	CURVY BOTTLE LIQUOR STORE		CAD	151.84	6.94	144.90	OTHER_EXPENSE	Cash	POSTED	NULL	489	3ebf469a21d53c88cc49fcb72a5131ff3fe5adad32fc14cf84154de1ab6309ff	2025-09-14 16:52:48.101950-06:00
814	quickbooks_csv	815	2019-11-23	CURVY BOTTLE LIQUOR STORE		CAD	105.95	4.91	101.04	OTHER_EXPENSE	Card	POSTED	NULL	829	f5b24d19fe07b4a5334e01f2cefd4cddf8226d148f6e1eb794f868fe4d512073	2025-09-14 16:52:48.101950-06:00
587	quickbooks_csv	588	2019-11-24	CURVY BOTTLE LIQUOR STORE		CAD	112.95	5.12	107.83	OTHER_EXPENSE	Debit	POSTED	NULL	602	2bf46b64640a44f2bc421c3f3ffd3e71105858eea6572af234aaedb7e41060a4	2025-09-14 16:52:48.101950-06:00
147	quickbooks_csv	147	2019-07-13	DELBURN ESSO		CAD	14.35	0.68	13.67	FUEL_EXPENSE	Cash	POSTED	NULL	163	0a9c804245e8bfeb8dbefc2524477f7610f9c4282abaa10b701fdf8419114648	2025-09-14 16:52:48.101950-06:00
112	quickbooks_csv	112	2019-07-13	DELBURN ESSO		CAD	50.08	2.38	47.70	FUEL_EXPENSE	Card	POSTED	NULL	128	9996db677edef27897d391238d52848529b2fc8f53ee209393c3bd46592e4462	2025-09-14 16:52:48.101950-06:00
716	quickbooks_csv	717	2019-10-04	DENNY' S		CAD	13.83	0.85	12.98	OTHER_EXPENSE	Cash	POSTED	NULL	731	7630430f889c49e5d68fd53cb30f11aac4f24216339b0ed20bb93d7c3e0d0e3b	2025-09-14 16:52:48.101950-06:00
472	quickbooks_csv	473	2019-01-08	DEPOT		CAD	12.30	0.55	11.75	OTHER_EXPENSE	Debit	POSTED	NULL	487	37ffd7f47991239e54387b808ffc147f662d8818f6c9567f869a1218ff6c28b7	2025-09-14 16:52:48.101950-06:00
605	quickbooks_csv	606	2019-12-20	DOLLARAMA		CAD	16.40	0.78	15.62	OTHER_EXPENSE	Card	POSTED	NULL	620	85919545fc78fe7abeb5d152b2200d77bea3913ed90d6efcbf5ff3c96eb86c9b	2025-09-14 16:52:48.101950-06:00
767	quickbooks_csv	768	2019-01-05	DOWNTOWN WINE & LIQUOR		CAD	27.00	1.29	25.71	OTHER_EXPENSE	Cash	POSTED	NULL	782	f6baaf0bffd7a1dfcb562ec8fa636cbb9c9a2e088eb4b80fb71c876e9ea4291d	2025-09-14 16:52:48.101950-06:00
284	quickbooks_csv	284	2019-10-15	DQ		CAD	25.37	1.21	24.16	OTHER_EXPENSE	Cash	POSTED	NULL	299	012cb64cc3d3c0f056dfba8f98693bf058491d63c9038063f1da1bca1422e224	2025-09-14 16:52:48.101950-06:00
606	quickbooks_csv	607	2019-11-08	EDMONTON AIRPORT AUTHORITY		CAD	6.25	0.30	5.95	OTHER_EXPENSE	Card	POSTED	NULL	621	24f0b29f7807481b655104ba88f507f177782dbc9b56af443a95ffafcb96d0a7	2025-09-14 16:52:48.101950-06:00
60	quickbooks_csv	60	2019-04-18	EDMONTON AL -PORTS		CAD	7.75	0.37	7.38	OTHER_EXPENSE	Cash	POSTED	NULL	76	c339665fb2ad02f4ba047ab072aa71e7caf90e7f59aef18e0ebfd3662125f6e6	2025-09-14 16:52:48.101950-06:00
715	quickbooks_csv	716	2019-09-27	ESSO 32ND STREET		CAD	87.51	4.17	83.34	FUEL_EXPENSE	Debit	POSTED	NULL	730	31af299fda396c7942ca92f7b2c6fa3d877cea88a3f7b7c000397518dffbe88c	2025-09-14 16:52:48.101950-06:00
16	quickbooks_csv	16	2019-03-11	ESSO EXPRESS GAS ALLEY		CAD	80.00	3.81	76.19	FUEL_EXPENSE	Cash	POSTED	NULL	32	6ad3e08197464a7c5587f3d2460bafceac2dddbc1792fe7ab5a2bc5ed6c3d9de	2025-09-14 16:52:48.101950-06:00
592	quickbooks_csv	593	2019-11-01	ESSO EXPRESS GAS ALLEY		CAD	43.50	2.07	41.43	FUEL_EXPENSE	NULL	POSTED	NULL	607	a627bc200192b35af6de1deb5c506fbe432dce94461d0ee093ad08d8e895cf70	2025-09-14 16:52:48.101950-06:00
591	quickbooks_csv	592	2019-11-01	ESSO EXPRESS NISKU		CAD	58.00	2.76	55.24	FUEL_EXPENSE	NULL	POSTED	NULL	606	b66c5b99c438eaf1e102aad8f1473faf380f959bc90f38adce9612464b659a2e	2025-09-14 16:52:48.101950-06:00
63	quickbooks_csv	63	2019-04-17	FAS AS WESTPARK		CAD	100.00	4.76	95.24	OTHER_EXPENSE	Debit	POSTED	NULL	79	99d8c761e64e6ffbbab4b384f86cd8667e089bb29488fb20561314f0570ecdcd	2025-09-14 16:52:48.101950-06:00
101	quickbooks_csv	101	2019-04-22	FAS AS WESTPARK		CAD	30.00	1.43	28.57	OTHER_EXPENSE	Card	POSTED	NULL	117	30d387a4956650830c4a89d000c5a57cbe9bee4948bbb6b00c2f07b748c47e2e	2025-09-14 16:52:48.101950-06:00
256	quickbooks_csv	256	2019-04-23	FAS AS WESTPARK		CAD	20.00	0.95	19.05	OTHER_EXPENSE	Card	POSTED	NULL	272	895fb7111b52c40ddb9c10ddd7cb2665efe99a095b5f9cc6e8796efaba9b0bc0	2025-09-14 16:52:48.101950-06:00
521	quickbooks_csv	522	2019-11-09	FAS AS WESTPARK		CAD	43.01	2.50	40.51	OTHER_EXPENSE	Debit	POSTED	NULL	536	fda7507a725c923a1897a7c3e73f69eda3486789bd2b01eb68635c363e795683	2025-09-14 16:52:48.101950-06:00
526	quickbooks_csv	527	2019-11-15	FAS AS WESTPARK		CAD	60.00	2.86	57.14	OTHER_EXPENSE	NULL	POSTED	NULL	541	5eef31c8d730f5bdbbdd12abb46f5fb27d59e5857747b4dafaa1a63b2f541235	2025-09-14 16:52:48.101950-06:00
