Payment ID,Payment Date,Account Number,Reserve Number,Payment Method,Amount,Check Number,Square Transaction ID,Notes,Client Name
30796,2007-02-17,,,cash,200.00,,,[LMS Deposit 0000310]  / Cash,
30799,2007-02-17,,,cash,877.49,,,[LMS Deposit 0000313]  / Credit Card,
30800,2007-02-17,,,cash,65.00,,,[LMS Deposit 0000314]  / Cash,
30801,2007-02-17,,,cash,380.00,,,[LMS Deposit 0000315]  / Credit Card,
30804,2007-02-19,,,cash,195.00,,,[LMS Deposit 0000318]  / Cash,
30805,2007-02-22,,,cash,330.00,,,[LMS Deposit 0000319] 012251 / Credit Card,
30500,2007-02-23,,,cash,165.00,,,[LMS Deposit 0000013]  / Credit Card,
30802,2007-02-23,,,cash,195.00,,,[LMS Deposit 0000316]  / Credit Card,
30803,2007-02-23,,,cash,165.00,,,[LMS Deposit 0000317]  / Cash,
30816,2007-02-23,,,cash,195.00,,,[LMS Deposit 0000330] 023278 / Credit Card,
30818,2007-02-23,,,cash,282.50,,,[LMS Deposit 0000332] 024640 / Credit Card,
30815,2007-02-24,,,cash,165.00,,,[LMS Deposit 0000329]  / Cash,
30817,2007-02-24,,,cash,165.00,,,[LMS Deposit 0000331] 021488 / Credit Card,
30821,2007-02-24,,,cash,390.00,,,[LMS Deposit 0000335]  / Cash,
30822,2007-02-24,,,cash,584.99,,,[LMS Deposit 0000336]  / Cash,
30819,2007-02-26,,,cash,165.00,,,[LMS Deposit 0000333] 096361 / Credit Card,
30820,2007-02-26,,,cash,165.00,,,[LMS Deposit 0000334] 033421 / Credit Card,
30824,2007-02-27,,,cash,390.00,,,[LMS Deposit 0000338]  / Cash,
30825,2007-02-27,,,cash,195.00,,,[LMS Deposit 0000339] 151217 / Credit Card,
30826,2007-02-28,,,cash,195.00,,,[LMS Deposit 0000340] 154828 / Credit Card,
31215,2007-02-28,,,cash,682.49,,,[LMS Deposit 0000732]  / ,
30842,2007-03-01,,,cash,165.00,,,[LMS Deposit 0000356] 091065 / Credit Card,
30922,2007-03-01,,,cash,238.50,,,[LMS Deposit 0000438]  / Cash,
30827,2007-03-03,,,cash,195.00,,,[LMS Deposit 0000341]  / Cash,
30828,2007-03-03,,,cash,495.00,,,[LMS Deposit 0000342]  / Debit Cards,
30829,2007-03-03,,,cash,195.00,,,[LMS Deposit 0000343]  / Cash,
30923,2007-03-05,,,cash,779.99,,,[LMS Deposit 0000439]  / Cash,
30843,2007-03-06,,,cash,165.00,,,[LMS Deposit 0000357] 050264 / Credit Card,
30830,2007-03-07,,,cash,1169.99,,,[LMS Deposit 0000344] 041891 / Credit Card,
30831,2007-03-07,,,cash,195.00,,,[LMS Deposit 0000345] 718393 / Credit Card,
30832,2007-03-07,,,cash,195.00,,,[LMS Deposit 0000346] 212949 / Credit Card,
30833,2007-03-08,,,cash,442.50,,,[LMS Deposit 0000347] 054179 / Credit Card,
30836,2007-03-10,,,cash,970.00,,,[LMS Deposit 0000350] 028960 / Credit Card,
30838,2007-03-10,,,cash,130.00,,,[LMS Deposit 0000352]  / Cash,
30844,2007-03-10,,,cash,585.00,,,[LMS Deposit 0000358] 180138 / Credit Card,
30845,2007-03-10,,,cash,779.99,,,[LMS Deposit 0000359] 066099 / Credit Card,
31216,2007-03-10,,,cash,165.00,,,[LMS Deposit 0000733]  / ,
30846,2007-03-13,,,cash,495.00,,,[LMS Deposit 0000360]  / Cash,
30906,2007-03-14,,,cash,195.00,,,[LMS Deposit 0000422] 067085 / Credit Card,
30909,2007-03-14,,,cash,195.00,,,[LMS Deposit 0000425] 151144 / Credit Card,
30910,2007-03-14,,,cash,165.00,,,[LMS Deposit 0000426] 096719 / Credit Card,
30911,2007-03-15,,,cash,540.00,,,[LMS Deposit 0000427]  / Cash,
30912,2007-03-15,,,cash,390.00,,,[LMS Deposit 0000428]  / Cash,
30913,2007-03-16,,,cash,975.00,,,[LMS Deposit 0000429] 001481 / Credit Card,
30914,2007-03-17,,,cash,330.00,,,[LMS Deposit 0000430]  / Cash,
30924,2007-03-17,,,cash,875.00,,,[LMS Deposit 0000440]  / Cash,
30925,2007-03-20,,,cash,390.00,,,[LMS Deposit 0000441]  / Cash,
30926,2007-03-21,,,cash,195.00,,,[LMS Deposit 0000442]  / Credit Card,
30927,2007-03-23,,,cash,165.00,,,[LMS Deposit 0000443] 110322 / Credit Card,
30916,2007-03-24,,,cash,584.99,,,[LMS Deposit 0000432]  / Cash,
30928,2007-03-24,,,cash,330.00,,,[LMS Deposit 0000444] 142156 / Credit Card,
30930,2007-03-24,,,cash,195.00,,,[LMS Deposit 0000446]  / Credit Card,
30931,2007-03-24,,,cash,584.99,,,[LMS Deposit 0000447]  / Cash,
30834,2007-03-25,,,cash,195.00,,,[LMS Deposit 0000348] 056973 / Credit Card,
30835,2007-03-25,,,cash,195.00,,,[LMS Deposit 0000349]  / Cash,
30918,2007-03-25,,,cash,600.00,,,[LMS Deposit 0000434] 825680 / Credit Card,
30929,2007-03-25,,,cash,330.00,,,[LMS Deposit 0000445]  / ,
30531,2007-03-27,,,cash,195.00,,,[LMS Deposit 0000044] 012241 / Credit Card,
30932,2007-03-28,,,cash,390.00,,,[LMS Deposit 0000448]  / Cash,
30919,2007-03-31,,,cash,390.00,,,[LMS Deposit 0000435]  / Cash,
30920,2007-03-31,,,cash,65.00,,,[LMS Deposit 0000436]  / Cash,
30921,2007-03-31,,,cash,165.00,,,[LMS Deposit 0000437]  / Cash,
30935,2007-04-02,,,cash,195.00,,,[LMS Deposit 0000451]  / Cash,
30498,2007-04-03,,,cash,195.00,,,[LMS Deposit 0000011] 216315 / Credit Card,
30535,2007-04-05,,,cash,240.00,,,[LMS Deposit 0000048]  / Credit Card,
30936,2007-04-05,,,cash,85.00,,,[LMS Deposit 0000452]  / Cash,
30937,2007-04-06,,,cash,85.00,,,[LMS Deposit 0000453]  / Cash,
30938,2007-04-06,,,cash,195.00,,,[LMS Deposit 0000454]  / Cash,
30939,2007-04-06,,,cash,356.60,,,[LMS Deposit 0000455] 108678 / Credit Card,
30940,2007-04-06,,,cash,1169.99,,,[LMS Deposit 0000456]  / Cash,
30941,2007-04-06,,,cash,615.11,,,[LMS Deposit 0000457]  / Cash,
30942,2007-04-06,,,cash,65.00,,,[LMS Deposit 0000458] 212719 / Credit Card,
30943,2007-04-07,,,cash,218.63,,,[LMS Deposit 0000459]  / Cash,
30944,2007-04-07,,,cash,584.99,,,[LMS Deposit 0000460]  / Cash,
30945,2007-04-12,,,cash,780.00,,,[LMS Deposit 0000461] 078913 / Credit Card,
30946,2007-04-12,,,cash,206.70,,,[LMS Deposit 0000462]  / Cash,
30947,2007-04-13,,,cash,165.00,,,[LMS Deposit 0000463]  / Credit Card,
30948,2007-04-13,,,cash,85.00,,,[LMS Deposit 0000464]  / Cash,
30949,2007-04-14,,,cash,967.50,,,[LMS Deposit 0000465]  / Credit Card,
30950,2007-04-14,,,cash,80.00,,,[LMS Deposit 0000466]  / Cash,
30951,2007-04-14,,,cash,330.00,,,[LMS Deposit 0000467]  / ,
30528,2007-04-16,,,cash,195.00,,,[LMS Deposit 0000041] 083477 / Credit Card,
30952,2007-04-17,,,cash,100.00,,,[LMS Deposit 0000468]  / ,
30953,2007-04-19,,,cash,105.00,,,[LMS Deposit 0000469]  / Cash,
30954,2007-04-20,,,cash,165.00,,,[LMS Deposit 0000470] 033421 / Credit Card,
30955,2007-04-20,,,cash,490.00,,,[LMS Deposit 0000471]  / ,
30956,2007-04-20,,,cash,100.00,,,[LMS Deposit 0000472]  / Cash,
30957,2007-04-20,,,cash,584.99,,,[LMS Deposit 0000473] 021194 / Credit Card,
30958,2007-04-21,,,cash,650.00,,,[LMS Deposit 0000474] 090913 / Credit Card,
31212,2007-04-21,,,cash,1072.50,,,[LMS Deposit 0000729]  / ,
30961,2007-04-23,,,cash,577.50,,,[LMS Deposit 0000477] 160842 / Credit Card,
30962,2007-04-24,,,cash,750.00,,,[LMS Deposit 0000478]  / Debit Cards,
30963,2007-04-25,,,cash,380.00,,,[LMS Deposit 0000479]  / Cash,
30964,2007-04-25,,,cash,195.00,,,[LMS Deposit 0000480]  / Cash,
30965,2007-04-26,,,cash,390.00,,,[LMS Deposit 0000481] 045142 / Credit Card,
30966,2007-04-27,,,cash,974.99,,,[LMS Deposit 0000482]  / Cash,
30968,2007-04-27,,,cash,195.00,,,[LMS Deposit 0000484]  / Cash,
30967,2007-04-28,,,cash,1169.99,,,[LMS Deposit 0000483]  / Cash,
30969,2007-04-28,,,cash,615.00,,,[LMS Deposit 0000485] R4209 / Credit Card,
30970,2007-04-28,,,cash,165.00,,,[LMS Deposit 0000486]  / Cash,
30971,2007-04-28,,,cash,220.00,,,[LMS Deposit 0000487] 028427 / Credit Card,
30529,2007-04-30,,,cash,165.00,,,[LMS Deposit 0000042] 030911 / Credit Card,
30972,2007-04-30,,,cash,650.00,,,[LMS Deposit 0000488] 015133 / Credit Card,
30975,2007-05-01,,,cash,915.00,,,[LMS Deposit 0000491]  / Cash,
30974,2007-05-03,,,cash,275.00,,,[LMS Deposit 0000490] 033241 / Debit Cards,
30976,2007-05-03,,,cash,165.00,,,[LMS Deposit 0000492] 021977 / Credit Card,
30977,2007-05-04,,,cash,70.00,,,[LMS Deposit 0000493]  / Cash,
30978,2007-05-04,,,cash,70.00,,,[LMS Deposit 0000494]  / Cash,
30979,2007-05-04,,,cash,165.00,,,[LMS Deposit 0000495]  / Credit Card,
31044,2007-05-04,,,cash,584.99,,,[LMS Deposit 0000560]  / Cash,
30980,2007-05-05,,,cash,1500.00,,,[LMS Deposit 0000496]  / Cash,
30981,2007-05-05,,,cash,1169.99,,,[LMS Deposit 0000497] 026398 / Credit Card,
30982,2007-05-05,,,cash,195.00,,,[LMS Deposit 0000498]  / Cash,
30985,2007-05-06,,,cash,584.99,,,[LMS Deposit 0000501]  / Cash,
30986,2007-05-10,,,cash,480.00,,,[LMS Deposit 0000502] 054471 / Credit Card,
31000,2007-05-10,,,cash,0.01,,,[LMS Deposit 0000516]  / Cash,
31001,2007-05-11,,,cash,980.00,,,[LMS Deposit 0000517] 011887 / Credit Card,
31002,2007-05-11,,,cash,612.50,,,[LMS Deposit 0000518]  / Debit Cards,
30984,2007-05-12,,,cash,350.00,,,[LMS Deposit 0000500]  / Check,
31003,2007-05-12,,,cash,165.00,,,[LMS Deposit 0000519]  / Cash,
31004,2007-05-12,,,cash,405.00,,,[LMS Deposit 0000520]  / Credit Card,
31005,2007-05-12,,,cash,80.00,,,[LMS Deposit 0000521]  / Cash,
31006,2007-05-12,,,cash,825.00,,,[LMS Deposit 0000522] 0122993 / Credit Card,
31007,2007-05-12,,,cash,195.00,,,[LMS Deposit 0000523]  / Cash,
31008,2007-05-14,,,cash,495.00,,,[LMS Deposit 0000524] 135016 / Credit Card,
31009,2007-05-18,,,cash,250.00,,,[LMS Deposit 0000525]  / Cash,
31010,2007-05-18,,,cash,475.00,,,[LMS Deposit 0000526]  / Credit Card,
31011,2007-05-18,,,cash,40.00,,,[LMS Deposit 0000527]  / Cash,
31012,2007-05-19,,,cash,150.00,,,[LMS Deposit 0000528] 036612 / Credit Card,
31013,2007-05-19,,,cash,450.00,,,[LMS Deposit 0000529] 036612 / Credit Card,
31014,2007-05-19,,,cash,877.50,,,[LMS Deposit 0000530]  / Credit Card,
31015,2007-05-19,,,cash,495.00,,,[LMS Deposit 0000531] 067481 / Credit Card,
31016,2007-05-19,,,cash,552.49,,,[LMS Deposit 0000532] 097753 / Credit Card,
31025,2007-05-19,,,cash,115.00,,,[LMS Deposit 0000541]  / Cash,
31026,2007-05-20,,,cash,740.00,,,[LMS Deposit 0000542] 006361 / Credit Card,
31027,2007-05-20,,,cash,565.00,,,[LMS Deposit 0000543]  / Cash,
31028,2007-05-20,,,cash,110.00,,,[LMS Deposit 0000544]  / Cash,
31029,2007-05-21,,,cash,630.00,,,[LMS Deposit 0000545]  / Cash,
31030,2007-05-22,,,cash,195.00,,,[LMS Deposit 0000546] 015110 / Credit Card,
31093,2007-05-22,,,cash,195.00,,,[LMS Deposit 0000609] 022472 / Credit Card,
31031,2007-05-23,,,cash,195.00,,,[LMS Deposit 0000547]  / Cash,
31032,2007-05-24,,,cash,510.00,,,[LMS Deposit 0000548] 496821 / Credit Card,
31033,2007-05-25,,,cash,990.00,,,[LMS Deposit 0000549]  / Cash,
31034,2007-05-25,,,cash,633.74,,,[LMS Deposit 0000550]  / Cash,
31037,2007-05-25,,,cash,495.00,,,[LMS Deposit 0000553]  / Cash,
31038,2007-05-25,,,cash,40.00,,,[LMS Deposit 0000554]  / Cash,
31039,2007-05-25,,,cash,150.00,,,[LMS Deposit 0000555]  / Debit Cards,
31107,2007-05-25,,,cash,65.00,,,[LMS Deposit 0000623] 083702 / Credit Card,
31035,2007-05-26,,,cash,779.99,,,[LMS Deposit 0000551]  / Credit Card,
31040,2007-05-26,,,cash,492.90,,,[LMS Deposit 0000556]  / Cash,
31041,2007-05-27,,,cash,205.00,,,[LMS Deposit 0000557] 213443 / Credit Card,
30523,2007-05-28,,,cash,195.00,,,[LMS Deposit 0000036] 792651 / Credit Card,
30554,2007-05-28,,,cash,280.00,,,[LMS Deposit 0000068] 084102 / Credit Card,
31036,2007-05-28,,,cash,165.00,,,[LMS Deposit 0000552] 000991 / Credit Card,
31042,2007-05-28,,,cash,685.00,,,[LMS Deposit 0000558]  / Cash,
31043,2007-05-28,,,cash,165.00,,,[LMS Deposit 0000559] 234943 / Credit Card,
30508,2007-06-01,,,cash,140.00,,,[LMS Deposit 0000021] 001799 / Credit Card,
31045,2007-06-02,,,cash,800.00,,,[LMS Deposit 0000561]  / Credit Card,
31046,2007-06-02,,,cash,660.00,,,[LMS Deposit 0000562]  / Cash,
31047,2007-06-02,,,cash,424.00,,,[LMS Deposit 0000563]  / Cash,
31048,2007-06-02,,,cash,584.99,,,[LMS Deposit 0000564]  / Cash,
31049,2007-06-03,,,cash,195.00,,,[LMS Deposit 0000565]  / Cash,
31154,2007-06-03,,,cash,390.00,,,[LMS Deposit 0000671]  / ,
31119,2007-06-06,,,cash,40.00,,,[LMS Deposit 0000635]  / Cash,
31120,2007-06-06,,,cash,390.00,,,[LMS Deposit 0000636]  / Cash,
31088,2007-06-07,,,cash,165.00,,,[LMS Deposit 0000604] 202747 / Credit Card,
31121,2007-06-07,,,cash,206.70,,,[LMS Deposit 0000637]  / Cash,
31050,2007-06-08,,,cash,825.00,,,[LMS Deposit 0000566]  / Credit Card,
31155,2007-06-08,,,cash,350.00,,,[LMS Deposit 0000672]  / ,
31156,2007-06-08,,,cash,780.00,,,[LMS Deposit 0000673]  / ,
31157,2007-06-08,,,cash,165.00,,,[LMS Deposit 0000674]  / ,
31051,2007-06-09,,,cash,495.00,,,[LMS Deposit 0000567]  / Cash,
31052,2007-06-09,,,cash,975.00,,,[LMS Deposit 0000568]  / Cash,
31053,2007-06-10,,,cash,510.00,,,[LMS Deposit 0000569]  / Debit Cards,
31097,2007-06-11,,,cash,195.00,,,[LMS Deposit 0000613] 069797 / Credit Card,
31054,2007-06-12,,,cash,500.00,,,[LMS Deposit 0000570]  / Cash,
31055,2007-06-14,,,cash,685.00,,,[LMS Deposit 0000571]  / ,
31056,2007-06-15,,,cash,1749.00,,,[LMS Deposit 0000572]  / ,
31057,2007-06-15,,,cash,390.00,,,[LMS Deposit 0000573]  / ,
31058,2007-06-16,,,cash,364.98,,,[LMS Deposit 0000574]  / Credit Card,
31073,2007-06-16,,,cash,449.75,,,[LMS Deposit 0000589]  / Credit Card,
31074,2007-06-16,,,cash,215.60,,,[LMS Deposit 0000590]  / Cash,
31158,2007-06-16,,,cash,974.99,,,[LMS Deposit 0000675]  / ,
31159,2007-06-16,,,cash,390.00,,,[LMS Deposit 0000676]  / ,
31075,2007-06-17,,,cash,165.00,,,[LMS Deposit 0000591] 017926 / Credit Card,
31076,2007-06-18,,,cash,260.00,,,[LMS Deposit 0000592] 018890 / Credit Card,
31077,2007-06-18,,,cash,165.00,,,[LMS Deposit 0000593]  / Credit Card,
31079,2007-06-19,,,cash,375.00,,,[LMS Deposit 0000595]  / Check,
31078,2007-06-20,,,cash,979.80,,,[LMS Deposit 0000594] 012072 / Credit Card,
31080,2007-06-20,,,cash,375.00,,,[LMS Deposit 0000596]  / Check,
31082,2007-06-20,,,cash,165.00,,,[LMS Deposit 0000598] 027489 / Credit Card,
31084,2007-06-20,,,cash,195.00,,,[LMS Deposit 0000600] 027489 / Credit Card,
31108,2007-06-20,,,cash,65.00,,,[LMS Deposit 0000624] 020540 / Credit Card,
31081,2007-06-22,,,cash,360.00,,,[LMS Deposit 0000597] 027489 / Credit Card,
31083,2007-06-22,,,cash,165.00,,,[LMS Deposit 0000599]  / Credit Card,
31085,2007-06-22,,,cash,195.00,,,[LMS Deposit 0000601]  / Credit Card,
31160,2007-06-22,,,cash,330.00,,,[LMS Deposit 0000677]  / ,
31087,2007-06-23,,,cash,330.00,,,[LMS Deposit 0000603]  / Cash,
31089,2007-06-23,,,cash,165.00,,,[LMS Deposit 0000605]  / Cash,
31090,2007-06-23,,,cash,330.00,,,[LMS Deposit 0000606] 496117 / Credit Card,
31091,2007-06-23,,,cash,345.00,,,[LMS Deposit 0000607]  / Cash,
31094,2007-06-23,,,cash,584.99,,,[LMS Deposit 0000610]  / Cash,
31161,2007-06-23,,,cash,682.49,,,[LMS Deposit 0000678]  / ,
31092,2007-06-24,,,cash,330.00,,,[LMS Deposit 0000608]  / Check,
31102,2007-06-25,,,cash,85.00,,,[LMS Deposit 0000618] 481991 / Credit Card,
31104,2007-06-25,,,cash,390.00,,,[LMS Deposit 0000620] R21130 / Credit Card,
31095,2007-06-27,,,cash,195.00,,,[LMS Deposit 0000611]  / Cash,
31096,2007-06-27,,,cash,505.00,,,[LMS Deposit 0000612] 085488 / Credit Card,
31098,2007-06-27,,,cash,389.99,,,[LMS Deposit 0000614]  / Cash,
31099,2007-06-27,,,cash,65.00,,,[LMS Deposit 0000615]  / Cash,
31100,2007-06-27,,,cash,100.00,,,[LMS Deposit 0000616]  / Cash,
31101,2007-06-27,,,cash,250.00,,,[LMS Deposit 0000617]  / Cash,
31103,2007-06-28,,,cash,660.00,,,[LMS Deposit 0000619] 050231 / Credit Card,
31106,2007-06-28,,,cash,974.99,,,[LMS Deposit 0000622]  / Cash,
31110,2007-06-29,,,cash,660.00,,,[LMS Deposit 0000626]  / Cash,
31162,2007-06-29,,,cash,779.99,,,[LMS Deposit 0000679]  / ,
31163,2007-06-29,,,cash,779.99,,,[LMS Deposit 0000680]  / ,
31109,2007-06-30,,,cash,3655.20,,,[LMS Deposit 0000625]  / Cash,
31111,2007-06-30,,,cash,780.04,,,[LMS Deposit 0000627]  / Cash,
31112,2007-06-30,,,cash,130.00,,,[LMS Deposit 0000628]  / Cash,
31164,2007-06-30,,,cash,453.75,,,[LMS Deposit 0000681]  / ,
31177,2007-06-30,,,cash,288.75,,,[LMS Deposit 0000694]  / ,
31178,2007-06-30,,,cash,970.00,,,[LMS Deposit 0000695]  / ,
31113,2007-07-01,,,cash,390.00,,,[LMS Deposit 0000629]  / Cash,
31114,2007-07-01,,,cash,645.00,,,[LMS Deposit 0000630]  / Cash,
31171,2007-07-02,,,cash,195.00,,,[LMS Deposit 0000688]  / ,
31115,2007-07-06,,,cash,137.80,,,[LMS Deposit 0000631]  / Cash,
31116,2007-07-06,,,cash,390.00,,,[LMS Deposit 0000632]  / Check,
31122,2007-07-07,,,cash,260.00,,,[LMS Deposit 0000638]  / Cash,
31123,2007-07-07,,,cash,877.49,,,[LMS Deposit 0000639]  / Credit Card,
31173,2007-07-07,,,cash,195.00,,,[LMS Deposit 0000690]  / Credit Card,
31174,2007-07-07,,,cash,390.00,,,[LMS Deposit 0000691]  / ,
31175,2007-07-07,,,cash,165.00,,,[LMS Deposit 0000692]  / ,
31124,2007-07-08,,,cash,584.99,,,[LMS Deposit 0000640]  / Cash,
31125,2007-07-08,,,cash,292.50,,,[LMS Deposit 0000641]  / Cash,
31126,2007-07-08,,,cash,584.99,,,[LMS Deposit 0000642]  / Credit Card,
31127,2007-07-10,,,cash,2337.50,,,[LMS Deposit 0000643]  / Credit Card,
31128,2007-07-13,,,cash,195.00,,,[LMS Deposit 0000644]  / Cash,
31172,2007-07-13,,,cash,390.00,,,[LMS Deposit 0000689]  / ,
31130,2007-07-14,,,cash,1136.85,,,[LMS Deposit 0000646] 007571 / Credit Card,
31131,2007-07-14,,,cash,790.00,,,[LMS Deposit 0000647]  / Cash,
31132,2007-07-14,,,cash,1462.50,,,[LMS Deposit 0000648]  / Credit Card,
31133,2007-07-14,,,cash,390.01,,,[LMS Deposit 0000649]  / Cash,
31134,2007-07-15,,,cash,2652.20,,,[LMS Deposit 0000650]  / Credit Card,
31135,2007-07-15,,,cash,322.50,,,[LMS Deposit 0000651]  / ,
31136,2007-07-17,,,cash,100.00,,,[LMS Deposit 0000652]  / Cash,
31137,2007-07-18,,,cash,195.00,,,[LMS Deposit 0000653]  / ,
31138,2007-07-20,,,cash,584.99,,,[LMS Deposit 0000654]  / Credit Card,
31139,2007-07-20,,,cash,130.00,,,[LMS Deposit 0000655]  / ,
31140,2007-07-20,,,cash,195.00,,,[LMS Deposit 0000656]  / Credit Card,
31141,2007-07-21,,,cash,974.99,,,[LMS Deposit 0000657]  / ,
31142,2007-07-21,,,cash,325.00,,,[LMS Deposit 0000658]  / Credit Card,
31143,2007-07-21,,,cash,137.80,,,[LMS Deposit 0000659]  / ,
31144,2007-07-21,,,cash,975.00,,,[LMS Deposit 0000660]  / Cash,
30520,2007-07-23,,,cash,165.00,,,[LMS Deposit 0000033] 023018 / Credit Card,
30577,2007-07-23,,,cash,165.00,,,[LMS Deposit 0000091] 023018 / Credit Card,
31145,2007-07-23,,,cash,520.00,,,[LMS Deposit 0000661]  / Credit Card,
31146,2007-07-24,,,cash,270.00,,,[LMS Deposit 0000662]  / Credit Card,
31147,2007-07-26,,,cash,1320.00,,,[LMS Deposit 0000663]  / Credit Card,
30545,2007-07-27,,,cash,195.00,,,[LMS Deposit 0000058] 233245 / Credit Card,
31176,2007-07-27,,,cash,194.99,,,[LMS Deposit 0000693]  / ,
31148,2007-07-28,,,cash,1815.00,,,[LMS Deposit 0000664]  / Credit Card,
31149,2007-07-28,,,cash,195.00,,,[LMS Deposit 0000665]  / ,
31150,2007-07-28,,,cash,65.00,,,[LMS Deposit 0000666]  / ,
